Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,20.35000,6.36100,-26.71100,1.07700,-25.63400,-25.63400,-25.63400,-25.63400,-24.62200,-26.71100,86.16280,86.16280,-0.30000,-0.30000,5.27480,-22.76510,-22.76510,-18.23420,-22.76510,1.42140,-0.2269,-0.2291
2024-06-30,22.64900,8.17400,-30.82300,1.39200,-29.43100,-29.43100,-29.43100,-29.43100,-28.55800,-30.82300,85.70700,85.70700,-0.34000,-0.34000,6.28460,-21.96390,-21.96390,-18.03540,-21.96390,1.69900,-0.2561,-0.2565
2024-03-31,25.05500,8.70700,-33.76200,1.53400,-32.22800,-32.22800,-32.22800,-32.22800,-31.68100,-33.76200,80.98230,80.98230,-0.40000,-0.40000,6.71780,-20.37430,-20.37430,-17.43010,-20.37430,2.01460,-0.35390,-0.36090
2023-12-31,22.86500,8.58100,-31.44600,1.51100,-29.93500,-29.93500,-29.93500,-29.93500,-27.57900,-31.44600,73.78600,73.78600,-0.41000,-0.41000,4.90840,-21.47050,-21.47050,-17.55560,-21.47050,2.04050,-0.2992,-0.3045
2023-09-30,23.09100,7.82900,-30.92000,1.77700,-29.14300,-29.14300,-29.14300,-29.14300,-29.05400,-30.92000,73.92490,73.92490,-0.39000,-0.39000,6.54530,-17.67490,-17.67490,-15.06900,-17.67490,2.42080,-0.3143,-0.3143
2023-06-30,26.47700,8.62700,-35.10400,1.83500,-33.26900,-33.26900,-33.26900,-33.26900,-33.39800,-35.10400,73.40000,73.40000,-0.45000,-0.45000,6.64080,-17.51550,-17.51550,-15.07060,-17.51550,2.79880,-0.3555,-0.3583
2023-03-31,25.60500,8.11800,-33.72300,1.98600,-31.73700,-31.73700,-31.73700,-31.73700,-32.16000,-33.72300,73.09790,73.09790,-0.43000,-0.43000,8.00970,-14.73320,-14.73320,-12.93590,-14.73320,3.22160,-0.41440,-0.42300
2022-12-31,25.74800,8.80200,-34.55000,1.03400,-33.51600,-33.51600,-33.51600,-33.51600,-32.81600,-34.55000,44.82400,44.82400,-0.58000,-0.58000,7.99050,-13.77130,-13.77130,-12.01530,-13.77130,3.64020,-0.3532,-0.3339
2022-09-30,23.75800,7.54000,-31.29800,0.60200,-30.69600,-30.69600,-30.69600,-30.69600,-29.38800,-31.29800,41.35830,41.35830,-0.74000,-0.74000,8.86580,-15.63510,-15.63510,-13.56370,-15.63510,4.74510,-0.6645,-0.7622
2022-06-30,20.87600,7.74300,-28.61900,0.22200,-28.39700,-28.39700,-28.39700,-28.39700,-27.21200,-28.61900,41.30200,41.30200,-0.69000,-0.69000,9.90840,-12.68480,-12.68480,-11.09570,-12.68480,5.41210,-0.6151,-0.7887
2022-03-31,24.15500,6.99900,-31.15400,0.09800,-31.05600,-31.05600,-31.05600,-31.05600,-30.04500,-31.15400,41.26800,41.26800,-0.75000,-0.75000,11.19570,-12.46740,-12.46740,-11.03240,-12.46740,6.02980,-0.69680,-0.90510
2021-12-31,20.95300,5.21100,-26.16400,0.01300,-26.15100,-26.15100,-26.15100,-26.15100,-25.24800,-26.16400,17.73400,17.73400,21.77000,21.77000,11.72770,-9.38910,-9.38910,-8.32330,-9.38910,6.74540,-1.7759,-2.7252
2021-09-30,12.94400,5.35600,-18.30000,0.03800,-18.26200,-18.26200,-18.26200,-18.26200,-17.54800,-18.30000,26.89570,26.89570,-0.68000,-0.68000,20.80210,-6.01320,-6.01320,-5.50400,-6.01320,7.35710,22.5909,28.7139
2021-06-30,10.90600,4.33100,-15.23700,0.02700,-15.21000,-15.21000,-15.21000,-15.21000,-14.50200,-15.23700,1.14700,1.14700,-13.26000,-13.26000,11.55330,14.01380,-11.50540,-9.69440,-11.50540,108.09400,-9.8643,-12.5175
2021-03-31,9.59000,3.51500,-13.10500,0.00700,-13.09800,-13.09800,-13.09800,-13.09800,-12.41600,-13.10500,1.09800,1.09800,-11.93000,-11.93000,21.95430,13.94250,-8.92280,-8.19870,-8.92280,120.12440,-14.37980,-18.31690
2020-12-31,8.36400,1.95800,-10.32200,0.00400,-10.31800,-10.31800,-10.31800,-10.31800,-9.66400,-10.32200,0.97200,0.97200,-9.85000,-9.85000,25.78140,12.68890,-7.39970,-6.96400,-7.39970,115.23880,-11.4221,-19.8803
2020-09-30,8.48000,1.97200,-10.45200,0.15700,-10.29500,-10.29500,-10.29500,-10.29500,-9.82100,-10.45200,1.00000,1.00000,-10.29000,-10.29000,,,,,,,-8.6831,-8.767
2020-06-30,6.95800,1.91400,-8.87200,0.14100,-8.73100,-8.73100,-8.73100,-8.73100,-8.26200,-8.87200,0.94800,0.94800,-9.21000,-9.21000,,,,,,,-7.1275,-8.1419
2020-03-31,7.29700,1.96900,-9.26600,0.21500,-9.05100,-9.05100,-9.05100,-9.05100,-8.68200,-9.26600,0.89200,0.89200,-10.15000,-10.15000,,,,,,,-9.23540,-9.72310
2019-12-31,,,,,,,,,,,,,,0.00000,,,,,,,0,0
