Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.14560,0.00550,0.14020,0.28840,0.30290,-0.16280,0.05030,-0.11250,-0.11250,-0.11250,-0.11250,-0.19070,-0.16280,14.93300,14.93300,-0.01000,-0.01000,0.80880,,0.02100,96.25090,-111.77760,-111.77760,-77.22910,-77.22910,0.00950,0.19830,453.96380,-0.93390,-0.97280,-0.73060,-0.83010,0.90730,0.1007,0.1007
2024-06-30,0.25420,0.10040,0.15380,0.30140,0.32020,-0.16640,0.01600,-0.15030,-0.15030,-0.15030,-0.15030,-0.16620,-0.16640,14.77600,14.77600,-0.01000,-0.01000,0.60510,0.09120,0.14910,60.50830,-65.45120,-65.45120,-59.14020,-59.14020,0.01850,0.29610,303.91900,-1.41360,-1.48080,-1.09560,-1.28470,0.71120,-0.003,-0.003
2024-03-31,0.16210,0.06770,0.09440,0.07880,0.09760,-0.00320,0.13840,0.13520,0.13520,0.13520,0.13520,0.07220,-0.00320,14.40200,14.40200,0.01000,0.01000,0.68370,0.14570,0.22240,58.26030,-1.97720,-1.97720,83.39300,83.39300,0.01180,0.20980,429.01460,1.33770,1.40760,0.98610,1.14280,0.69670,-0.04030,-0.04030
2023-12-31,0.23200,-0.10280,0.33480,0.26260,0.31630,0.01860,-0.38620,-0.36770,-0.36770,-0.36770,-0.36770,0.01730,0.01860,14.27100,14.27100,0.75000,0.75000,0.51490,0.14810,0.17800,144.29470,7.99530,7.99530,-158.45040,-158.45000,0.01540,0.45960,195.80140,-3.30830,-3.99260,-2.44470,-2.81840,0.77880,0.0475,0.0475
2023-09-30,0.12280,0.00340,0.11940,0.16930,0.18660,-0.06710,-0.18420,-0.25130,-0.25130,-0.25130,-0.25130,-0.19350,-0.06710,6.89100,6.89100,-0.04000,-0.04000,0.14170,,,97.21540,-54.66310,-54.66310,-204.63460,-204.63460,0.03230,,,4.77610,4.77610,-6.61140,4.77610,-1.92960,0.2625,0.2625
2023-06-30,0.06640,0.05600,0.01040,0.09430,0.11300,-0.10270,-0.11760,-0.22030,-0.22030,-0.22030,-0.22030,0.00230,-0.10270,0.54100,0.54100,-0.41000,-0.41000,0.14030,,,15.67890,-154.71720,-154.71720,-331.95460,-331.95460,0.01170,,,4.80050,4.80050,-3.89490,4.80050,-1.68280,-0.0155,-0.0155
2023-03-31,0.06730,0.06000,0.00730,0.14290,0.16170,-0.15440,-0.11990,-0.27430,-0.27430,-0.27430,-0.27430,-0.02200,-0.15440,0.72700,0.72700,-0.38000,-0.38000,0.08860,,,10.83490,-229.47450,-229.47450,-407.69480,-407.69340,0.01220,,,6.27610,6.27610,-4.95820,6.27610,-1.60300,-0.31390,-0.31390
2022-12-31,,,,-0.39460,,-1.63530,-4.30650,-5.76290,-5.76290,-5.76290,-5.76290,-1.63530,-1.45650,6.89000,6.89000,-0.55000,-0.55000,1.05890,0.27280,0.37920,,,,,,,,,-59.58470,-75.23230,-41.24900,-43.33200,1.00580,0.0547,0.0536
2022-09-30,,,,0.30800,,-0.30800,0.34260,0.03470,0.03470,0.03470,0.03470,-0.30800,-0.30800,4.45700,4.45700,0.01000,0.01000,0.69460,,,,,,,,,,,-0.72670,-0.72670,0.43170,-0.72670,-1.74950,-0.0215,-0.0215
2022-06-30,,,,0.27720,,-0.27720,-0.39670,-0.67390,-0.67390,-0.67390,-0.67390,-0.27720,-0.27720,4.53800,4.53800,-0.15000,-0.15000,2.41370,,,,,,,,,,,14.02270,-0.70790,-0.57890,14.02270,-1.76220,0.0313,0.0313
2022-03-31,,,,0.23840,,-0.23840,3.93040,3.69200,3.69200,3.69200,3.69200,-0.23840,-0.23840,12.38800,12.38800,0.30000,0.30000,5.56960,,,,,,,,,,,-89.48050,-89.23760,22.21260,-89.35890,-1.51510,-0.00070,-0.00070
2021-12-31,,,,0.27980,,-0.27980,0.35100,0.07120,0.07120,0.07120,-0.22450,-0.27980,-0.27980,11.11500,11.11500,-0.25000,-0.25000,10.81480,,,,,,,,,,,-0.91050,-0.91050,0.06650,-0.91050,-2.86890,-0.0535,-0.0535
2021-09-30,,,,0.42400,,-0.42400,1.00860,0.58460,0.58460,0.58460,0.58460,-0.42400,-0.42400,13.48100,13.48100,0.04000,0.04000,,,,,,,,,,,,-26.52920,-26.52930,0.54790,-26.52920,-0.74070,-0.0241,-0.0241
2021-06-30,,,,0.29750,,-0.29750,0.43990,0.14240,0.14240,0.14240,0.43820,-0.29750,-0.29750,13.48100,13.48100,0.03000,0.03000,,,,,,,,,,,,4.30030,4.30030,0.13300,4.30030,0.90040,0.0636,0.0636
2021-03-31,,,,0.01550,,-0.01550,1.53400,1.51860,1.51860,1.51860,1.51860,-0.01550,-0.01550,3.88800,3.88800,0.39000,0.39000,,,,,,,,,,,,51.93400,51.93390,1.48300,51.93400,0.79500,-0.10950,-0.10950
