,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-06,2024-09-30,$-1.94,$-2.31
1,2024-07-31,2024-06-30,$1.89,$2.31
2,2024-05-01,2024-03-31,$3.35,$3.69
3,2024-02-07,2023-12-31,$-1.62,$-1.45
4,2023-11-01,2023-09-30,$-2.83,$-2.77
5,2023-08-02,2023-06-30,$1.41,$1.17
6,2023-05-03,2023-03-31,$3.20,$3.78
7,2023-02-01,2022-12-31,$-1.40,$-1.02
8,2022-11-02,2022-09-30,$-2.02,$-2.04
9,2022-08-03,2022-06-30,$1.70,$1.98
10,2022-05-03,2022-03-31,$4.69,$5.03
11,2022-02-01,2021-12-31,$-0.81,$-0.88
12,2021-11-03,2021-09-30,$-0.85,$-0.82
13,2021-08-04,2021-06-30,$3.50,$3.98
14,2021-05-05,2021-03-31,$5.51,$5.64
15,2021-02-03,2020-12-31,$-0.73,$0.39
16,2020-11-04,2020-09-30,$0.07,$0.06
17,2020-07-29,2020-06-30,$3.35,$3.80
18,2020-05-06,2020-03-31,$4.07,$4.50
19,2020-01-29,2019-12-31,$-1.24,$-1.12
20,2019-11-06,2019-09-30,$-0.87,$-0.91
21,2019-07-31,2019-06-30,$2.71,$3.11
22,2019-05-01,2019-03-31,$3.42,$3.64
23,2019-01-30,2018-12-31,$-1.24,$-1.39
24,2018-11-07,2018-09-30,$-0.67,$-0.75
25,2018-07-31,2018-06-30,$2.55,$2.67
26,2018-05-01,2018-03-31,$3.42,$2.88
27,2018-01-30,2017-12-31,$-0.92,$-1.08
28,2017-11-07,2017-09-30,$-0.30,$-0.26
29,2017-08-01,2017-06-30,$2.53,$2.63
30,2017-05-02,2017-03-31,$2.93,$2.78
31,2017-01-31,2016-12-31,$-1.28,$-0.96
32,2016-11-03,2016-09-30,$-0.26,$-0.30
33,2016-08-03,2016-06-30,$2.08,$2.16
34,2016-05-03,2016-03-31,$2.49,$3.00
35,2016-02-02,2015-12-31,$-1.14,$-1.13
36,2015-11-03,2015-09-30,$-0.16,$-0.12
37,2015-08-04,2015-06-30,$2.53,$2.68
38,2015-05-05,2015-03-31,$2.26,$2.06
39,2015-02-04,2014-12-31,$-1.07,$-1.13
