Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,22.70850,15.46930,7.23920,13.68180,-21.91620,43.98110,-36.74180,-1.42540,-38.16730,0.62820,-38.79550,-38.79550,,-38.79550,-28.35880,-36.74180,149.68400,149.68400,-0.26000,-0.26000,5.27290,,31.87890,-161.79750,-161.79750,-168.07460,-170.84100,0.06040,5.80640,15.50030,-12.67960,-12.31540,-10.31880,-12.31540,2.05210,0.1015,0.1449
2024-06-30,28.95090,15.15760,13.79330,5.48050,-11.53900,25.36610,-11.57280,0.16150,-11.41130,0.54180,-11.95310,-11.95310,,-11.95310,-3.22620,-11.57280,128.05400,128.05400,-0.09000,-0.09000,21.16440,,47.64380,-39.97390,-39.97390,-39.41610,-41.28750,0.09180,7.01410,12.83130,-4.17600,-4.04800,-3.78870,-4.04800,2.14970,-0.0567,-0.096
2024-03-31,30.28710,16.15870,14.12840,5.95570,45.73260,-32.93090,47.05930,4.59990,51.65920,1.57740,50.08190,50.08190,,50.08190,53.90520,47.05930,114.59500,115.59500,0.44000,0.43000,12.34440,,46.64830,155.37740,155.37740,170.56510,165.35710,0.10400,,,19.55260,18.88530,17.20370,18.88530,2.19160,-0.18050,-0.18460
2023-12-31,16.05370,9.93090,6.12280,12.24720,5.64300,10.03620,-3.91340,1.90260,-2.01080,0.01300,-2.02380,-2.02380,,-2.02380,-0.48150,-3.91340,87.53400,87.53400,-0.02000,-0.02000,3.07760,,38.13940,-24.37700,-24.37700,-12.52540,-12.60660,0.08480,,,-1.40880,-1.32530,-1.06900,-1.32530,1.42330,0.2737,-0.4878
2023-09-30,11.55980,8.79640,2.76350,4.87370,-1.26760,9.76480,-7.00140,-0.07780,-7.07920,0.10290,-7.18210,-7.18210,,-7.18210,-3.37780,-7.00140,88.98800,88.98800,-0.08000,-0.08000,29.60860,,23.90560,-60.56640,-60.56640,-61.23970,-62.13010,0.10630,17.15100,5.24750,-7.62110,-6.95330,-6.60540,-6.95330,1.13810,-0.1489,-0.0628
2023-06-30,9.03760,5.66300,3.37460,5.39020,3.09240,6.02300,-2.64840,0.33080,-2.31760,0.10940,-2.42700,-2.42700,,-2.42700,1.07680,-2.64840,83.06300,83.06300,-0.03000,-0.03000,10.31350,,37.33970,-29.30410,-29.30410,-25.64380,-26.85460,0.09000,13.67420,6.58170,-2.93490,-2.64540,-2.41800,-2.64540,1.07900,-0.0934,-0.1793
2023-03-31,8.26500,5.16630,3.09870,5.15750,2.64830,6.15520,-3.05650,0.84990,-2.20670,0.05360,-2.26030,-2.26030,,-2.26030,0.58950,-3.05650,78.61400,78.61400,-0.03000,-0.03000,27.94330,,37.49190,-36.98160,-36.98160,-26.69890,-27.34790,0.08970,12.60760,7.13860,-2.90040,-2.59870,-2.45250,-2.59870,1.05430,-0.01880,-0.01900
2022-12-31,7.77690,6.02180,1.75510,7.88220,-53.05960,70.33760,-68.58250,-0.71360,-69.29610,-0.60770,-68.68840,-68.68840,,-68.68840,-59.18670,-68.58250,78.61400,78.61400,-0.79000,-0.79000,8.65140,,22.56860,-881.87660,-881.87660,-891.05240,-883.23770,0.07740,10.56000,8.52270,-84.92280,-76.37700,-68.40060,-76.37700,1.09030,0.0573,0.1582
2022-09-30,9.13100,6.50050,2.63050,6.23170,-1.49010,17.03390,-14.40350,0.08680,-14.31670,0.19550,-14.51220,-14.51220,,-14.51220,-5.09130,-14.40350,54.67600,54.67600,-0.27000,-0.27000,19.76300,,28.80830,-157.74300,-157.74300,-156.79240,-158.93380,0.05540,106.04570,0.84870,-9.72720,-9.17090,-8.81250,-9.17090,1.91920,-0.1904,-0.2928
2022-06-30,6.81500,3.58410,3.23090,4.59820,-11.16280,21.08320,-17.85230,1.26010,-16.59210,1.17130,-17.76340,-17.76340,,-17.76340,-12.53020,-17.85230,79.59900,79.59900,-0.22000,-0.22000,19.14580,,47.40800,-261.95560,-261.95560,-243.46480,-260.65170,0.03810,39.76960,2.26300,-10.90360,-10.32980,-9.92560,-10.32980,2.08640,0.0201,-0.2105
2022-03-31,8.57370,4.26830,4.30550,4.27270,-2.56140,10.63370,-6.32820,0.64370,-5.68460,-1.35190,-4.33260,-4.33260,,-4.33260,-2.52860,-6.32820,69.62700,69.62700,-0.06000,-0.06000,16.05830,,50.21720,-73.80960,-73.80960,-66.30200,-50.53370,0.05060,,,-2.83550,-2.67690,-2.55520,-2.67690,2.32400,0.00490,0.00490
2021-12-31,13.38690,4.78050,8.60650,13.04740,,23.54600,-14.93960,2.16530,-12.77430,2.53370,-15.30800,-15.30800,,-15.30800,-11.62140,-14.93960,55.44100,55.44100,-0.36000,-0.36000,17.90400,,64.29020,-111.59850,-111.59850,-95.42390,-114.35070,0.07710,,,-9.79080,-9.25510,-8.81420,-9.25510,2.37680,-0.173,-0.2751
2021-09-30,10.39590,2.60790,7.78790,19.54560,,23.34240,-15.55440,-3.65590,-19.21030,0.93860,-20.14880,-20.14880,,-20.14880,-11.75770,-15.55440,54.67600,54.67600,-0.37000,-0.37000,17.65990,,74.91370,-149.62020,-149.62020,-184.78700,-193.81530,0.09420,,,-20.77950,-19.00560,-18.25430,-19.00560,1.89930,-0.0431,-0.0437
2021-06-30,28.34270,10.88370,17.45900,4.33600,,6.68460,10.77440,-12.01190,-1.23750,0.10190,-1.33940,-1.33940,,-1.33940,13.12310,10.77440,49.73700,49.73700,-0.03000,-0.03000,18.81090,,61.59980,38.01480,38.01480,-4.36620,-4.72570,0.26230,,,-1.27750,-1.27750,-1.23950,-1.27750,1.94490,-0.0443,-0.044
2021-03-31,43.95310,12.46770,31.48530,2.22520,,5.87560,25.60980,10.45870,36.06850,0.28210,35.78630,35.78630,,35.78630,29.26020,25.60980,48.29100,48.29100,0.74000,0.74000,11.14070,0.01710,71.63400,58.26620,58.26620,82.06140,81.41940,0.56280,,,47.73720,47.73720,45.82580,47.73720,1.55190,-0.05260,-0.06680
2020-12-31,12.46290,7.23790,5.22500,1.76880,,3.85190,1.37310,0.82130,2.19440,,2.19440,2.19440,,2.19440,3.45610,1.37310,30.59110,30.59110,0.20000,0.20000,4.60380,,41.92440,11.01780,11.01780,17.60790,17.60790,0.31240,,,5.77490,5.77490,5.50080,5.77490,0.79090,0.091,0.3882
2020-09-30,7.90950,6.21070,1.69880,0.40570,,1.57690,0.12200,-0.02170,0.10020,,0.10020,0.10020,-0.10020,0.00010,0.12200,0.12200,42.29700,42.29700,0.00000,0.00000,3.65460,,21.47810,1.54190,1.54190,1.26730,0.00070,0.38180,,,0.50420,0.50420,0.48380,0.50420,0.45500,-0.1949,-0.6396
2020-06-30,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,
2020-03-31,0.01820,0.01910,-0.00090,0.11900,,0.11900,-0.11980,-0.00020,-0.12010,,-0.12010,-0.12010,-3.73450,-3.85460,-0.11680,-0.11980,15.39900,15.39900,-0.25000,-0.25000,,,-4.70080,-657.31440,-657.31440,-658.55410,-21142.88000,,,,,,,,,-0.00790,-0.00760
2019-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,-0.0457,-0.0457
2019-09-30,,,,1.78740,,,-1.78740,,-1.78740,,-1.78740,-1.78740,-1.22040,-3.00780,-1.78740,-1.78740,15.39920,15.39920,-0.20000,-0.20000,,,,,,,,,,,,,,,,0.0457,0.0457
2018-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2018-06-30,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2017-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2016-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
