Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,178.00100,178.00100,12.40400,-58.35600,64.52100,-35.21200,29.30900,-0.26500,29.57400,29.78800,,29.78800,107.24100,64.52100,234.29000,237.04300,0.13000,0.13000,0.47370,0.89990,36.24760,36.24760,16.46560,16.73470,0.03320,1.08520,1.09670,0.55510,0.57120,11.60180,0.404,0.1731
2024-06-30,176.14100,176.14100,12.74100,-69.92700,51.79200,-27.46000,24.33200,0.43700,23.89500,23.97500,,23.97500,93.47300,51.79200,231.62000,233.75100,0.10000,0.10000,0.46970,0.88580,29.40370,29.40370,13.81390,13.61130,0.03290,0.86800,0.87680,0.44800,0.46030,11.79010,0.3425,0.1611
2024-03-31,166.74700,166.74700,11.89000,-56.99300,54.95000,-27.64800,27.30200,0.45300,26.84900,26.25400,,26.25400,97.86400,54.95000,231.45400,233.36500,0.11000,0.11000,0.47100,0.89020,32.95410,32.95410,16.37330,15.74480,0.03100,0.94880,0.95860,0.48850,0.50190,11.95360,0.22620,0.17080
2023-12-31,163.39690,163.39690,16.67900,-56.78800,47.05390,-28.64400,18.41000,0.49300,17.91700,17.15600,,17.15600,89.92990,47.05390,231.20300,232.79300,0.08000,0.08000,0.46280,0.86140,28.79730,28.79730,11.26700,10.49960,0.03030,0.61220,0.61900,0.31850,0.32890,12.11820,0.3318,0.0674
2023-09-30,161.62700,161.62700,10.75900,-49.15500,58.47100,-72.47200,-14.00100,0.45500,-14.45600,-15.10100,,-15.10100,101.71300,58.47100,231.22500,231.22500,-0.07000,-0.07000,0.45020,0.81900,36.17650,36.17650,-8.66250,-9.34310,0.03000,-0.52640,-0.53250,-0.28070,-0.28940,12.40750,0.3625,0.5957
2023-06-30,161.16600,161.16600,9.53200,-49.16400,58.32800,-36.16100,22.16700,0.32600,21.84100,21.18800,,21.18800,102.47000,58.32800,231.20500,232.24500,0.09000,0.09000,0.45120,0.82210,36.19130,36.19130,13.75410,13.14670,0.02920,0.71980,0.72870,0.38350,0.39500,12.73140,0.3015,0.2918
2023-03-31,161.32400,161.32400,10.50200,-54.66100,43.33400,-51.25500,-7.92100,0.72800,-8.64900,-9.48700,,-9.48700,96.16100,43.33400,231.16500,231.16500,-0.04000,-0.04000,0.44610,0.80530,26.86150,26.86150,-4.91000,-5.88070,0.02900,-0.31880,-0.32300,-0.17070,-0.17660,12.87320,0.29540,0.69810
2022-12-31,164.98500,164.98500,10.85300,-65.38800,38.81700,-35.32400,3.49300,0.12400,3.36900,-84.94800,,-84.94800,88.74400,38.81700,230.94800,230.94800,-0.37000,-0.37000,0.45060,0.82020,23.52760,23.52760,2.11720,-51.48830,0.02870,-2.77940,-2.81630,-1.47800,-1.52700,13.23060,0.2928,0.5457
2022-09-30,140.76400,140.76400,9.67600,-102.46500,-18.80400,-26.29700,-45.10100,0.57900,-45.68000,-50.06400,,-50.06400,28.62300,-18.80400,230.98200,230.98200,-0.22000,-0.22000,0.43270,0.76260,-13.35850,-13.35850,-32.04020,-35.56590,0.02410,-1.56020,-1.58410,-0.85650,-0.88520,13.89200,0.4714,0.1343
2022-06-30,155.95700,155.95700,8.64900,-50.35300,51.78300,-32.19400,19.58900,0.25500,19.33400,16.80500,,16.80500,96.95500,51.78300,230.96700,231.68200,0.07000,0.07000,0.42780,0.74760,33.20340,33.20340,12.56050,10.77540,0.02620,0.50650,0.51420,0.28190,0.28980,14.36440,0.3303,0.2929
2022-03-31,163.10500,163.10500,10.39600,-38.59000,68.86300,-25.17500,43.68800,0.28400,43.40400,40.60200,,40.60200,114.11900,68.86300,230.86000,231.56500,0.18000,0.18000,0.41220,0.70130,42.22000,42.22000,26.78520,24.89320,0.02770,1.20780,1.22710,0.68990,0.70990,14.55490,0.27260,0.13710
2021-12-31,135.65700,135.65700,8.23700,-48.43300,33.90800,-44.46600,-10.55800,0.53100,-11.08900,-24.35300,,-24.35300,78.98700,33.90800,219.07300,219.07300,-0.12000,-0.12000,0.41470,0.70850,24.99540,24.99540,-7.78290,-17.95190,0.02270,-0.72060,-0.73230,-0.40810,-0.42180,14.66820,0.4629,0.6177
2021-09-30,128.59100,128.59100,8.68300,-36.30500,38.55700,-24.22400,14.33300,0.09200,14.24100,10.22300,,10.22300,83.60300,38.55700,220.86600,222.06400,0.05000,0.05000,0.44800,0.81170,29.98420,29.98420,11.14620,7.95000,0.02070,0.30710,0.31430,0.16460,0.16950,15.07350,0.4598,0.4651
2021-06-30,152.93200,152.93200,8.81100,-33.79200,65.83800,-28.10000,37.73800,0.52200,37.21600,-132.57300,,-132.57300,110.32900,65.83800,216.26400,216.26400,-0.61000,-0.61000,0.40120,0.66990,43.05050,43.05050,24.67630,-86.68750,0.02630,-3.91870,-4.01320,-2.27700,-2.34670,15.32020,0.3818,0.2034
2021-03-31,152.36500,152.36500,8.93800,-36.10500,62.94700,-23.79000,39.15700,0.70000,38.45700,33.44700,,33.44700,107.32200,62.94700,211.45100,212.62400,0.16000,0.16000,0.39440,0.65120,41.31330,41.31330,25.69950,21.95190,0.02550,0.95470,0.97740,0.56080,0.57820,16.22470,0.32230,0.15170
2020-12-31,152.05400,152.05400,8.10500,-35.09400,64.69700,-24.64500,40.05200,-0.62700,40.67900,37.11700,,37.11700,108.85490,64.69700,206.22400,207.25300,0.18000,0.18000,0.41030,0.69590,42.54870,42.54870,26.34060,24.41040,0.02540,1.08870,1.11580,0.62010,0.64200,16.19120,0.4281,0.396
2020-09-30,143.25200,143.25200,7.21600,-36.05800,55.76900,-22.21300,33.55600,-0.13800,33.69400,36.46000,,36.46000,99.97800,55.76900,205.79200,206.72700,0.18000,0.18000,0.41870,0.72020,38.93070,38.93070,23.42450,25.45170,0.02390,1.08370,1.11210,0.60850,0.63000,16.25850,0.4665,0.4033
2020-06-30,153.91700,153.91700,8.67300,-33.43000,67.61200,-25.42000,42.19200,0.43300,41.75900,29.62300,,29.62300,111.81400,67.61200,205.59400,206.21900,0.14000,0.14000,0.42210,0.73050,43.92760,43.92760,27.41220,19.24610,0.02560,0.88130,0.90650,0.49180,0.50930,16.35160,0.4544,0.3077
2020-03-31,149.34600,149.34600,8.76100,-32.82900,63.58800,-23.66200,39.92600,1.04200,38.88400,35.21700,,35.21700,107.75600,63.58800,205.39500,206.00600,0.17000,0.17000,0.42200,0.73020,42.57760,42.57760,26.73390,23.58080,0.02450,1.03730,1.06770,0.57810,0.59950,16.51700,0.36320,0.00900
2019-12-31,155.76300,155.76300,5.93400,-33.57200,72.22510,-30.21300,42.01200,1.11000,40.90200,39.74100,,39.74100,116.25700,72.22510,187.17200,188.12700,0.23000,0.23000,0.40780,0.68860,46.36850,46.36850,26.97170,25.51380,0.02570,1.13920,1.17340,0.65480,0.67470,16.99960,0.5369,0.3642
2019-09-30,149.83400,149.83400,8.70900,-43.61300,54.42000,-29.70300,24.71700,0.82600,23.89100,23.28600,,23.28200,97.51200,54.42000,190.65000,191.95200,0.12000,0.12000,0.44230,0.79300,36.32020,36.32020,16.49630,15.53850,0.02470,0.70940,0.73290,0.38380,0.39560,16.94610,0.3902,0.1813
2019-06-30,219.36600,219.36600,8.05900,-32.67400,129.15700,-40.97300,88.18400,0.85400,87.33000,83.68300,,83.67700,178.63300,129.15700,181.56700,182.25400,0.46000,0.46000,0.45170,0.82380,58.87740,58.87740,40.19950,38.14490,0.03580,2.56670,2.65530,1.36670,1.40730,17.20380,0.7503,2.4639
2019-03-31,136.77300,136.77300,8.18400,-121.67000,-38.03000,-37.66700,-75.69700,0.61200,-76.30900,-77.69200,,-77.70400,6.91900,-38.03000,178.38600,178.38600,-0.44000,-0.44000,0.51430,1.05880,-27.80520,-27.80520,-55.34500,-56.81240,0.02120,-2.54660,-2.65060,-1.20360,-1.23690,17.09890,0.30250,0.31250
2018-12-31,139.20900,139.20900,11.67100,-42.13800,37.65200,-54.06600,-16.41400,1.16400,-17.57800,-19.38300,,-19.39400,81.53700,37.65200,178.30600,178.72200,-0.12000,-0.11000,0.49820,0.99300,27.04710,27.04710,-11.79090,-13.93160,0.02090,-0.59550,-0.62050,-0.29080,-0.29880,18.25360,0.4359,0.7896
2018-09-30,151.80200,151.80200,8.17300,-21.52100,73.64000,-35.95500,37.68500,0.73200,36.95300,35.22800,,35.21800,127.66900,73.64000,178.31800,178.94100,0.20000,0.20000,0.50010,1.00040,48.51060,48.51060,24.82510,23.20000,0.02200,1.04620,1.09260,0.50980,0.52300,18.88690,0.3977,0.3011
2018-06-30,166.31200,166.31200,9.38300,-12.50600,97.59500,106.14600,203.74100,0.60500,203.13600,200.78900,,193.58000,143.73900,97.59500,178.31500,178.68400,1.09000,1.08000,0.50120,1.00470,58.68190,58.68190,122.50530,116.39570,0.02370,5.89180,6.17500,2.85690,2.93910,19.11520,0.6146,1.8702
2018-03-31,166.08600,166.08600,7.86700,-13.86900,96.01500,-33.47000,62.54500,0.51000,62.03500,62.48100,,59.91000,143.33600,96.01500,178.29500,178.51600,0.34000,0.34000,0.49520,0.98090,57.81040,57.81040,37.65820,36.07170,0.02380,1.82350,1.91360,0.89460,0.92050,19.21990,0.56940,-0.42100
2017-12-31,169.10600,169.10600,8.24100,-16.91600,91.85100,12.60800,104.45900,0.49000,103.96900,103.96900,,101.38500,142.80600,91.85100,105.62100,105.84200,0.77000,0.77000,0.49690,0.98760,54.31560,54.31560,61.77130,59.95350,0.02400,3.02480,3.17940,1.47850,1.52190,19.28270,0.8092,1.6167
2017-09-30,111.78900,111.78900,12.94400,-10.25100,39.36200,-24.48800,14.87400,-0.19500,15.06900,15.06900,,12.53400,65.93200,39.36200,112.15000,112.41800,0.11000,0.11000,0.47130,0.89130,35.21100,35.21100,13.30540,11.21220,0.01700,0.44690,0.48470,0.22870,0.23630,19.17640,-0.3529,-3.6268
2017-06-30,64.73600,64.73600,5.12600,-4.94200,31.56100,-10.88900,20.67200,0.13600,20.53600,20.53600,,17.96000,48.78100,31.56100,65.43900,65.67100,0.27000,0.27000,0.55040,1.22410,48.75340,48.75340,31.93280,27.74350,0.02870,2.06050,2.06040,0.91110,0.92640,15.23450,0.3474,0.2083
2017-03-31,62.65000,62.65000,6.09000,-4.19000,32.67000,-13.65900,19.01100,0.22000,18.79100,18.79100,,16.26200,51.80700,32.67000,65.35500,65.92000,0.25000,0.25000,0.54490,1.19720,52.14690,52.14690,30.34480,25.95690,0.02800,1.87110,1.87100,0.83880,0.85150,15.35450,0.47920,0.47130
2016-12-31,61.79100,61.79100,3.35600,-3.70400,37.38600,-13.32100,24.06500,0.89500,23.17000,23.17000,,20.61500,50.73700,37.38600,65.28400,65.52100,0.32000,0.32000,0.54380,1.19210,60.50400,60.50400,38.94580,33.36250,0.02730,2.28150,2.34190,1.02250,1.04070,15.55630,0.6449,0.1637
2016-09-30,61.92700,61.92700,4.96600,-1.94400,36.86400,-11.39800,25.46600,0.15400,25.31200,25.31200,,22.77600,55.26600,36.86400,65.31200,65.59100,0.35000,0.35000,0.53940,1.17110,59.52820,59.52820,41.12260,36.77880,0.02770,2.49670,2.49650,1.13030,1.14990,15.53610,0.5976,-0.9233
2016-06-30,74.24900,74.24900,4.63600,-1.66300,51.54500,-14.07900,37.46600,,37.46600,37.46600,,34.91500,69.27700,51.54500,65.30310,65.50340,0.53000,0.53000,0.54130,1.17990,69.42180,69.42180,50.45990,47.02420,0.03300,3.68450,3.68430,1.66270,1.69010,15.57580,1.0636,2.2034
2016-03-31,62.55900,62.55900,4.71400,-33.74600,6.33300,-22.07600,-15.74300,,-15.74300,-15.74300,,-18.27200,25.32000,6.33300,65.24800,65.24800,-0.28000,-0.28000,0.58120,1.38760,10.12320,10.12320,-25.16500,-29.20760,0.02570,-1.56270,-1.56260,-0.64680,-0.65450,15.43510,0.37900,0.37780
