Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,6.53900,2.82500,3.71400,1.27800,4.53800,,5.81600,-2.10200,-0.58700,-2.68900,-2.68900,-2.68900,-2.68900,-1.75100,-2.10200,17.34160,17.34160,-0.16000,-0.16000,0.80390,0.28820,56.79770,-32.14560,-32.14560,-41.12250,-41.12250,0.25320,0.88610,3.22750,27.88500,-64.96740,-64.96740,-10.41320,-64.96740,0.23890,-0.0926,-0.1153
2024-06-30,6.02700,2.92500,3.10200,1.08800,3.79000,,4.87800,-1.77600,1.08900,-0.68700,-0.68700,-0.68700,-0.68700,-1.41900,-1.77600,16.34880,16.34880,-0.04000,-0.04000,1.03550,0.17370,51.46840,-29.46740,-29.46740,-11.39870,-11.39870,0.22310,1.13900,3.96770,22.68290,-10.25070,-10.25070,-2.54310,-10.25070,0.38680,-0.0404,-0.1424
2024-03-31,5.34400,2.34100,3.00300,1.03400,3.39300,,4.42700,-1.42400,-5.15700,-6.58100,-6.58100,-6.58100,-6.58100,-1.22200,-1.42400,13.75970,13.75970,-0.34970,-0.34970,0.56740,-2.50660,56.19390,-26.64670,-26.64670,-123.14750,-123.14750,0.41380,0.87480,3.70080,24.31890,206.68980,206.68970,-50.96410,206.68970,-0.20170,-0.11470,-0.13080
2023-12-31,4.52000,2.22700,2.29300,1.05200,3.79000,,4.84200,-2.54900,-4.68600,-7.23500,-7.23500,-7.23500,-7.23500,-2.33300,-2.54900,13.54670,13.54670,-0.70900,-0.70900,0.34200,-1.38240,50.73010,-56.39380,-56.39380,-160.06640,-160.06640,0.30130,0.90310,3.67180,24.51110,48.71070,48.71070,-48.22690,48.71070,-1.08600,-0.2172,-0.2378
2023-09-30,3.23900,1.79700,1.44200,0.89400,2.55500,,3.44900,-2.00700,0.28000,-1.72700,-1.72700,-1.72700,-1.72700,-1.79000,-2.00700,13.42070,13.42070,-0.13000,-0.13000,0.32360,-1.28860,44.51990,-61.96360,-61.96360,-53.31890,-53.31890,0.30580,0.86600,2.97430,30.25930,22.28390,22.28390,-16.30320,22.28390,-0.56610,-0.0741,-0.1069
2023-06-30,2.75000,1.64400,1.10600,0.81200,3.16900,,3.98100,-2.87500,0.02500,-2.85000,-2.85000,-2.85000,-2.85000,-2.66600,-2.87500,13.41820,13.41820,-0.21000,-0.21000,0.37940,-1.47430,40.21820,-104.54540,-104.54540,-103.63640,-103.63640,0.26140,0.82490,2.53220,35.54180,46.28880,46.28880,-27.08610,46.28880,-0.44980,-0.2135,-0.2407
2023-03-31,2.16300,1.37100,0.79200,0.61100,2.71600,,3.32700,-2.53500,1.78300,-0.75200,-0.75200,-0.75200,-0.75200,-2.33700,-2.53500,13.31960,13.31960,0.00000,0.00000,0.32220,-1.17800,36.61580,-117.19830,-117.19830,-34.76650,-34.76650,0.25570,0.73790,2.05020,43.89740,14.56240,14.56240,-8.89100,14.56240,-0.38710,-0.12430,-0.15250
2022-12-31,2.44400,1.77800,0.66600,0.56800,2.63500,,3.20300,-2.53700,-0.26900,-2.80600,-2.80600,-2.80600,-2.80600,-2.34500,-2.53700,13.06670,13.06670,-0.69930,-0.69930,0.37520,-1.44190,27.25040,-103.80530,-103.80520,-114.81180,-114.81180,0.26020,1.29030,2.02320,44.48450,47.32670,47.32670,-29.87330,47.32670,-0.45000,-0.1929,-0.2132
2022-09-30,1.51700,1.24300,0.27400,0.55400,2.69700,,3.25100,-2.97700,-0.94700,-3.92400,-3.92400,-3.92400,-3.92400,-2.78300,-2.97700,13.09900,13.09900,0.34970,0.34970,0.50170,-1.72440,18.06200,-196.24260,-196.24260,-258.66840,-258.66840,0.15810,0.83990,1.80170,49.95390,110.78490,110.78490,-40.90060,110.78490,-0.27250,-0.1882,-0.2091
2022-06-30,0.83800,0.73800,0.10000,0.41500,2.15000,,2.56500,-2.46500,0.08900,-2.37600,-2.37600,-2.37600,-2.37600,-2.27500,-2.46500,12.99860,12.99860,-0.34970,-0.34970,0.68470,-2.98730,11.93320,-294.15270,-294.15270,-283.53220,-283.53220,0.09980,0.50340,1.04360,86.24100,335.12010,335.12010,-28.28910,335.11990,-0.05450,-0.1335,-0.1583
