Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,150.57800,63.37400,87.20400,-71.63400,82.27900,4.92500,-9.46500,-4.54000,-0.84900,-3.69100,-3.69100,,-4.26600,11.77500,4.92500,5.86500,5.86500,-0.73000,-0.73000,0.92260,0.98580,69.73600,57.91290,3.27070,3.27070,-3.01500,-2.83310,0.22230,10.62430,2.45950,36.59220,-56.85450,0.93290,-0.54480,-0.80830,1.04860,-0.32,-0.2587
2024-03-31,146.55000,60.96500,85.58500,-78.70500,90.13700,-4.55200,-9.92100,-14.47300,-2.83700,-11.63600,-11.63600,,-12.17900,2.74100,-4.55200,5.91000,5.91000,-2.06000,-2.06000,0.93650,0.97750,43.53170,58.39990,-3.10610,-3.10610,-9.87580,-8.31050,0.21400,9.10060,2.47610,36.34760,-111.65920,2.93830,-1.69920,-2.50740,1.69640,0.5415,0.2151
2023-12-31,155.67800,64.51900,91.15900,-71.76600,83.32600,7.83300,-6.35200,1.48100,0.24800,1.23300,1.23300,,0.68800,15.12800,7.83300,5.91000,5.93600,0.12000,0.12000,0.93980,0.95340,20.46690,58.55610,5.03150,5.03150,0.95130,0.44190,0.22160,8.44820,2.28590,39.37150,5.55660,-0.31100,0.17550,0.25880,3.61220,0.01350,0.36980
2023-09-30,164.01000,64.15000,99.86000,-76.85800,88.93500,10.92500,-11.36200,-0.43700,0.88800,-1.32500,-1.32500,,-1.98400,18.44900,10.92500,5.86700,5.86700,-0.34000,-0.33000,0.93170,0.95060,19.22470,60.88660,6.66120,6.66120,-0.26640,-1.20970,0.23050,8.54880,2.37340,37.92060,-5.58930,0.33060,-0.18620,-0.27640,3.90930,-0.1394,0.445
2023-06-30,171.31000,69.92800,101.38200,-77.91600,89.17400,12.20800,-9.68000,2.52800,0.39400,2.13400,2.13400,,1.50300,19.68600,12.20800,5.87800,5.90800,0.26000,0.25000,0.87570,0.96910,31.50860,59.18040,7.12630,7.12630,1.47570,0.87740,0.23700,8.81480,2.47620,36.34570,14.61740,-0.50570,0.29520,0.45160,2.40430,-0.4661,-0.4042
2023-03-31,170.68700,75.29700,95.39000,-81.10500,92.53200,2.85800,-10.29500,-7.43700,-2.07100,-5.36600,-5.36600,,-5.88500,10.59100,2.85800,5.82300,5.82300,-1.01000,-1.01000,0.84380,0.97260,35.51250,55.88590,1.67440,1.67440,-4.35710,-3.44780,0.23280,7.27720,2.52540,35.63730,-41.42680,1.25290,-0.73200,-1.13460,2.14450,0.5508,0.5853
2022-12-31,185.13100,82.87800,102.25300,-82.54300,91.07500,11.17800,-8.91400,2.26400,0.44000,1.82400,1.82400,,1.09900,19.06400,11.17800,5.82500,5.89600,0.19000,0.19000,0.89090,0.96170,25.11420,55.23280,6.03790,6.03790,1.22290,0.59360,0.24760,9.21790,2.45520,36.65760,9.90340,-0.42650,0.24390,0.37920,3.04780,-0.37550,0.11040
2022-09-30,193.63600,79.30300,114.33300,-105.85000,117.80700,-3.47400,-4.79500,-8.26900,-1.66500,-6.60400,-6.60400,,-7.13000,5.62500,-3.47410,5.77900,5.77900,-1.25000,-1.21000,0.83210,0.96410,26.83500,59.04530,-1.79410,-1.79410,-4.27040,-3.68220,0.26020,9.59500,2.78520,32.31310,-38.31300,1.52290,-0.88760,-1.37640,2.88290,0.4698,0.1649
2022-06-30,195.03700,85.66800,109.36900,-88.04000,102.93000,6.43900,-6.08700,0.35200,0.15600,0.19600,0.19600,,-0.26900,15.25700,6.43900,5.79500,5.79500,-0.05000,-0.05000,0.79080,0.89440,8.46940,56.07600,3.30140,3.30140,0.18050,-0.13790,0.24540,9.89120,2.60360,34.56780,0.35890,-0.04720,0.02470,0.03790,9.13750,0.2285,0.0353
2022-03-31,190.01400,90.58100,99.43300,-83.12000,102.66100,-3.22800,-6.61000,-9.83800,-3.14400,-6.69400,-6.69400,,-7.27600,5.72300,-3.22800,5.77700,5.77700,-1.26000,-1.26000,0.74080,0.89310,8.35400,52.32930,-1.69880,-1.69880,-5.17750,-3.82920,0.23890,12.06300,2.80530,32.08220,-12.08980,1.59230,-0.84160,-1.29250,9.29480,-0.2024,-0.6024
2021-12-31,202.28200,92.33800,109.94400,-71.95400,84.83000,25.11400,-6.56400,18.55000,5.35100,13.19900,13.19900,,12.65800,34.79000,25.11400,5.72600,5.84400,2.21000,2.17000,0.76480,0.88000,7.32990,54.35190,12.41530,12.41530,9.17040,6.25760,0.24320,14.56440,2.76370,32.56530,20.91590,-3.15770,1.58670,2.51090,10.59340,0.09750,2.25860
2021-09-30,193.91200,88.40100,105.51100,-83.08900,91.96400,13.54700,-8.13800,5.40900,0.14900,5.26000,5.26000,,4.75000,22.59400,13.54700,5.71700,5.82600,0.83000,0.78000,0.76820,0.91680,11.16390,54.41180,6.98620,6.98610,2.78940,2.44960,0.22990,14.03860,2.98010,30.20080,12.16750,-1.18560,0.62360,1.01210,7.34080,1.2818,1.176
2021-06-30,196.49000,89.78200,106.70800,-80.67000,92.92500,13.78300,-8.68000,5.10300,1.36600,3.73700,3.73700,,3.22700,24.61900,13.78300,5.72500,5.84800,0.56000,0.55000,0.76770,1.01780,-57.32740,54.30710,7.01460,7.01460,2.59710,1.64230,0.23940,13.85950,3.16490,28.43730,-44.15700,-0.74480,0.45530,0.78570,-1.43710,0.4526,0.0978
2021-03-31,192.43000,90.33300,102.09700,-78.39400,93.67900,8.41800,-9.59700,-1.17900,-0.57100,-0.60800,-0.60800,,-1.13400,20.93500,8.41800,5.72100,5.72100,-0.20000,-0.20000,0.73970,1.02700,-39.08770,53.05670,4.37460,4.37460,-0.61270,-0.58930,0.23040,13.32940,3.19910,28.13280,4.76340,0.11880,-0.07280,-0.12870,-2.17190,3.5611,3.4434
2020-12-31,211.81700,92.15500,119.66200,-85.24600,98.85400,20.80800,1.90600,22.71400,6.31100,16.40300,16.40300,,15.90200,31.24900,20.80800,5.69000,5.73200,2.79000,2.77000,0.77890,1.02510,-42.21210,56.49310,9.82360,9.82360,10.72340,7.50740,0.24420,13.24640,3.11350,28.90600,-132.25030,-3.16580,1.89120,3.32040,-2.11060,3.30010,3.38700
2020-09-30,191.76600,86.30700,105.45900,-74.64400,99.02300,6.43600,-3.50100,2.93500,3.06500,-0.13000,-0.13000,,-0.65300,17.37300,6.43600,5.65700,5.69400,-0.07000,-0.08000,0.75510,1.05990,-18.16520,54.99360,3.35620,3.35620,1.53050,-0.34050,0.22190,11.45570,3.64590,24.68540,0.43870,0.02400,-0.01500,-0.02630,-5.07850,2.0474,2.6106
2020-06-30,182.52800,79.96800,102.56000,-76.74500,90.81100,11.74900,-12.10800,-0.35900,0.36800,-0.72700,-0.72700,,-1.27500,28.24900,11.74900,5.66400,5.66400,-0.23000,-0.23000,0.82900,1.07200,-15.89620,56.18860,6.43680,6.43680,-0.19670,-0.69850,0.20230,9.62890,3.28640,27.38540,2.00630,0.13070,-0.08060,-0.14450,-6.20900,4.8323,4.5831
2020-03-31,121.36700,53.01200,68.35500,-51.48000,54.56800,13.78700,-21.10800,-7.32100,-2.33100,-4.99000,-4.99000,,-5.36700,15.76400,13.78700,5.65700,5.69500,-0.95000,-0.94000,0.98390,1.06640,-16.06200,56.32090,11.35980,11.35980,-6.03210,-4.42210,0.13400,6.21480,1.65470,54.38990,13.91480,0.88680,-0.55090,-0.92380,-6.16850,0.0625,2.5681
2019-12-31,122.34300,47.97900,74.36400,-47.70700,56.05800,18.30600,-10.71800,7.58800,1.87100,5.71700,5.71700,,5.32000,25.02500,18.30600,5.62700,5.70530,0.90000,0.90000,0.94050,1.07940,-13.66290,60.78320,14.96290,14.96290,6.20220,4.34840,0.21630,14.22440,2.41550,37.26000,-18.45980,-1.48230,1.01060,1.46490,-5.32720,1.81600,1.38730
2019-09-30,123.66500,47.51600,76.14900,-48.62800,61.73700,14.41200,-11.31000,3.10200,1.75700,1.34500,1.34500,,0.81900,21.48100,14.41200,5.55700,5.68800,0.17000,0.21000,0.98800,1.09380,-11.73860,61.57680,11.65400,11.65410,2.50840,0.66230,0.22270,12.60710,2.90730,30.95650,-3.65180,-0.34090,0.24230,0.34260,-6.38920,2.4406,2.0675
2019-06-30,127.28400,50.60300,76.68100,-46.51100,56.65000,20.03100,-12.35400,7.67700,1.50500,6.17200,6.17200,,5.76600,27.39500,20.03100,5.56430,5.68700,1.00000,1.00000,1.03040,1.05120,-20.70370,60.24400,15.73720,15.73720,6.03140,4.53000,0.22160,15.53190,2.66440,33.77860,-28.65370,-1.61540,1.07450,1.46780,-3.66180,2.6941,2.5976
2019-03-31,122.70400,53.61000,69.09400,-46.29900,56.52700,12.56700,-14.73800,-2.17100,0.15600,-2.32700,-2.32700,,-2.67800,19.93700,12.56700,5.56080,5.56080,-0.50000,-0.50000,1.04450,1.06560,-16.50940,56.30950,10.24170,10.24170,-1.76930,-2.18250,0.21180,13.17850,2.80940,32.03590,8.33480,0.59200,-0.40160,-0.54660,-4.83610,1.5825,1.3524
2018-12-31,136.20100,53.37700,82.82400,-47.61400,55.10500,27.71900,-12.48700,15.23200,4.51300,10.71900,10.71900,,10.36100,35.24800,27.71900,5.52040,5.67010,1.90000,1.80000,1.13600,1.06010,-17.68680,60.81010,20.35160,20.35160,11.18350,7.60710,0.23210,9.91220,2.66870,33.72460,-41.08000,-2.76370,1.82650,2.46960,-4.52290,3.42270,3.34910
2018-09-30,139.74600,56.64100,83.10500,-54.77000,63.96200,19.14300,-14.14200,5.00100,0.56300,4.43800,4.43800,,4.06600,33.36500,19.14300,5.47020,5.59480,0.80000,0.70000,0.90820,1.08540,-12.90140,59.46860,13.69850,13.69840,3.57860,2.90960,0.24290,9.96500,3.19700,28.15100,-12.23940,-1.10330,0.77130,1.04540,-6.34570,0.4285,0.7429
2018-06-30,132.61800,55.01200,77.60600,-47.68200,57.45100,20.15500,-13.43300,6.72200,1.97200,4.75000,4.75000,,4.45800,28.06000,20.15500,5.47780,5.60800,0.80000,0.80000,0.79000,1.11620,-9.97560,58.51850,15.19780,15.19780,5.06870,3.36150,0.21930,10.69230,2.87010,31.35730,-9.84070,-1.13450,0.78540,1.14390,-8.45640,3.8838,3.7591
2018-03-31,127.80500,55.00300,72.80200,-46.40700,56.23900,16.56300,-13.10300,3.46000,0.92700,2.53300,2.53300,,2.23900,24.57800,16.56300,5.46920,5.58610,0.40000,0.40000,0.68920,1.12950,-9.29920,56.96330,12.95960,12.95960,2.70720,1.75190,0.21210,13.60110,2.85850,31.48540,-4.74230,-0.59270,0.42030,0.61420,-9.36310,2.4916,2.6041
