Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,353.31900,254.75200,98.56700,78.30800,79.85100,18.71600,-0.42900,18.28700,4.07800,14.20900,14.20900,,14.20900,20.25900,18.71600,18.57800,18.82300,0.76000,0.75000,2.05920,0.13850,0.16070,27.89750,5.29720,5.29720,5.17580,4.02160,0.95530,1.54110,58.39850,8.48940,9.98290,3.84180,7.31390,8.70700,1.6519,1.4639
2024-06-30,356.31800,257.34500,98.97300,77.71800,79.27300,19.70000,-0.50400,19.19600,5.03900,14.15700,14.15700,,14.15700,21.25500,19.70000,18.69600,18.88600,0.76000,0.75000,2.32550,0.18050,0.22030,27.77660,5.52880,5.52880,5.38730,3.97310,0.98240,1.54440,58.27450,8.49660,9.99930,3.90340,6.96290,8.59970,1.1102,0.9456
2024-03-31,351.88900,256.63900,95.25000,78.19000,79.52300,15.72700,-0.65600,15.07100,4.08400,10.98700,10.98700,,10.98700,17.06000,15.72700,18.72600,18.93200,0.59000,0.58000,2.32010,0.19870,0.24800,27.06820,4.46930,4.46930,4.28290,3.12230,0.96060,1.48520,60.59600,6.67880,7.87800,2.99920,5.35160,8.44180,0.69560,0.59660
2023-12-31,363.44700,264.08390,99.36310,76.37500,77.61100,21.75210,-0.33200,21.42000,5.70400,15.71600,15.71600,,15.71600,22.98810,21.75210,19.18800,19.50700,0.84000,0.82000,2.37400,0.20730,0.26150,27.33910,5.98500,5.98490,5.89360,4.32420,1.01530,1.55700,57.80350,9.87930,11.72490,4.39020,7.83140,8.14920,1.1507,1.0641
2023-09-30,373.12200,269.66100,103.46100,86.22600,87.42800,16.03300,-0.18100,15.85200,5.27700,10.57500,10.57500,,10.57500,17.23500,16.03300,19.15800,19.51800,0.55000,0.54000,2.16240,0.10680,0.11960,27.72850,4.29700,4.29700,4.24850,2.83420,1.00910,1.50280,59.88980,5.90940,6.87080,2.85990,5.27820,9.05630,1.4765,1.4176
2023-06-30,389.19000,278.92400,110.26600,82.99300,84.33300,25.93300,-0.31300,25.62000,7.04600,18.57400,18.57400,,18.57400,27.27300,25.93300,19.34100,19.61100,0.96000,0.95000,2.48900,0.11590,0.13110,28.33220,6.66330,6.66330,6.58290,4.77250,1.05740,1.55330,57.94280,9.89990,11.42470,5.04630,8.75230,9.32680,1.0927,0.9355
2023-03-31,405.99700,292.02100,113.97600,89.33900,90.57300,23.40300,-1.04500,22.35800,6.14800,16.21000,16.21000,,16.21000,24.63700,23.40300,19.45500,19.66700,0.83000,0.82000,2.18600,0.10720,0.12010,28.07310,5.76430,5.76430,5.50690,3.99260,1.05410,1.52330,59.08230,8.72800,10.08810,4.20870,7.79230,9.13690,0.96890,0.87370
2022-12-31,419.66200,300.18290,119.47910,94.31300,95.52600,23.95310,-14.75600,9.19700,2.12500,7.07200,7.07200,,7.07200,25.16610,23.95310,20.05400,20.50300,0.38000,0.36000,2.11330,0.12320,0.14050,28.47030,5.70770,5.70770,2.19150,1.68520,1.07060,1.55720,57.79570,3.88150,4.49990,1.80410,3.40330,8.88860,0.6116,0.4438
2022-09-30,437.62000,310.95000,126.67000,94.30600,95.35100,31.31900,-0.90600,30.41300,8.15100,22.26200,22.26200,,22.26200,32.36400,31.31900,20.02200,20.45000,1.11000,1.09000,1.81770,,,28.94520,7.15670,7.15670,6.94960,5.08710,1.06000,1.55650,57.82260,10.65290,12.10310,5.39240,10.65290,10.03050,0.4019,0.3411
2022-06-30,436.51600,305.44400,131.07200,96.14700,97.22300,33.84900,2.67200,36.52100,9.60500,26.91600,26.91600,,26.91600,34.92500,33.84900,20.28300,20.71800,1.33000,1.30000,1.72170,,,30.02690,7.75440,7.75440,8.36650,6.16610,0.98750,1.52770,58.91060,12.78470,14.51050,6.08890,12.78470,9.92470,1.5465,1.4868
