Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,4.24500,1.38390,-5.62890,0.02750,-5.60590,-5.60590,-5.60590,-5.60590,-5.62820,-5.62890,22.18100,22.18100,-0.25000,-0.25000,1.82110,0.00930,-167.22410,-167.22430,-75.66110,-167.22430,0.10020,12.3198,12.3198
2024-06-30,1.11660,1.41160,-2.52810,-0.00260,-2.53080,-2.53080,-2.53080,-2.53080,-2.52740,-2.52810,0.37700,0.37700,-6.72000,-6.72000,0.31720,-0.02870,58.94240,58.94240,-102.49000,58.94240,-2.97550,5.4731,5.4731
2024-03-31,2.43040,1.11440,-3.54490,0.00010,-3.54470,-3.54470,-3.54470,-3.54470,-3.54400,-3.54490,0.17430,0.17430,-20.50000,-20.50000,0.26290,-0.04810,80.00740,80.00740,-213.42630,80.00740,-20.76350,-18.31780,-18.31780
2023-12-31,4.27170,1.10760,-5.37940,0.00040,-5.37530,-5.37530,-5.37530,-5.37530,-5.37840,-5.37940,0.07530,0.07530,-14.50000,-14.50000,0.25940,-0.06790,121.27960,121.27960,-316.03260,121.27960,-35.74290,-49.5439,-49.5749
2023-09-30,3.41060,1.12330,-4.53380,0.01470,-4.52280,-4.52280,-4.52280,-4.52280,-4.53290,-4.53380,0.08400,0.08400,-54.14000,-54.14000,0.50670,-0.02410,259.81890,259.81850,-194.27430,259.81850,-20.68880,-33.5982,-33.619
2023-06-30,2.84560,1.17980,-4.02540,0.00420,-4.02120,-4.02120,-4.02120,-4.02120,-4.02440,-4.02540,0.07800,0.07870,-51.86000,-51.86000,1.51880,0.06780,-163.83550,-163.83560,-62.32920,-163.83560,29.63580,22.0225,22.0225
2023-03-31,3.56780,1.35880,-4.92650,-0.00540,-4.93190,-4.93190,-4.93190,-4.93190,-4.92520,-4.92650,0.03810,0.03810,-129.50000,-129.50000,1.77730,0.08280,-141.24240,-141.24240,-66.51550,-141.24240,78.43290,-126.56330,-126.56330
2022-12-31,2.98200,2.15250,-5.13450,-0.00230,-5.13690,-5.13690,-5.13690,-5.13690,-5.13220,-5.13450,0.02720,0.02720,-177.50000,-177.50000,2.55370,0.05040,-63.16170,-63.16170,-39.35350,-63.16170,251.47980,-78.2712,-78.2677
2022-09-30,2.20790,1.21110,-3.41900,-0.00050,-3.41960,-3.41960,-3.41960,-3.41960,-3.41620,-3.41900,0.02670,0.02670,-128.00000,-128.00000,6.99220,0.00470,-40.73990,-40.73990,-35.48020,-40.73990,31.45410,-67.9445,-68.0013
2022-06-30,2.22130,1.34300,-3.56430,-0.00160,-3.56600,-3.56600,-3.56600,-3.56600,-3.56110,-3.56430,0.02670,0.02670,-133.50000,-133.50000,12.33680,0.01360,-30.94520,-30.94520,-28.64840,-30.94520,43.18270,-122.4667,-122.5757
2022-03-31,1.88880,1.26040,-3.14920,-0.00260,-3.15180,-3.15180,-3.15180,-3.15180,-3.14580,-3.14920,0.02590,0.02590,-122.00000,-122.00000,13.77830,0.01840,-21.29210,-21.29210,-19.85760,-21.29210,55.47080,-118.90260,-118.90260
2021-12-31,2.35520,0.89630,-3.25150,-0.00220,-3.25380,-3.25380,-3.25380,-3.25380,-3.24800,-3.25150,0.01760,0.01760,-758.99340,-758.99340,2.88240,0.06290,-52.79360,-52.79360,-37.15460,-52.79360,324.72060,-714.6641,-714.9712
2021-09-30,2.57800,1.23540,-3.81340,-0.00090,-3.81430,-3.81430,-3.81430,-3.81430,-3.81000,-3.81340,0.18290,0.18290,-21.00210,-21.00210,4.63390,0.00490,-41.91560,-41.91560,-33.14660,-41.91560,49.71220,-7.3179,-7.3163
2021-06-30,2.66500,1.14630,-3.81130,-0.00240,-3.81370,-3.81370,-3.81370,-3.81370,-3.80810,-3.81130,0.16950,0.16950,-22.50230,-22.50230,7.58350,0.01430,-30.73620,-30.73620,-26.78420,-30.73620,67.98460,-28.8717,-28.871
2021-03-31,2.20690,1.40280,-3.60970,-0.00370,-3.61340,-3.61340,-3.61340,-3.61340,-3.60670,-3.60970,0.16440,0.16440,-22.50230,-22.50230,6.72340,0.02750,-32.13960,-32.13960,-27.48960,-32.13960,66.52450,-20.12070,-20.14310
