Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-08-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,
2021-02-28,12.58800,7.52100,5.06700,6.61300,6.61300,-1.54600,0.62100,-0.92500,0.73400,-1.65900,-1.92600,-1.94900,-1.54600,-1.54600,2.31310,2.31310,0.92000,0.92000,2.27700,40.25260,-12.28150,-12.28150,-7.34830,-15.48300,0.08420,7.45730,12.06860,-1.92870,-2.06990,-1.28900,-1.92870,180.25090,2.0786,1.3813
2020-11-30,10.28000,6.45600,3.82400,5.76500,5.76500,-1.94100,0.53000,-1.41100,-0.20500,-1.20600,-1.34100,-1.35300,-1.94100,-1.94100,0.57830,0.57830,-2.40000,-2.40000,1.93930,37.19840,-18.88130,-18.88130,-13.72570,-13.16150,0.06440,5.13230,17.53600,,-1.42500,-0.83960,-1.32920,,0,0
2020-08-31,12.20800,7.02100,5.18700,5.57800,5.57800,-0.39100,1.26300,0.87200,0.26000,0.61200,0.57800,0.44500,-0.39100,-0.39100,2.31310,2.35870,0.20000,0.20000,2.04650,42.48850,-3.20280,-3.20280,7.14290,3.64520,0.07940,5.00530,17.98080,,0.63100,0.37620,0.57910,,0,0
2020-05-31,8.22400,5.08400,3.14000,4.89700,4.89700,-1.75700,0.24400,-1.51300,-0.05400,-1.45900,-1.61800,-1.49800,-1.75700,-1.75700,2.31310,2.31310,-0.60000,-0.60000,1.86990,38.18090,-21.36430,-21.36430,-18.39740,-18.21500,0.05470,3.21750,27.97180,,-1.81690,-1.07650,-1.69610,,0.00000,
2020-02-29,10.51600,6.76600,3.75000,6.89800,27.70000,-23.95000,1.00200,-22.94800,-2.22500,-20.72300,-20.72600,-20.49700,-23.95000,-23.95000,2.36690,2.36690,-8.70000,-8.50000,2.89290,35.65990,-227.74810,-227.74820,-218.21980,-194.91250,0.07080,3.72380,24.16890,-21.46640,-22.96080,-13.96370,-21.46640,174.27980,4.9673,4.4121
2019-11-30,14.72200,7.18100,7.54100,5.99500,5.99500,1.54600,0.96000,2.50600,0.88900,1.61700,1.61000,1.60000,1.54600,1.54600,2.35810,2.43600,0.80000,0.60000,2.85750,51.22270,10.50130,10.50130,17.02210,10.86810,0.08260,3.83790,23.45060,,1.81240,0.90380,1.38890,,0,0
2019-08-31,18.00800,8.09000,9.91800,5.96100,5.96100,3.95700,0.17300,4.13000,1.28100,2.84900,2.83900,2.68900,3.95700,3.95700,2.38940,2.47580,1.10000,1.10000,3.73020,55.07550,21.97360,21.97360,22.93430,14.93230,0.10370,4.67010,19.27140,,3.23670,1.63420,2.47990,,0,0
2019-05-31,12.40700,6.70600,5.70100,5.99900,5.99900,-0.29800,1.56700,1.26900,0.65400,0.61500,0.60300,0.54500,-0.29800,-0.29800,2.40610,2.48320,0.20000,0.20000,3.36490,45.94990,-2.40190,-2.40190,10.22810,4.39270,0.06870,3.37610,26.65830,,0.70370,0.33410,0.53090,,0.00000,
2019-02-28,9.90400,7.00200,2.90200,7.43800,7.43800,-4.53600,0.53800,-3.99800,-1.22500,-2.77300,-2.78500,-2.64000,-4.53600,-4.53600,2.40530,2.40530,-1.10000,-1.10000,3.01870,29.30130,-45.79970,-45.79970,-40.36750,-26.65590,0.07110,2.82650,31.84170,-2.46190,-3.30840,-1.99940,-2.46190,47.00530,3.3023,2.1918
2018-11-30,13.10700,6.19100,6.91600,5.81100,5.81100,1.10500,-0.15600,0.94900,0.56300,0.38600,0.38600,0.39100,1.10500,1.10500,2.40650,2.51360,0.20000,0.20000,3.29350,52.76570,8.43060,8.43060,7.24040,2.98310,0.09460,3.84930,23.38060,0.34220,0.45560,0.27850,0.34220,46.87380,0,0
2018-08-31,13.67800,6.53100,7.14700,5.91000,5.91000,1.23700,0.60400,1.84100,0.90600,0.93500,0.93500,0.96200,1.23700,1.23700,2.40550,2.53330,0.40000,0.40000,2.89520,52.25180,9.04370,9.04370,13.45960,7.03320,0.09790,3.78470,23.77980,0.85960,1.08810,0.66900,0.85960,45.21680,0,0
2018-05-31,13.47300,5.95500,7.51800,5.15500,5.15500,2.36300,0.14900,2.51200,1.26800,1.24400,1.24400,1.19700,2.36300,2.36300,2.40280,2.55700,0.50000,0.50000,2.36230,55.80050,17.53880,17.53880,18.64470,8.88440,0.08990,3.47420,25.90520,1.14940,1.46700,0.82980,1.14940,45.04340,0.00000,
2017-11-30,13.20000,4.56300,8.63700,5.36700,5.36700,3.27000,0.21000,3.48000,1.86700,1.61300,1.61300,1.66800,3.27000,3.27000,1.63750,1.72940,0.80000,0.80000,4.70540,65.43180,24.77270,24.77270,26.36360,12.63640,0.08950,5.32470,16.90230,1.37590,1.37690,1.09340,1.37590,49.21290,0,0
2017-08-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2017-02-28,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
