Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,9.05000,,9.05000,1.34300,-1.82100,,2.83100,0.08400,2.91500,2.91500,2.91500,,2.91500,5.91400,2.83100,89.42800,89.42800,0.03000,0.03000,2.10200,,,100.00000,31.28180,31.28180,32.21000,32.21000,0.07920,1.70020,52.93590,2.73620,2.73620,2.55010,2.73620,1.19040,0.0923,-0.0163
2024-06-30,11.81100,,11.81100,1.38300,-3.54800,,2.63800,0.04300,2.68100,2.68100,2.68100,,2.68100,6.90700,2.63800,89.32700,89.32700,0.03000,0.03000,2.93860,,,100.00000,22.33510,22.33510,22.69920,22.69920,0.10640,1.36910,65.73790,2.59900,2.59900,2.41560,2.59900,1.15540,0.0517,-0.076
2024-03-31,8.11600,,8.11600,1.49500,-2.51900,,0.61700,0.15600,0.77300,0.77300,0.77300,,0.77300,4.13000,0.61700,88.75400,88.75400,0.01000,0.01000,1.30850,,,100.00000,7.60230,7.60230,9.52440,9.52440,0.06860,1.20500,74.68580,0.77290,0.77290,0.65350,0.77290,1.11930,-0.04840,-0.05830
2023-12-31,6.74200,,6.74200,1.89100,-6.55800,,-4.17100,0.15000,-4.02100,-4.02100,-4.02100,,-4.02100,-1.69300,-4.17100,87.03200,87.03200,-0.05000,-0.05000,1.30200,,,100.00000,-61.86590,-61.86590,-59.64110,-59.64110,0.05620,1.16440,77.29160,-4.07120,-4.07120,-3.34920,-4.07120,1.13200,0.1386,0.0578
2023-09-30,7.33000,,7.33000,1.29700,-2.24500,,0.85600,0.09300,0.94900,0.94900,0.94900,,0.94900,3.82100,0.85600,87.10900,87.10900,0.01000,0.01000,3.58280,,,100.00000,11.67800,11.67800,12.94680,12.94680,0.06610,1.30540,68.94270,0.92780,0.92780,0.85590,0.92780,1.17240,0.035,0.0085
2023-06-30,8.54800,,8.54800,1.33200,-2.83000,,1.48800,0.08600,1.57400,1.57400,1.57400,,1.57400,4.41300,1.48800,87.04000,87.04000,0.02000,0.02000,4.06970,,,100.00000,17.40760,17.40760,18.41370,18.41370,0.07930,2.10650,42.72580,1.56100,1.56100,1.46110,1.56100,1.15840,0.0757,-0.0185
2023-03-31,8.16400,,8.16400,1.48800,-2.46600,,1.62900,0.13300,1.76200,1.76200,1.76200,,1.76200,4.23600,1.62900,86.72100,86.72100,0.02000,0.02000,2.96680,,,100.00000,19.95350,19.95350,21.58260,21.58260,0.07550,1.41050,63.80700,1.78450,1.78450,1.62950,1.78450,1.13440,0.02050,-0.17590
2022-12-31,5.92500,,5.92500,1.74600,-2.32100,,-2.86800,0.08400,-2.78400,-2.78400,-2.78400,,-2.78400,1.88500,-2.86800,85.51300,85.51300,-0.04000,-0.04000,1.89300,,,100.00000,-48.40500,-48.40500,-46.98730,-46.98730,0.05100,2.43830,36.91140,-2.88620,-2.88620,-2.39770,-2.88620,1.12440,0.0352,0.0251
2022-09-30,7.47200,,7.47200,1.22000,-2.91800,,1.02100,0.05800,1.07900,1.07900,1.07900,,1.07900,3.35900,1.02100,85.64400,85.64400,0.01000,0.01000,8.30360,,,100.00000,13.66440,13.66440,14.44060,14.44060,0.07150,2.78700,32.29260,1.09280,1.09280,1.03280,1.09280,1.15090,0.0683,0.0526
2022-06-30,9.54700,,9.54700,1.29600,-2.80200,,3.22100,-0.01100,3.21000,3.21000,3.21000,,3.21000,5.47500,3.22100,85.47900,85.47900,0.04000,0.04000,7.59600,,,100.00000,33.73840,33.73840,33.62310,33.62310,0.09300,1.99560,45.09900,3.30310,3.30310,3.12710,3.30310,1.13600,0.067,0.0135
2022-03-31,7.09000,,7.09000,1.59200,-2.35600,,1.25600,0.08300,1.33900,1.33900,1.33900,,1.33900,3.16600,1.25600,86.06600,86.06600,0.02000,0.02000,4.13870,,,100.00000,17.71510,17.71510,18.88580,18.88580,0.06990,1.78590,50.39490,1.43380,1.43380,1.32070,1.43380,1.09270,0.01640,-0.04760
2021-12-31,4.52000,,4.52000,1.77500,-1.77900,,-1.58500,0.10800,-1.47700,-1.47700,-1.47700,,-1.47700,0.99100,-1.58500,79.96300,79.96300,-0.03000,-0.03000,5.41170,,,100.00000,-35.06640,-35.06640,-32.67700,-32.67700,0.04600,2.53650,35.48230,-1.61450,-1.61450,-1.50380,-1.61450,1.08600,0.0248,-0.0059
2021-09-30,4.06900,,4.06900,1.33700,-1.42300,,-0.35700,0.03200,-0.32500,-0.32500,-0.32500,,-0.32500,1.33300,-0.35700,79.53300,79.53300,0.00000,0.00000,8.79670,,,100.00000,-8.77370,-8.77370,-7.98720,-7.98720,0.04500,2.67700,33.62010,-0.37830,-0.37830,-0.35970,-0.37830,1.07730,0.0188,0.0074
2021-06-30,3.74000,,3.74000,1.33000,-1.45500,,-0.64700,0.42200,-0.22500,-0.22500,-0.22500,,-0.22500,0.97900,-0.64700,79.46200,79.46200,0.00000,0.00000,9.26780,,,100.00000,-17.29950,-17.29950,-6.01600,-6.01600,0.04160,2.43330,36.98660,-0.26270,-0.26270,-0.25040,-0.26270,1.07790,0.0192,0.01
2021-03-31,3.53100,,3.53100,1.76700,0.51900,,0.72200,0.00600,0.72800,0.72800,0.72800,,0.72800,2.30700,0.72200,76.84000,77.04000,0.01000,0.01000,7.35050,0.00020,0.00430,100.00000,20.44750,20.44750,20.61740,20.61740,0.03920,2.50600,35.91330,0.85290,0.85290,0.80810,0.85270,1.07410,0.01190,0.02860
2020-12-31,2.15400,,2.15400,1.91500,-20.44000,,-23.22100,-0.17800,-23.39900,-23.39900,-23.39900,,-23.39900,-20.17800,-23.22100,72.21000,72.21000,-0.32000,-0.32000,4.42520,0.00110,0.00490,100.00000,-1078.04100,-1078.04100,-1086.30500,-1086.30500,0.02710,3.26360,27.57660,-30.93630,-30.93630,-29.40900,-30.90280,1.04380,0.0005,-0.0051
2020-09-30,2.41700,,2.41700,1.28100,-1.05500,,-2.89300,0.60000,-2.29300,-2.29300,-2.29300,,-2.29300,0.10400,-2.89300,72.25000,72.25000,-0.03000,-0.03000,4.66980,0.00150,0.00380,100.00000,-119.69380,-119.69380,-94.86970,-94.86970,0.02350,2.56040,35.15100,-2.33300,-2.33300,-2.23250,-2.32960,1.35630,-0.0015,-0.2005
2020-06-30,0.65600,,0.65600,1.42200,-0.75000,,-3.42800,0.68700,-2.74100,-2.74100,-2.74100,,-2.74100,-1.49400,-3.42800,72.12500,72.12500,-0.04000,-0.04000,2.66020,0.00200,0.00370,100.00000,-522.56100,-522.56100,-417.83530,-417.83530,0.00620,1.01550,88.62810,-2.73890,-2.73890,-2.57140,-2.73330,1.38750,0.0192,0.1403
2020-03-31,2.83200,,2.83200,2.12300,-1.55200,,-4.28000,0.02300,-4.25700,-4.25700,-4.25700,,-4.25700,-0.82100,-4.28000,71.99600,71.99600,-0.06000,-0.06000,1.95850,,,100.00000,-151.12990,-151.12990,-150.31780,-150.31780,0.02530,1.00280,89.74580,-4.16950,-4.16950,-3.79820,-4.16950,1.41560,-0.01800,-0.13910
2019-12-31,4.20500,,4.20500,1.44700,-2.49700,,-1.78500,0.04400,-1.74100,-1.74100,-1.74100,,-1.74100,0.28900,-1.78500,51.21500,51.21500,0.01000,0.01000,1.77990,,,100.00000,-42.44940,-42.44940,-41.40310,-41.40310,0.03420,0.91370,98.49700,-1.65020,-1.65020,-1.41660,-1.65020,1.48470,-0.0829,-0.29
2019-09-30,3.12900,,3.12900,1.36600,-1.71800,,-3.90700,0.00100,-3.90600,-3.90600,-3.90600,,-3.90600,0.05400,-3.90700,56.21400,56.21400,-0.07000,-0.07000,3.50000,0.00300,0.00370,100.00000,-124.86420,-124.86420,-124.83220,-124.83220,0.02610,1.50000,60.00000,-3.66040,-3.66040,-3.25680,-3.64930,1.50910,0.0731,-0.0012
2019-06-30,4.07000,,4.07000,1.64400,-2.10800,,-2.46600,0.00600,-2.46000,-2.46000,-2.46000,,-2.46000,0.31800,-2.46600,49.19900,49.19900,-0.05000,-0.05000,2.89090,,,100.00000,-60.58970,-60.58970,-60.44230,-60.44230,0.04380,2.94710,30.53810,-2.88430,-2.88430,-2.64720,-2.88430,1.58450,0.065,-0.0958
2019-03-31,1.56800,,1.56800,1.32800,-0.06000,,-2.06900,-0.92600,-2.99500,-2.99500,-2.99500,,-2.99500,0.34100,-2.06900,27.82800,27.82800,-0.11000,-0.11000,0.99730,,,100.00000,-131.95160,-131.95160,-191.00760,-191.00760,0.01860,1.75200,51.37120,-4.31860,-4.31860,-3.55050,-4.31860,1.53130,-0.02260,-0.35610
2018-12-31,1.72200,,1.72200,1.16400,-1.16500,,-4.90600,-0.81000,-5.71600,-5.71600,-5.71600,,-5.71600,0.21500,-4.90600,11.16800,11.31300,-3.44000,0.78000,0.77120,0.69290,2.25630,100.00000,-284.90130,-284.90130,-331.93960,-331.93960,0.02550,2.04510,44.00700,-33.67900,-33.67900,-8.46500,-10.34270,1.07360,-0.0844,0.9658
2018-09-30,1.25900,,1.25900,1.62200,-0.93600,,-2.23600,-0.49700,-2.73300,-2.73300,-2.73300,,-2.73300,-1.28700,-2.23600,14.74800,14.74800,-0.19000,-0.19000,1.47720,0.58340,1.40050,100.00000,-177.60130,-177.60130,-217.07710,-217.07710,0.02140,1.54860,58.11760,-12.29700,-12.29700,-4.64060,-5.12260,1.47100,-0.028,-1.371
2018-06-30,0.89800,,0.89800,0.61600,-0.44500,,-0.86400,67.15400,66.29000,66.29000,66.29000,,66.29000,0.51600,-0.86400,7.35700,14.02700,9.01000,4.73000,1.03120,0.22580,0.29160,100.00000,-96.21380,-96.21380,7381.96000,7381.96000,0.02560,1.39010,64.74390,257.21710,257.21710,189.01660,199.14680,3.22590,-0.0141,-0.0141
2018-03-31,0.64400,,0.64400,0.73800,-0.32200,,-0.99800,-3.23600,-4.23400,-4.23400,-4.23400,,-4.23400,0.29600,-0.99800,7.27900,7.27900,-0.58000,-0.58000,0.37140,2.47480,-1.69230,100.00000,-154.96890,-154.96890,-657.45340,-657.45340,0.01800,1.83480,49.05280,10.27890,10.27890,-11.81660,-15.15990,-5.65890,-0.00560,-0.00560
2017-12-31,0.72500,,0.72500,0.52400,-19.26900,,-19.97000,-3.30900,-23.27900,-23.27900,-23.27900,,-23.27900,-18.26500,-19.97000,5.84700,5.84700,-3.94000,-5.46000,0.41340,2.26510,-1.80630,100.00000,-2754.48300,-2754.48300,-3210.89700,-3210.89600,0.01990,2.40860,37.36550,62.67910,62.67910,-63.95160,-79.29630,-5.10230,-0.0404,-0.0404
2017-09-30,0.74400,,0.74400,0.51100,-0.30800,,-1.37400,-3.23100,-4.60500,-4.60500,-4.60500,,-4.60500,0.71600,-1.37400,6.07400,,-0.76000,0.00000,0.46890,1.27900,-4.62690,100.00000,-184.67740,-184.67740,-618.95160,-618.95160,0.01320,1.64970,54.55650,33.08190,33.08190,-8.19370,-9.22880,-2.28760,0,0
2017-06-30,0.81200,,0.81200,0.69400,-0.39700,,-1.15200,-3.16200,-4.31400,-4.31400,-4.31400,,-4.31400,0.53300,-1.15200,5.68800,0.00000,-0.76000,0.00000,0.45740,1.18210,-6.55340,100.00000,-141.87190,-141.87190,-531.28080,-531.28080,0.01420,1.95190,46.10840,45.74760,45.74760,-7.51830,-8.33120,-1.56000,0.0138,0.0138
2017-03-31,0.73400,,0.73400,0.80000,-0.33000,,-1.07600,-3.09600,-4.17200,-4.17200,-4.17200,,-4.17200,0.43500,-1.07600,5.49300,5.49300,-0.76000,-0.76000,0.36610,1.11080,-10.12660,100.00000,-146.59400,-146.59400,-568.39230,-568.39230,0.01270,1.79900,50.02720,71.29180,71.29190,-7.19580,-7.89840,-1.06540,-0.01380,-0.01380
2016-12-31,0.96500,,0.96500,0.59400,-0.51100,,-2.90000,-3.19300,-6.09300,-6.09300,-6.09300,,-6.09300,0.79800,-2.90000,4.88600,4.88600,-1.21000,-1.21000,0.39150,1.03630,-29.03990,100.00000,-300.51800,-300.51810,-631.39890,-631.39890,0.01640,2.07970,43.27460,311.50160,311.50280,-10.36580,-11.29210,-0.35600,0,-0.0004
2016-09-30,1.21800,,1.21800,0.59700,-0.52600,,-0.42600,-3.08800,-3.51400,-3.51400,-3.51400,,-3.51400,0.97700,-0.42600,4.98400,4.98400,-0.70000,-0.70000,0.44590,0.93040,13.58340,100.00000,-34.97540,-34.97540,-288.50570,-288.50570,0.01980,2.26820,39.67980,-87.76210,-87.76220,-5.70440,-6.11090,0.80320,0.1399,0.1381
2016-06-30,1.20300,,1.20300,1.30500,0.78200,,0.15800,-3.59200,-3.43400,-3.43400,-3.43400,,-3.43400,2.24200,0.15800,4.87100,4.87100,-0.71000,-0.71000,0.53160,0.87470,7.12560,100.00000,13.13380,13.13380,-285.45310,-285.45310,0.01930,1.42870,62.99250,-46.63220,-46.63230,-5.50310,-5.84520,1.47970,-1.2759,-1.289
2016-03-31,0.58200,,0.58200,1.41600,-0.38100,,-2.49200,-4.08600,-6.57800,-6.57800,-6.57800,,-6.57800,0.97900,-2.49200,4.68500,4.68500,-1.40000,-1.40000,0.19620,0.82560,4.80020,100.00000,-428.17860,-428.17860,-1130.24000,-1130.24000,0.00920,0.41010,219.43300,-73.40700,-73.40700,-10.38160,-12.80070,1.90720,-0.08670,-0.08670
2015-12-31,0.73300,,0.73300,1.29000,-0.15300,,-2.47600,-3.75900,-6.23500,-6.23500,-6.23500,,-6.23500,1.08500,-2.47600,4.15340,4.15340,-1.40000,-1.40000,0.25390,0.71640,2.61560,100.00000,-337.78980,-337.78980,-850.61340,-850.61340,0.01210,1.15800,77.72170,-41.46440,-41.46440,-10.25880,-11.75950,3.32410,-0.1502,-0.1746
2015-09-30,1.31800,,1.31800,1.38900,-0.66000,,-1.80300,-3.65600,-5.45900,-5.45900,-5.45900,,-5.45500,0.84900,-1.80300,4.43900,4.43900,-1.20000,-1.20000,0.58520,0.65430,1.94670,100.00000,-136.79820,-136.79820,-414.18820,-413.88470,0.01900,1.74110,51.69200,-26.21870,-26.21870,-7.88710,-9.06490,4.66900,-0.1384,-0.1153
2015-06-30,1.78700,,1.78700,1.83200,-0.79100,,-2.09800,-3.34600,-5.44400,-5.44400,-5.44400,,-5.44400,-0.53400,-2.09800,4.08840,4.08840,-1.30000,-1.30000,0.76860,0.60380,1.57210,100.00000,-117.40350,-117.40350,-304.64470,-304.64470,0.02540,1.66230,54.14100,-22.22950,-22.22950,-7.74510,-8.80710,5.54030,-0.4544,-0.4535
2015-03-31,1.48800,,1.48800,2.45100,-1.26300,,-3.27100,-0.91100,-4.18200,-4.18200,-4.18200,,-4.18200,0.61500,-3.27100,3.55870,3.55870,-1.20000,-1.20000,0.45710,0.53830,1.38660,100.00000,-219.82530,-219.82530,-281.04840,-281.04840,0.02070,1.33690,67.31860,-15.47570,-15.47570,-5.81840,-7.14530,7.14550,-1.09140,-1.14760
2014-12-31,0.62000,,0.62000,2.50500,-5.49600,,-7.58200,-2.65400,-10.23600,-10.23600,-10.23600,,-7.70500,-6.17900,-7.58200,2.82440,2.82440,-2.30000,-2.30000,0.47310,1.06680,-21.16370,100.00000,-1222.90400,-1222.90400,-1650.96900,-1242.74300,0.01490,0.93940,95.80650,719.32550,719.32730,-24.52320,-48.03380,-0.42970,-2.0908,-0.9533
2014-09-30,1.09000,,1.09000,2.19800,-0.56600,,-1.94700,-3.01800,-4.96500,-4.96500,-4.96500,,-4.80400,-0.08300,-1.94700,2.90810,2.90810,-1.70000,-1.70000,0.66120,0.79470,5.34020,100.00000,-178.62380,-178.62380,-455.50460,-440.73390,0.02330,0.58220,154.58180,-89.82530,-89.82530,-10.60980,-18.43930,1.87820,1.7703,1.7477
2014-06-30,2.09500,,2.09500,1.65300,-1.34100,,-1.26400,-2.93800,-4.20200,-4.20200,-4.20200,,-4.19500,0.52300,-1.26400,2.66700,2.66700,-1.60000,-1.60000,0.63850,0.69850,3.40220,100.00000,-60.33410,-60.33410,-200.57280,-200.23870,0.04960,0.81530,110.39180,-51.36180,-51.36180,-9.94100,-15.48690,2.97870,-0.5766,-1.0458
2014-03-31,1.00700,,1.00700,2.35600,-9.91500,,-11.37900,-1.79100,-13.17000,-13.17000,-13.17000,,-13.17000,-10.69300,-11.37900,2.62210,2.62210,-5.00000,-5.00000,0.69260,0.64560,2.80880,100.00000,-1129.99000,-1129.99000,-1307.84500,-1307.84500,0.02270,0.52780,170.53020,-130.06730,-130.06730,-29.68190,-46.09370,3.81530,-0.82610,-8.36810
2013-12-31,0.12000,,0.12000,3.10080,-8.66870,,-11.73000,-0.43540,-12.16540,-12.16540,-12.16540,,-12.16540,-11.40530,-11.73000,1.69960,1.69960,-6.20000,-6.20000,0.47000,,0.89640,100.00000,-9773.45000,-9773.45000,-10136.26000,-10136.26000,0.00470,0.50640,177.72180,-111.74280,-111.74280,-47.15100,-111.74280,4.16790,0.4854,-3.2044
