Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,12.50700,5.52600,6.98100,1.48100,10.16300,11.64400,-4.66300,-0.36500,-5.02800,,-5.02800,-5.02800,-5.02800,-4.20700,-4.66300,18.25500,18.25500,-0.28000,-0.28000,4.05120,0.60640,1.57390,55.81670,-37.28310,-37.28310,-40.20150,-40.20150,0.28680,1.33240,67.54860,-39.07360,-39.07370,-11.53080,-15.38040,0.73450,-0.1165,-0.1245
2024-06-30,15.06400,6.00800,9.05600,1.17900,10.46400,11.64300,-2.58700,-0.37900,-2.96600,,-2.96600,-2.96600,-2.96600,-2.11700,-2.58700,18.17820,18.17820,-0.16000,-0.16000,4.31870,0.53000,1.15170,60.11680,-17.17340,-17.17340,-19.68930,-19.68930,0.30550,1.28720,69.91970,-16.86670,-16.86670,-6.01540,-7.92730,1.01170,-0.127,-0.1344
2024-03-31,14.41500,5.81700,8.59800,1.05900,10.54200,11.60100,-3.00300,-0.35700,-3.36000,,-3.36000,-3.36000,-3.36000,-2.50800,-3.00300,17.94400,17.94400,-0.19000,-0.19000,4.82750,0.49080,0.97730,59.64620,-20.83250,-20.83250,-23.30910,-23.30910,0.28370,1.32240,68.06040,-16.80760,-16.80760,-6.61310,-8.55830,1.15430,-0.50380,-0.50860
2023-12-31,13.76500,5.62000,8.14500,1.07600,12.21600,13.29200,-5.14700,-0.39300,-5.54000,,-5.57300,-5.57300,-5.57300,-4.60300,-5.14700,17.67900,17.67900,-0.31000,-0.31000,4.01960,0.45870,0.85900,59.17180,-37.39190,-37.39190,-40.24700,-40.48670,0.24170,2.10120,42.83260,-24.55720,-24.55720,-9.78680,-13.29280,1.33130,0.4713,0.4665
2023-09-30,13.41600,5.71000,7.70600,1.40000,11.37500,12.77500,-5.06900,-0.34600,-5.41500,,-5.41500,-5.41500,-5.41500,-4.42500,-5.06900,17.69300,17.69300,-0.31000,-0.31000,4.83330,0.41100,0.70730,57.43890,-37.78330,-37.78330,-40.36230,-40.36230,0.22020,0.78710,114.33810,-19.68810,-19.68800,-8.88750,-11.59600,1.62440,-0.162,-0.162
2023-06-30,14.13700,5.83600,8.30100,1.26300,11.95300,13.21600,-4.91500,-0.09800,-5.01300,,-5.01300,-5.01300,-5.01300,-4.37400,-4.91500,17.65550,17.65550,-0.28000,-0.28000,5.95970,0.37510,0.60840,58.71830,-34.76690,-34.76690,-35.46010,-35.46010,0.22030,0.87080,103.35640,-15.71370,-15.71380,-7.81110,-9.81880,1.89240,-0.5711,-0.5892
2023-03-31,11.23000,5.92600,5.30400,1.12600,11.88400,13.01000,-7.70600,0.01800,-7.68800,,-7.68800,-7.68800,-7.68800,-7.11100,-7.70600,17.52700,17.52700,-0.44000,-0.44000,7.09060,0.44740,0.81660,47.23060,-68.61980,-68.61980,-68.45950,-68.45950,0.14170,1.20710,74.55660,-21.39300,-21.39300,-9.70290,-11.82240,2.13570,-0.55620,-0.57880
2022-12-31,12.83700,6.30900,6.52800,2.70100,12.81200,21.01900,-14.49100,-0.14500,-14.63600,,-14.35400,-14.35400,-14.35400,-8.42300,-14.49100,17.08200,17.08200,-0.84000,-0.84000,7.54560,0.40400,0.68220,50.85300,-112.88470,-112.88470,-114.01420,-111.81740,0.14890,2.11240,42.60580,-33.80590,-33.80590,-16.64790,-20.14940,2.56560,-0.3355,-0.3593
2022-09-30,14.72600,6.01000,8.71600,2.38200,14.15100,16.53300,-7.81700,-0.27900,-8.09600,,-8.09600,-8.09600,-8.09600,-7.33600,-7.81700,17.08100,17.08100,-0.47000,-0.47000,7.24140,0.33270,0.49850,59.18780,-53.08300,-53.08300,-54.97760,-54.97760,0.14490,1.38420,65.02170,-14.40930,-15.97470,-7.96870,-9.61590,3.44590,-0.3897,-0.4409
2022-06-30,7.60600,6.07800,1.52800,2.68900,12.90300,15.59200,-14.06400,-0.60100,-14.66500,,-14.66500,-14.66500,-14.66500,-13.71000,-14.06400,17.05900,17.05900,-0.86000,-0.86000,8.76900,0.30700,0.44300,20.08940,-184.90670,-184.90670,-192.80830,-192.80830,0.07120,0.87270,103.12250,-23.34300,-25.58530,-13.72500,-16.17730,3.86400,-0.6519,-0.7657
