Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,65.72390,65.88980,-0.16600,29.35370,0.00000,414.51240,-414.67830,-19.98570,-434.66400,-4.71570,-429.94820,-429.94820,-433.35470,-386.95640,-414.67830,31.44300,31.44300,-13.78000,-13.78000,0.23100,-1.30000,-0.25250,-630.94010,-630.94010,-661.34860,-659.35660,0.13650,,0.41660,216.02060,105.19260,74.93790,-89.32430,105.19280,-12.89760,0.0709,0.0287
2023-06-30,79.91010,65.28580,14.62430,29.48290,,40.47790,-25.85370,-16.53060,-42.38430,-1.89870,-40.48560,-40.48560,-43.73240,-0.96020,-25.85370,29.17100,29.17100,-1.50000,-1.50000,0.24310,27.21480,18.30100,-32.35350,-32.35350,-53.04000,-54.72700,0.09100,,0.50160,179.43250,-215.24390,7.60240,-4.60800,-215.23780,0.60220,0.0049,-0.081
2023-03-31,109.59930,96.30640,13.29290,40.61570,,51.79940,-38.50650,-15.97160,-54.47810,1.21420,-55.69220,-55.69220,-58.57710,1.11630,-38.50650,21.24900,21.24900,-2.76000,-2.76000,0.23900,12.68000,12.12870,-35.13390,-35.13390,-49.70660,-53.44660,0.12400,,0.73100,123.12550,-141.33790,10.72300,-6.29860,-141.33610,1.69290,-0.75610,-0.77690
2022-12-31,113.57470,101.49300,12.08170,42.65660,-5.52730,59.22250,-47.14080,-16.62150,-63.76240,-10.01440,-53.74800,-53.74800,-56.31980,8.59640,-47.14080,17.26150,17.26150,-3.01000,-3.01000,0.22410,6.01460,10.63760,-41.50640,-41.50640,-56.14140,-49.58830,0.12850,,0.99660,90.30800,-67.39770,11.04960,-6.08090,-67.39730,3.82430,-0.7702,-0.9111
2022-09-30,72.39230,60.15590,12.23640,32.40760,-15.47650,54.23310,-41.99670,-3.10770,-45.10440,-27.32080,-17.78360,-17.78360,-20.06030,-19.14380,-41.99670,17.80200,17.80200,-1.13000,-1.13000,0.24570,3.68150,16.90290,-58.01280,-58.01280,-62.30560,-27.71050,0.07890,,0.75340,119.46070,-14.19300,3.89240,-1.93850,-14.19300,6.00950,-1.3509,-1.4628
2022-06-30,37.63700,31.59650,6.04040,21.13670,,22.81720,-16.77670,-1.74340,-18.52010,0.01400,-18.53410,-18.53410,-20.78320,-3.25140,-16.77670,14.95000,14.95000,-1.39000,-1.39000,0.67800,1.24390,16.04920,-44.57520,-44.57520,-49.20720,-55.22020,0.12530,,0.55740,161.46400,-35.01350,82.30100,-6.17240,-35.01320,3.55080,-0.674,-0.7179
2022-03-31,29.20620,22.57540,6.63080,15.73710,,17.38540,-10.75460,-1.10870,-11.86330,0.02000,-11.88330,-11.88330,-14.12700,-3.72320,-10.75460,15.33200,15.33200,-0.92000,-0.92000,0.78530,0.72120,22.70340,-36.82300,-36.82300,-40.61900,-48.36970,0.10780,,0.44100,204.07350,-15.98050,272.67720,-4.38590,-15.98040,4.84250,-0.85100,-0.89100
2021-12-31,35.96680,34.40070,1.56610,16.43460,-2.58040,20.62870,-19.06250,-1.16510,-20.22770,0.00700,-20.23470,-20.23470,-22.40550,3.44420,-19.06250,15.01840,15.01840,-1.46000,-1.46000,1.04000,0.59890,4.35440,-53.00030,-53.00030,-56.23970,-62.29490,0.14680,,0.59730,150.67330,-22.09050,-94.49440,-8.25870,-22.09040,5.84400,-0.5564,-0.5962
2021-09-30,29.09690,22.85640,6.24050,17.74690,-0.20110,19.48660,-13.24620,-1.20310,-14.44920,0.03000,-14.47920,-14.47920,-16.74170,0.68650,-13.24620,16.14600,16.14600,-1.04000,-1.04000,1.04880,0.39460,21.44730,-45.52440,-45.52440,-49.65900,-57.53780,0.10280,,0.60290,149.29070,-11.66460,39.57380,-5.11780,-11.66460,7.57910,-0.2638,-0.2934
2021-06-30,22.13490,15.43370,6.70120,13.17790,,14.51560,-7.81430,-0.99650,-8.81080,0.01500,-8.82580,-8.82580,-11.07920,1.57330,-7.81430,14.05900,14.05900,-0.79000,-0.79000,0.55390,0.67330,30.27440,-35.30310,-35.30310,-39.80490,-50.05290,0.09450,,0.48570,185.29430,-12.15770,9.73940,-3.76820,-12.15760,5.05670,-0.5959,-0.6243
