Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,97.27200,18.47100,,-115.74300,6.70200,-109.04100,0.07800,-109.11900,-109.11900,-109.11900,-115.74300,-115.74300,146.46900,146.46900,-0.74000,-0.74000,7.61210,-24.29980,-24.29980,-21.15910,-24.29980,3.06390,-0.6039,-0.6052
2024-06-30,75.47300,18.80800,,-94.28100,7.20800,-87.07300,0.07700,-87.15000,-87.15000,-87.15000,-94.28100,-94.28100,146.08600,146.08600,-0.60000,-0.60000,13.08470,-16.00080,-16.00080,-14.77930,-16.00080,3.72550,-0.52160,-0.52280
2024-03-31,66.05600,14.82300,,-80.87900,5.79200,-75.08700,0.23200,-75.31900,-75.31900,-75.31900,-80.81500,-80.87900,138.10100,138.10100,-0.50000,-0.50000,13.69670,-12.19230,-12.19230,-11.30300,-12.19230,4.24330,-0.482,-0.4831
2023-12-31,48.33800,13.21500,,-61.55300,10.02700,-51.52600,-0.10800,-51.41800,-51.41800,-51.41800,-61.49500,-61.55300,144.52300,144.52300,-0.36000,-0.36000,22.14120,-7.56880,-7.56880,-7.22730,-7.56880,4.68210,-0.2501,-0.251
2023-09-30,47.95900,13.84100,,-61.80000,3.59200,-58.20800,0.45400,-58.66200,-58.66200,-58.66200,-61.80000,-61.80000,131.15560,131.15560,-0.45000,-0.45000,7.23260,-23.29600,-23.29600,-20.08490,-23.29600,1.91580,-0.4561,-0.4564
2023-06-30,50.57500,15.40200,,-78.47700,4.52900,-73.94800,-0.01100,-73.93700,-73.93700,-73.93700,-78.47700,-78.47700,130.50300,130.50300,-0.57000,-0.57000,6.81530,-24.65680,-24.65680,-21.05140,-24.65680,2.29670,-0.36300,-0.36330
2023-03-31,51.83700,12.42300,,-64.26000,3.83700,-60.42300,-0.99100,-59.43200,-59.43200,-59.43200,-64.20600,-64.26000,123.07500,123.07500,-0.46000,-0.46000,9.33860,-16.39530,-16.39530,-14.64430,-16.39530,2.78140,-0.4993,-0.4996
2022-12-31,42.25200,11.77500,,-64.02700,1.18700,-62.84000,0.38700,-63.22700,-63.22700,-63.22700,-63.97800,-64.02700,128.57400,128.57400,-0.49000,-0.49000,11.01390,-15.24730,-15.24730,-13.85820,-15.24730,3.20810,-0.292,-0.2927
2022-09-30,37.73900,11.87500,,-49.61400,1.94700,-47.66700,0.26100,-47.92800,-47.92800,-47.92800,-49.56800,-49.61400,116.57300,116.57300,-0.41000,-0.41000,13.40580,-12.11070,-12.11070,-11.19430,-12.11070,3.39370,-0.1731,-0.1734
2022-06-30,28.42900,11.94600,,-40.37500,0.35400,-40.02100,0.35200,-40.37300,-40.37300,-40.37300,-40.33100,-40.37500,116.55800,116.55800,-0.35000,-0.35000,21.47920,-9.24940,-9.24940,-8.80250,-9.24940,3.74590,-0.56470,-0.56500
2022-03-31,31.98600,15.24000,,-47.22600,0.04300,-47.18300,-0.01200,-47.17100,-47.17100,-47.17100,-47.22600,-47.22600,109.67900,109.67900,-0.41000,-0.41000,11.52140,-10.04010,-10.04010,-9.14940,-10.04010,4.03340,-0.3315,-0.3326
2021-12-31,29.75600,11.51500,,-41.27100,-0.11400,-41.38500,,-41.38500,-41.38500,-41.38500,-41.27100,-41.27100,115.02500,115.02500,-0.36000,-0.36000,14.86710,-8.19260,-8.19260,-7.61900,-8.19260,4.38840,-0.2577,-0.2584
2021-09-30,21.36100,16.28900,,-37.65000,-0.08400,-37.73400,-0.03100,-37.70300,-37.70300,-37.70300,-37.62200,-37.65000,109.07800,109.07800,-0.35000,-0.35000,19.86370,-7.02890,-7.02890,-6.65270,-7.02890,4.66440,-0.1618,-0.1621
2021-06-30,18.70500,11.18100,,-29.88600,-0.62600,-30.51200,-0.04100,-30.47100,-30.47100,-30.47100,-29.86000,-29.88600,97.97700,97.97700,-0.31000,-0.31000,18.75100,-8.33610,-8.33610,-7.85280,-8.33610,3.73080,-0.21650,-0.21670
2021-03-31,18.61500,10.30200,,-28.91700,0.68000,-28.23700,-0.07900,-28.15800,-28.15800,-28.15800,-28.89500,-28.91700,87.75700,87.75700,-0.27000,-0.27000,21.78930,-7.19270,-7.19270,-6.82640,-7.19270,3.99590,-0.3283,-0.3295
2020-12-31,21.09100,10.54900,,-31.64000,-0.50300,-32.14300,-0.36700,-31.77600,-31.77600,-31.77600,-31.62100,-31.64000,97.92000,97.92000,-0.32000,-0.32000,26.04960,-7.67250,-7.67250,-7.33810,-7.67250,4.22730,-0.1705,-0.1707
2020-09-30,11.97600,8.99800,,-20.97400,0.22500,-20.74900,0.04000,-20.78900,-20.78900,-20.78900,-20.96000,-20.97400,84.35300,84.35300,-0.25000,-0.25000,35.14960,-4.74200,-4.74200,-4.58010,-4.74200,4.47850,-0.2559,-0.2562
2020-06-30,16.92200,9.66400,,-26.58600,-0.07400,-26.66000,0.04800,-26.70800,-26.70800,-26.70800,-26.57600,-26.58600,70.81900,70.81900,-0.38000,-0.38000,14.63960,-9.97400,-9.97400,-9.20040,-9.97400,3.30950,-0.19480,-0.19550
2020-03-31,14.16700,6.31500,,-20.48200,-0.12800,-20.61000,-0.05900,-20.55100,-20.55100,-20.55100,-20.47600,-20.48200,43.19900,43.19900,-0.36000,-0.36000,7.12080,-21.84670,-21.84670,-18.78740,-21.84670,1.72110,-0.4965,-0.4968
2019-12-31,4.95300,6.08800,,-11.04100,-0.15500,-11.19600,0.10000,-11.29600,-11.29600,-11.29600,-11.03600,-11.04100,41.03500,41.03500,-0.28000,-0.28000,8.57690,-10.09820,-10.09820,-8.92130,-10.09820,2.04670,-0.0677,-0.068
2019-09-30,10.33100,4.16300,,-14.49400,0.04500,-14.44900,0.03300,-14.48200,-14.48200,-14.48200,-14.48900,-14.49400,38.59000,38.59000,-0.38000,-0.38000,5.22020,-289.63960,-289.63870,-12.29510,-289.63960,1.41520,-0.455,-0.4552
2019-06-30,18.47600,1.58500,,-20.06100,0.02500,-20.03600,0.02300,-20.05900,-20.05900,-20.05900,-20.05600,-20.06100,38.59000,38.59000,-0.52000,-0.52000,22.77380,-401.17960,-401.17940,-17.08380,-401.17950,1.41040,-0.21590,-0.21590
2019-03-31,,,-0.00050,,,,,,,-0.00050,,,2.50000,2.50000,0.00000,0.00000,,,,,,,0.4326,0.434
2018-12-31,7.68300,1.20100,,-8.88400,0.04300,-8.84100,0.00800,-8.84900,-8.84900,-8.84900,-8.88400,-8.88400,36.73500,36.73500,-0.24000,-0.24000,,,,,,,-0.4328,-0.4342
