,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-10-23,2024-09-30,$1.60,$1.50
1,2024-07-24,2024-06-30,$1.59,$1.60
2,2024-04-24,2024-03-31,$1.62,$1.49
3,2024-01-24,2023-12-31,$1.42,$1.50
4,2023-10-25,2023-09-30,--,$0.60
5,2023-07-26,2023-06-30,--,$1.20
6,2023-04-26,2023-03-31,--,$1.40
7,2023-01-25,2022-12-31,--,$1.58
8,2022-10-26,2022-09-30,--,$1.29
9,2022-07-27,2022-06-30,--,$1.40
10,2022-04-27,2022-03-31,--,$1.49
11,2022-01-26,2021-12-31,--,$2.23
12,2021-10-27,2021-09-30,--,$1.65
13,2021-07-28,2021-06-30,--,$1.70
14,2021-04-27,2021-03-31,--,$1.50
15,2021-01-29,2020-12-31,--,$1.67
16,2020-10-27,2020-09-30,--,$1.06
17,2020-07-29,2020-06-30,--,$1.03
18,2020-04-30,2020-03-31,--,$0.80
19,2020-01-30,2019-12-31,--,$1.25
20,2019-10-30,2019-09-30,--,$1.00
21,2019-07-30,2019-06-30,$0.89,$0.94
22,2019-04-30,2019-03-31,$0.82,$0.88
23,2019-02-01,2018-12-31,$0.99,$1.05
24,2018-10-30,2018-09-30,$0.87,$0.90
25,2018-07-30,2018-06-30,$0.75,$0.81
26,2018-04-30,2018-03-31,$0.67,$0.77
27,2018-01-30,2017-12-31,$0.61,$0.98
28,2017-10-30,2017-09-30,$0.56,$0.59
29,2017-07-31,2017-06-30,$0.51,$0.60
30,2017-05-01,2017-03-31,$0.49,$0.49
31,2017-01-31,2016-12-31,$0.42,$0.45
32,2016-11-02,2016-09-30,$0.39,$0.46
33,2016-08-02,2016-06-30,$0.39,$0.27
34,2016-05-09,2016-03-31,$0.35,$0.38
35,2016-02-23,2015-12-31,$0.46,$0.34
36,2015-11-04,2015-09-30,$0.49,$0.40
37,2015-08-10,2015-06-30,$0.50,$0.47
38,2015-05-11,2015-03-31,$0.49,$0.43
39,2015-02-23,2014-12-31,$0.52,$0.50
