Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,243.81700,134.77300,109.04400,29.83000,-50.89100,95.27600,13.76800,4.14100,17.90900,-0.05700,17.96600,17.96600,17.96600,28.09300,13.76800,114.43400,118.43000,0.16000,0.15000,2.92510,44.72370,5.64690,5.64690,7.34530,7.36860,0.22590,18.37400,18.47100,4.87250,2.91450,2.93020,1.66420,2.91450,5.44650,0.3696,0.1971
2024-06-30,233.49500,127.22700,106.26800,28.28100,-48.04000,90.12400,16.14400,3.88400,20.02800,0.28700,19.74100,19.74100,19.74100,29.87700,16.14400,114.13000,118.29100,0.17000,0.17000,2.99160,45.51190,6.91410,6.91410,8.57750,8.45460,0.22480,17.68270,16.81150,5.35350,3.31540,3.33390,1.90080,3.31540,5.20910,0.4125,0.1919
2024-03-31,259.00600,140.46000,118.54600,33.84000,-57.84900,109.29300,9.25300,4.99200,14.24500,0.25200,13.99300,13.99300,13.99300,26.57500,9.25300,113.97200,117.93600,0.12000,0.12000,3.16250,45.76960,3.57250,3.57250,5.49990,5.40260,0.25770,22.28110,22.07690,4.07670,2.40920,2.42300,1.39220,2.40920,5.15190,0.32550,0.03980
2023-12-31,177.17010,100.36400,76.80600,24.67400,-40.45500,78.38600,-1.58000,4.28100,2.70100,0.65200,2.04900,2.04900,2.04900,10.75700,-1.58000,60.51200,63.44800,1.23000,1.24000,3.25500,43.35160,-0.89180,-0.89180,1.52450,1.15650,0.18010,17.80450,14.90700,6.03740,0.35900,0.36110,0.20830,0.35900,5.06830,0.9095,-0.3644
2023-09-30,175.55300,95.73100,79.82200,24.47200,-39.93500,77.02700,2.79500,4.07600,6.87100,0.03800,6.83300,6.83300,6.83300,14.32300,2.79500,113.58400,117.71300,0.06000,0.06000,3.22010,45.46890,1.59210,1.59210,3.91390,3.89230,0.17820,16.71870,13.83180,6.50680,1.20780,1.21490,0.69370,1.20780,5.02650,-0.8852,0.5181
2023-06-30,172.89400,93.41700,79.47700,23.32100,-37.83200,73.71500,5.76200,0.81700,6.57900,0.04000,6.53900,6.53900,6.53900,16.47100,5.76200,28.36600,31.27900,0.23000,0.21000,3.26610,45.96860,3.33270,3.33270,3.80520,3.78210,0.17820,17.43830,14.55580,6.18310,1.17650,1.18350,0.67390,1.17650,4.93860,-14.0853,7.3359
2023-03-31,203.08300,111.27200,91.81100,29.02400,-49.96500,94.06300,-2.25200,0.14900,-2.10300,0.03800,-2.14100,-2.14100,-2.14100,10.60700,-2.25200,1.64700,1.64700,-1.30000,-1.30000,0.44290,45.20860,-1.10890,-1.10890,-1.03550,-1.05420,0.33630,25.63870,17.63490,5.10350,0.47470,0.47120,-0.35450,0.47470,-264.85090,15.59140,-8.14690
2022-12-31,129.93500,76.67100,53.26400,61.63300,-44.43000,72.57400,-19.31000,0.49000,-18.82000,0.02600,-18.84600,-18.84600,-18.84600,-7.94000,-19.31000,1.32800,1.32800,-13.80000,-13.80000,0.68970,40.99280,-14.86130,-14.86130,-14.48420,-14.50420,0.22250,14.91940,16.79830,5.35770,4.20200,4.17100,-3.22770,4.20200,-857.55830,0.6062,-23.7695
2022-09-30,139.25800,81.81000,57.44800,16.54700,-41.05300,69.67300,-12.22500,0.30300,-11.92200,-0.02900,-11.89300,-11.89300,-11.89300,-2.20700,-12.22500,1.32700,1.32700,-8.96000,-8.96000,,41.25290,-8.77870,-8.77870,-8.56110,-8.54030,,,,,,,,,,5.0237,-14.5328
2022-06-30,135.91500,81.47200,54.44300,16.28400,-35.90100,62.78100,-8.33800,0.16400,-8.17400,0.05600,-8.23000,-8.23000,-8.23000,0.60800,-8.33800,1.32200,1.32200,-6.23000,-6.23000,,40.05670,-6.13470,-6.13470,-6.01410,-6.05530,,,,,,,,,,0.7359,-16.6063
2022-03-31,159.01100,97.92600,61.08500,20.93700,-45.93800,80.97800,-19.89300,-0.08500,-19.97800,0.04000,-20.01800,-20.01800,-20.01800,-7.07400,-19.89300,1.29900,1.29900,-15.42000,-15.42000,,38.41560,-12.51050,-12.51050,-12.56390,-12.58910,,,,,,,,,,-1.81910,-18.97920
2021-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
