Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,20.85800,7.38200,13.47600,7.51000,7.82900,5.64700,,5.64700,1.04700,4.60000,4.60000,4.60000,5.37090,5.39690,0.86000,0.85000,0.24040,0.35630,41.55260,33.84840,0.00840,2.77260,2.98620,0.28490,2.10610,30.89030,2.8141,2.7917
2024-06-30,20.35400,7.48200,12.87200,7.45200,7.78400,5.08800,,5.08800,0.92900,4.15900,4.15900,4.15900,5.37710,5.38580,0.77000,0.77000,0.16290,0.23300,38.51630,31.48370,0.00840,2.69780,2.92930,0.26430,2.25830,28.70350,-1.1831,-1.2457
2024-03-31,20.73800,7.62400,13.11400,8.45400,8.79700,4.31700,,4.31700,0.67100,3.64600,3.64600,3.64600,5.36690,5.38010,0.68000,0.68000,0.11590,0.15380,32.86390,27.75580,0.00810,2.38960,2.60320,0.22510,2.11270,28.30540,0.57970,0.58210
2023-12-31,20.21000,7.32100,12.88900,8.73700,9.09200,3.79700,,3.79700,0.62900,3.16800,3.16800,3.16800,5.35710,5.37330,0.60000,0.59000,0.30290,0.47980,31.39320,26.19270,0.00730,2.07000,2.26000,0.19250,1.44300,28.52040,0.605,0.5501
2023-09-30,19.85800,6.11400,13.74400,7.89900,8.26700,5.47700,,5.47700,0.82400,4.65300,4.65300,4.65300,5.36600,5.39550,0.87000,0.86000,,0.34220,39.63960,33.67590,0.00880,3.42820,3.79800,0.29780,3.42820,25.29390,0.1004,0.2904
2023-06-30,20.37700,4.62900,15.74800,8.44600,8.82500,6.92300,,6.92300,1.27200,5.65100,5.65100,5.65100,5.35790,5.37510,1.05000,1.05000,,0.58700,44.70200,36.48870,0.00980,3.96730,4.38550,0.35670,3.96730,26.54470,0.578,0.5287
2023-03-31,18.64600,2.95700,15.68900,8.22200,8.61300,7.07600,,7.07600,1.28500,5.79100,5.79100,5.79100,5.33810,5.37560,1.08000,1.08000,0.11980,0.16020,44.39980,36.33680,0.01010,4.09270,4.54080,0.36850,3.60260,26.50250,1.30420,1.43930
2022-12-31,19.20400,0.89200,18.31200,9.00700,9.41000,8.90200,,8.66000,1.60300,7.05700,7.05700,7.05700,5.32470,5.35140,1.32000,1.32000,,0.02560,47.64520,38.82590,0.01120,5.28950,5.92720,0.43470,5.28950,24.99700,0.9766,0.988
2022-09-30,17.24600,0.66900,16.57700,9.12700,9.54200,7.03500,,7.03500,1.26300,5.77200,5.77200,5.77200,5.32650,5.34890,1.08000,1.08000,,0.02700,42.53840,34.90140,0.00950,4.58190,5.21780,0.33290,4.58190,23.64820,1.4548,1.4223
2022-06-30,16.81100,0.70400,16.10700,8.79800,9.22500,6.88200,,6.88200,1.19700,5.68500,5.68500,5.68500,5.32600,5.34700,1.07000,1.06000,,0.02530,42.15880,34.82600,0.00940,4.23570,4.80030,0.32580,4.23570,25.20020,0.0512,1.1775
2022-03-31,17.13100,0.91900,16.21200,9.80400,10.24300,5.96900,,5.96900,1.04500,4.92400,4.92400,4.92400,5.31200,5.34360,0.93000,0.92000,,0.02310,37.15760,30.65240,0.00830,3.37220,3.79380,0.25440,3.37220,27.41630,1.75650,1.72860
2021-12-31,16.36800,0.98100,15.38700,9.58100,10.12500,5.26200,0.66400,5.92600,0.64500,5.28100,5.28100,5.28100,4.66880,4.69540,0.99000,0.97000,,0.02080,39.90570,35.56230,0.00750,3.26010,3.63450,0.26780,3.26010,30.51750,1.4528,1.376
2021-09-30,17.61200,0.63000,16.98200,10.73900,11.15600,5.82600,-1.93500,3.89100,0.75300,3.13800,3.13800,3.13800,5.30600,5.33900,0.59000,0.59000,,0.02100,23.27850,18.77360,0.00870,1.96240,2.19650,0.16410,1.96240,30.13190,0.4902,0.4527
2021-06-30,17.05100,0.98000,16.07100,9.55000,9.97800,6.09300,-5.87400,0.21900,0.07200,0.14700,0.14700,0.14700,5.30500,5.32000,0.03000,0.03000,,0.29210,1.35090,0.90670,0.00880,0.09270,0.10420,0.00800,0.09270,29.89110,-0.3288,-0.4305
2021-03-31,7.70600,0.69300,7.01300,4.85400,4.85400,2.15900,-0.27800,1.88100,0.37600,1.50500,1.50500,1.50500,2.72000,2.72700,0.55000,0.55000,,0.37490,28.23480,22.59080,0.00730,1.88100,1.89750,0.16390,1.88100,29.32990,1.16830,1.11620
2020-12-31,9.22900,0.68200,8.54700,4.71300,4.71300,3.83400,-0.43900,3.39500,0.77900,2.61600,2.61600,2.61600,2.70790,2.70860,0.97000,0.97000,,0.36320,40.94310,31.54850,0.00980,3.16710,3.19470,0.30830,3.16710,30.43410,0.9565,0.9318
2020-09-30,8.19600,0.72400,7.47200,4.61000,4.61000,2.86200,-0.54900,2.31300,0.44300,1.87000,1.87000,1.87000,2.70600,2.70600,0.69000,0.69000,,0.49720,31.91230,25.80020,0.00880,2.32420,2.34550,0.22780,2.32420,29.64520,0.6404,0.6212
2020-06-30,8.13700,0.75600,7.38100,4.78200,4.78200,2.59900,,2.59900,0.51100,2.08800,2.08800,2.08800,2.71000,2.71100,0.77000,0.77000,,,37.11270,29.81580,0.00880,2.64000,2.66510,0.26110,2.64000,29.14220,0.7462,0.7496
2020-03-31,8.23300,1.18900,7.04400,5.30800,5.30800,1.73600,,1.73600,0.33200,1.40400,1.40400,1.40400,2.69300,2.69400,0.52000,0.52000,,,27.64770,22.36030,0.00880,1.84030,1.85890,0.19580,1.84030,28.23500,1.07310,1.04010
2019-12-31,8.07600,1.19000,6.88600,5.10200,5.10200,1.78400,,1.78400,0.35300,1.43100,1.43100,1.43100,2.68700,2.69000,0.53000,0.53000,,,29.67890,23.80640,0.00860,1.88020,1.89970,0.20370,1.88020,28.27160,1.765,1.7409
2019-09-30,7.90600,1.10500,6.80100,4.44100,4.44100,2.36000,,2.36000,0.46300,1.89700,1.89700,1.89700,2.68900,2.69000,0.71000,0.71000,,,34.09910,27.40930,0.01050,2.51080,2.53750,0.28710,2.51080,28.06610,0.0195,0.0046
2019-06-30,8.23200,1.07100,7.16100,4.62100,4.62100,2.54000,,2.54000,0.42500,2.11500,2.11500,2.11500,2.68800,2.68900,0.79000,0.79000,,,35.15570,29.27340,0.01140,2.84490,2.87640,0.33370,2.84490,29.04020,0.6802,0.6728
