Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,600.87800,600.87800,392.43600,139.76800,-27.64800,112.12000,12.79600,99.32400,99.32400,29.80500,215.43500,139.76800,575.24990,1491.72500,0.05000,0.04000,0.57790,0.43330,100.00000,23.26060,23.26060,18.65940,4.96020,0.05590,1.68950,-5.51830,0.92380,1.68950,3.93680,-0.1951,-0.1565
2024-06-30,549.84800,549.84800,320.56100,172.55300,-16.30200,156.25100,18.19700,138.05400,138.05400,33.94500,235.07100,172.55300,530.10100,539.39300,0.06000,0.06000,0.68310,0.47120,100.00000,31.38200,31.38200,28.41710,6.17350,0.05690,2.64570,-11.64650,1.42900,2.64570,3.62380,0.5533,0.4933
2024-03-31,513.34000,513.34000,301.53900,155.60600,-28.82200,126.78400,14.77100,112.01300,112.01300,25.09100,215.93600,155.60600,488.43500,498.73900,0.05000,0.04000,0.66480,0.40070,100.00000,30.31250,30.31250,24.69790,4.88780,0.05710,2.16590,-10.12410,1.24660,2.16590,3.61950,0.09470,0.08240
2023-12-31,494.03500,494.03500,320.47500,116.75110,-32.44500,84.30600,3.11400,81.19200,81.19200,18.05800,177.74810,116.75100,463.23400,478.00900,0.04000,0.03000,0.64860,0.31850,100.00000,23.63210,23.63210,17.06480,3.65520,0.05600,1.53830,-7.68700,0.92080,1.53830,3.73260,0.6577,0.587
2023-09-30,429.65000,429.65000,279.46100,93.46500,-19.30200,74.16300,10.65200,63.51100,63.51100,15.10900,154.45100,93.46500,466.37630,482.57390,0.03000,0.03000,0.64880,0.32830,100.00000,21.75380,21.75380,17.26130,3.51660,0.04900,1.19420,-5.91020,0.72410,1.19420,3.77520,1.077,1.0167
2023-06-30,416.93700,416.93700,259.76300,41.25700,-1.81600,39.44100,5.40200,34.03900,34.03900,12.85900,160.89800,41.25700,459.39700,1430.96700,0.03000,0.02000,0.65500,0.32670,100.00000,9.89530,9.89530,9.45970,3.08420,0.04760,0.63370,-3.23490,0.38890,0.63370,3.81710,-0.0111,-0.0098
2023-03-31,390.98600,390.98600,253.75200,66.34300,-17.86900,48.47400,6.44000,42.03400,42.03400,8.31700,140.27300,66.34300,456.18900,461.91100,0.02000,0.02000,0.64310,0.32280,100.00000,16.96810,16.96810,12.39790,2.12720,0.04460,0.76850,-3.92710,0.47970,0.76850,3.88690,0.26200,0.24970
2022-12-31,395.51310,395.51310,302.88600,27.96400,-32.09700,-4.13300,-5.88800,1.75500,1.75500,1.59200,95.35000,27.96400,433.43100,433.43100,0.01000,0.01000,0.65270,0.29280,100.00000,7.07030,7.07030,-1.04500,0.40250,0.04450,0.03160,-0.16530,0.01970,0.03160,3.98150,1.3603,1.2385
2022-09-30,370.98600,370.98600,302.71700,2.43400,-16.52700,-14.09300,-4.08500,-10.00800,-10.00800,2.06000,69.61600,2.43400,441.48700,1411.81200,0.00000,0.00000,0.64600,0.27080,100.00000,0.65610,0.65610,-3.79880,0.55530,0.04220,-0.17760,0.96200,-0.11380,-0.17760,4.03000,0.146,0.1363
2022-06-30,327.24600,327.24600,272.50700,-10.14600,6.71100,-3.43500,5.63100,-9.06600,-9.06600,-1.12600,56.11400,-10.14600,422.63200,1407.84400,0.00000,0.00000,0.57690,0.24850,100.00000,-3.10040,-3.10040,-1.04970,-0.34410,0.03890,-0.15940,0.86010,-0.10770,-0.15940,4.07080,-0.0491,-0.0248
2022-03-31,275.97700,275.97700,237.18600,-22.73500,-5.21900,-27.95400,-5.03800,-22.91600,-22.91600,-11.81500,40.03700,-22.73500,417.10900,417.10900,-0.03000,-0.03000,0.61880,0.24590,100.00000,-8.23800,-8.23800,-10.12910,-4.28120,0.03300,-0.39890,2.44490,-0.27410,-0.39890,4.11250,0.22350,0.17940
2021-12-31,288.51900,288.51900,175.97910,66.17780,-101.40010,-35.22210,-21.80900,-13.41310,-13.41310,0.08200,114.73280,66.17790,354.94900,1315.18600,0.10000,0.05000,0.61860,0.20080,100.00000,22.93710,22.93710,-12.20790,0.02840,0.03490,-0.22940,1.49690,-0.16230,-0.22940,4.18040,-0.1621,-0.1601
