Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3.38900,1.57600,1.81300,1.80000,1.80000,0.01300,0.01300,0.01900,-0.00600,-0.00600,-0.00600,6.29500,6.29500,0.00000,0.00000,0.13610,0.69000,-0.31850,0.00520,-0.00790,-0.00790,-0.00160,-0.00790,11.51350,0.05810,0.05780
2024-06-30,3.29400,1.50700,1.78700,1.73300,1.73300,0.05400,0.05400,-0.10600,0.16000,0.16000,0.16000,6.29200,6.29200,0.03000,0.03000,0.13610,2.96870,8.79600,0.00500,0.21040,0.21040,0.04400,0.21040,11.48620,0.0489,0.0426
2024-03-31,3.17400,1.36800,1.80600,1.88800,1.88800,-0.08200,-0.08200,-0.04200,-0.04000,-0.04000,-0.04000,6.29200,6.29200,-0.01000,-0.01000,0.13640,-4.49070,-2.19060,0.00510,-0.05270,-0.05270,-0.01120,-0.05270,11.43710,0.0255,0.0238
2023-12-31,2.97600,1.16500,1.81100,2.00500,2.00500,-0.19400,-0.19400,0.01600,-0.21000,-0.21000,-0.21000,6.28500,6.28500,-0.03000,-0.03000,0.25200,-10.13060,-10.96610,0.00530,-0.27710,-0.27710,-0.05850,-0.27710,11.42700,-0.0796,-0.0829
2023-09-30,2.89200,0.92600,1.96600,1.75000,1.75000,0.21600,0.21600,0.09300,0.12300,0.12300,0.12300,6.28200,6.28200,0.02000,0.02000,0.04280,10.13130,5.76920,0.00620,0.16210,0.16210,0.03550,0.16210,11.44230,0.06940,0.06940
2023-06-30,2.86500,0.80800,2.05700,1.93300,1.93300,0.12400,0.12400,0.01900,0.10500,0.10500,0.10500,6.27600,6.27600,0.02000,0.02000,0.04840,6.02820,5.10450,0.00590,0.13840,0.13840,0.03010,0.13840,11.44110,0.099,0.0892
2023-03-31,2.83900,0.53600,2.30300,1.90100,1.90100,0.40200,0.40200,0.04700,0.35500,0.35500,0.35500,6.30100,6.30100,0.06000,0.06000,,17.45550,15.41470,0.00650,0.46910,0.46910,0.10090,0.46910,11.40870,0.0852,0.0547
2022-12-31,2.83300,0.34000,2.49300,2.08700,2.08700,0.40600,0.40600,0.06500,0.34100,0.34100,0.34100,6.27500,6.27500,0.05000,0.05000,,16.28560,13.67830,0.00700,0.45300,0.45300,0.09560,0.45300,11.54230,0.0265,0.0232
2022-09-30,2.80500,0.24200,2.56300,1.74800,1.74800,0.81500,0.81500,0.17000,0.64500,0.64500,0.64500,6.27200,6.27200,0.10000,0.10000,,31.79870,25.16580,0.00710,0.86100,0.86100,0.17870,0.86100,11.48680,0.11640,0.11000
2022-06-30,2.53700,0.23900,2.29800,1.72200,1.72200,0.57600,0.57600,0.01200,0.56400,0.56400,0.56400,5.88700,5.88700,0.23000,0.23000,,25.06530,24.54310,0.00630,0.75960,0.75960,0.15400,0.75960,11.38460,0.1151,0.101
2022-03-31,2.45000,0.24600,2.20400,3.22800,3.22800,-1.02400,-1.02400,-0.19600,-0.82800,-0.82800,-0.82800,5.50000,5.50000,-0.15000,-0.15000,0.00160,-46.48210,-37.58510,0.00610,-1.12410,-1.12410,-0.22840,-1.12410,11.29390,0.2049,0.1969
2021-12-31,2.42900,0.25700,2.17200,1.90600,1.90600,0.26600,0.26600,0.03200,0.23400,0.23400,0.23400,,,,0.00000,0.00580,12.30340,10.82330,0.00600,0.47430,0.47430,0.06470,0.47430,7.56520,0,0
2021-09-30,2.50300,0.27800,2.22500,1.65300,1.65300,0.57200,0.57200,0.10000,0.47200,0.47200,0.47200,0.00000,0.00000,0.00000,0.00000,0.00930,25.88240,21.35750,0.00660,0.96120,0.96120,0.14020,0.96120,,0.00000,
2021-06-30,2.40900,,2.40900,0.23700,,2.17200,,,2.11400,,2.11400,,,,0.00000,0.01890,,100.00000,0.00620,0.00000,0.00000,0.00000,0.00000,,0,0
2021-03-31,2.46800,0.45500,2.01300,1.54500,1.54500,0.46800,0.46800,0.06700,0.40100,0.40100,0.40100,,,,0.00000,,23.42340,20.07010,,,,,,,0,0
2020-12-31,2.60100,0.62800,1.97300,1.76900,1.76900,0.20400,0.20400,-0.01100,0.21500,0.21500,0.21500,,,,0.00000,,10.41880,10.98060,,,,,,,0,0
2020-09-30,2.64700,0.69000,1.95700,1.52200,1.52200,0.43500,0.43500,0.05500,0.38000,0.38000,0.38000,,,,0.00000,,22.39960,19.56750,,,,,,,0.00000,
2020-06-30,,,,,,,,,,,,,,,0.00000,,,,,,,,,,0,0
