Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,4.22580,4.22580,10.35160,3.61000,0.15170,-9.58410,0.66860,-8.91560,,-8.91560,-8.91560,-8.91560,-8.79580,-9.58410,81.68200,81.68200,-0.11000,-0.11000,2.33130,,0.18050,100.00000,-226.80190,-226.80190,-210.98100,-210.98100,0.03600,-32.45540,-32.45540,-7.58810,-32.45540,0.32610,-0.0821,-0.0862
2024-06-30,6.78990,6.78990,7.59000,3.24470,0.16800,-3.87680,0.76240,-3.11440,-0.21540,-2.89900,-2.89900,-2.89900,-3.11720,-3.87680,81.66600,81.66600,-0.03230,-0.03230,2.72980,,0.13510,100.00000,-57.09750,-57.09750,-45.86840,-42.69630,0.05340,-8.19380,-8.19380,-2.28040,-8.19380,0.42000,-0.0806,-0.0841
2024-03-31,4.83140,4.83140,10.07860,3.74780,0.22800,-8.76700,0.45600,-8.31100,0.00330,-8.31430,-8.31430,-8.31430,-8.01680,-8.76700,81.57100,81.57100,-0.09770,-0.09770,3.11330,,0.12540,100.00000,-181.46060,-181.46060,-172.02250,-172.08990,0.03590,-21.99250,-21.99250,-6.18200,-21.99250,0.44870,-0.20140,-0.21110
2023-12-31,3.54200,3.54200,8.34230,5.12300,3.17230,-6.75100,0.84160,-5.90940,0.00600,-5.91540,-5.91540,-5.91420,-5.97390,-6.75100,81.01100,81.01100,-0.07550,-0.07550,3.53730,0.09400,0.10370,100.00000,-190.59830,-190.59830,-166.83820,-166.97360,0.02370,-13.20510,-13.20500,-3.96390,-11.96440,0.55060,-0.0732,-0.081
2023-09-30,1.49110,1.49110,5.92740,3.60800,,-8.04440,2.10060,-5.94380,-0.04460,-5.89910,-5.89910,-6.21480,-7.34790,-8.04440,81.00000,81.00000,-0.07620,-0.07620,4.67890,0.05870,0.11300,100.00000,-539.48910,-539.48910,-398.61310,-416.78830,0.00960,-11.69620,-11.69620,-3.81600,-11.00930,0.59870,-0.102,-0.1066
2023-06-30,1.31390,1.31390,6.44320,4.51970,0.04140,-9.60750,0.86360,-8.74390,-0.04580,-8.69810,-8.69810,-8.71560,-8.95050,-9.60750,80.93900,80.93900,-0.10900,-0.10900,5.70810,0.06490,0.12610,100.00000,-731.20320,-731.20320,-665.47720,-663.31950,0.00810,-15.48930,-15.48930,-5.39020,-14.48390,0.69380,-0.1304,-0.1343
2023-03-31,0.70310,0.70310,6.50480,4.32150,0.04510,-10.07820,0.57320,-9.50500,,-9.50500,-9.50500,-9.58870,-9.48890,-10.07820,80.88800,80.88800,-0.11810,-0.11810,8.25240,0.06230,0.11040,100.00000,-1433.43500,-1433.43500,-1351.90800,-1363.81700,0.00410,-15.08490,-15.08490,-5.60400,-14.14450,0.77850,0.59350,0.59230
2022-12-31,0.81490,0.81490,10.94650,2.98590,0.51280,-12.60470,0.62220,-11.98250,0.00250,-11.98500,-11.98500,-11.98080,-11.73430,-12.60470,71.64130,71.64130,-0.16840,-0.16840,7.31620,0.06160,0.10400,100.00000,-1546.77700,-1546.77800,-1470.42600,-1470.21100,0.00450,-17.47010,-17.47010,-6.63980,-16.39470,0.84890,-0.2925,-0.2926
2022-09-30,0.96290,0.96290,15.46250,5.39760,0.07450,-19.82270,-4.66430,-24.48710,0.06950,-24.55650,-24.55650,-24.57060,-19.27250,-19.82270,71.38300,71.38300,-0.34240,-0.34240,3.85970,0.06880,0.10320,100.00000,-2058.68200,-2058.68200,-2543.09600,-2551.77800,0.00790,-37.77660,-37.77660,-20.02830,-35.17680,0.86830,-0.1884,-0.1915
2022-06-30,1.09080,1.09080,12.18400,5.75950,0.10540,-16.74730,1.15680,-15.59050,0.02130,-15.61180,-15.61180,-15.84280,-16.15140,-16.74730,71.36200,71.36200,-0.22350,-0.22350,5.93460,0.30280,0.51730,100.00000,-1535.31700,-1535.31700,-1429.26800,-1452.39000,0.00570,-16.86710,-16.86710,-8.19310,-11.75940,1.23630,-0.2047,-0.208
