Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,16.03800,6.99300,9.04500,10.30900,10.70500,-0.26400,21.27800,-12.23300,1.88800,-10.34500,0.01400,-10.35900,-10.35500,-10.35500,-11.41000,-12.23300,106.09900,106.09900,-0.10000,-0.10000,8.20120,,56.39730,-76.27510,-76.27510,-64.50310,-64.56540,0.09330,0.59580,2.22230,40.49940,,-7.38560,-6.02430,-7.04470,1.38290,0.0281,0.0213
2024-06-30,13.59700,5.25300,8.34400,9.96100,7.76500,-0.02800,17.75400,-9.41000,0.55000,-8.86000,0.02100,-8.88100,-8.86900,-8.86900,-8.93100,-9.41000,105.08000,105.08000,-0.08000,-0.08000,9.70960,,61.36650,-69.20640,-69.20640,-65.16140,-65.22760,0.07730,0.37330,1.35690,66.33010,-5.77680,-6.05360,-5.04530,-5.77680,1.45420,-0.002,-0.0043
2024-03-31,11.55900,4.74400,6.81500,10.14500,7.95900,,18.10400,-11.28900,1.25900,-10.03000,0.01700,-10.04700,-10.04200,-10.04200,-10.83300,-11.28900,104.04700,104.04700,-0.10000,-0.10000,12.88800,,58.95840,-97.66420,-97.66420,-86.77220,-86.87600,0.06750,0.37990,1.16680,77.13730,,-6.34960,-5.86300,-6.34960,,-0.01340,-0.01360
2023-12-31,21.94000,8.41300,13.52700,8.63100,6.63200,,15.26300,-1.73600,4.57200,2.83600,0.05100,2.78500,2.79000,2.79000,-1.29700,-1.73600,101.98600,101.98600,0.03000,0.03000,10.96570,,61.65450,-7.91250,-7.91250,12.92620,12.71650,0.12150,0.60810,1.49840,60.06290,,1.69810,1.54520,1.69810,1.66170,-0.0407,-0.0415
2023-09-30,14.16600,5.82800,8.33800,13.41900,7.85800,,21.27700,-12.93900,0.45700,-12.48200,0.01600,-12.49800,-12.49200,-12.49200,-12.53900,-12.93900,102.21700,102.21700,-0.12000,-0.12000,9.29940,,58.85920,-91.33840,-91.33840,-88.11240,-88.18300,0.08010,0.34480,1.85910,48.41170,,-7.91780,-7.05930,-7.91780,,0.06,0.0583
2023-06-30,24.17500,9.24100,14.93400,12.16100,7.95600,,20.11700,-5.18300,0.62300,-4.56000,0.02600,-4.58600,-4.58200,-4.58200,-4.76900,-5.18300,101.68600,101.68600,-0.05000,-0.05000,10.61170,,61.77460,-21.43950,-21.43950,-18.86250,-18.95350,0.13110,0.48590,1.50560,59.77790,-2.75560,-2.75560,-2.48570,-2.75560,1.63270,0.0041,-0.0036
2023-03-31,23.88000,8.08700,15.79300,13.96000,8.89200,,22.85200,-7.05900,1.69800,-5.36100,0.01900,-5.38000,-5.37700,-5.37700,-6.68000,-7.05900,101.07600,101.07600,-0.05000,-0.05000,8.99660,,66.13490,-29.56030,-29.56030,-22.44980,-22.51680,0.12660,0.34320,1.85650,48.47870,,-3.22340,-2.84950,-3.22340,,-0.08580,-0.08720
2022-12-31,23.47300,7.44300,16.03000,16.46200,7.66800,,24.13000,-8.10000,0.81900,-7.28100,0.04100,-7.32200,-7.31700,-7.31700,-7.73900,-8.10000,97.82100,97.82100,-0.08000,-0.08000,7.60460,,68.29120,-34.50780,-34.50780,-31.01860,-31.17200,0.12000,0.31250,2.03860,44.14690,-4.36990,-4.36990,-3.73970,-4.36990,1.69340,-0.06,-0.0633
2022-09-30,23.14100,7.00500,16.13600,12.71400,8.56100,,21.27500,-5.13900,-0.14900,-5.28800,0.02100,-5.30900,-5.30500,-5.30500,-4.79000,-5.13900,98.05870,98.05870,-0.05000,-0.05000,9.80190,,69.72910,-22.20730,-22.20730,-22.85120,-22.92470,0.11990,0.32020,2.86930,31.36640,,-3.09620,-2.74760,-3.09620,,-0.036,-0.0397
2022-06-30,22.48100,6.69700,15.78400,14.90400,8.81300,,23.71700,-7.93300,-2.02200,-9.95500,0.04300,-9.99800,-9.99500,-9.99500,-7.58600,-7.93300,97.44200,97.44200,-0.10000,-0.10000,9.27840,,70.21040,-35.28760,-35.28760,-44.28180,-44.45980,0.11460,0.38670,2.23760,40.22200,-5.77050,-5.77050,-5.09360,-5.77050,,-0.0434,-0.0459
