Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,137.46600,104.70800,32.75800,24.28900,,25.43500,7.32300,-1.17000,6.15300,-29.74500,35.89800,,35.89800,,35.90500,10.80900,7.32300,10.71800,10.99200,3.35000,3.27000,2.27070,0.27260,0.37570,23.82990,5.32710,5.32710,4.47600,26.11920,0.39900,1.41730,2.06040,43.68080,19.67700,26.88260,10.41900,14.31270,17.11730,2.2364,1.9568
2024-06-30,140.79600,110.28300,30.51300,24.81800,,25.94100,4.57200,-1.40900,3.16300,0.34600,2.81700,,2.81700,,2.84700,8.05700,4.57200,10.79300,11.06000,0.26000,0.26000,2.38060,0.37080,0.59040,21.67180,3.24730,3.24730,2.24650,2.02210,0.42250,1.37710,1.85530,48.51000,1.90790,2.85830,0.84530,1.20050,13.69300,-0.4347,-0.5865
2024-03-31,124.32000,98.14400,26.17600,22.87000,3.47700,20.61000,5.56600,-0.87200,4.69400,0.28900,4.40500,,4.40500,,4.43600,9.15700,5.56600,10.76200,10.98500,0.41000,0.40000,2.17370,0.34910,0.53750,21.05530,4.47720,4.47720,3.77570,3.56820,0.38090,1.14440,2.14820,41.89500,3.03210,4.63270,1.34960,1.97350,13.46530,-1.95210,-1.88030
2023-12-31,134.87700,106.16800,28.70910,27.26300,,28.45800,0.25100,-0.97700,-0.72600,-0.25600,-0.47000,,-0.47000,,-0.43000,3.94600,0.25110,10.79900,10.99500,-0.03000,-0.04000,1.77090,0.27860,0.38700,21.28530,0.18610,0.18610,-0.53830,-0.31880,0.43170,1.45210,2.52180,35.68850,-0.32910,-0.51510,-0.15040,-0.23740,13.30680,1.966,1.809
2023-09-30,145.34500,117.92800,27.41700,24.42100,,25.80000,1.61700,-1.29100,0.32600,-0.12100,0.44700,,0.44700,,0.51500,5.45600,1.61700,10.81300,10.97300,0.05000,0.05000,1.97680,0.33500,0.50440,18.86340,1.11250,1.11250,0.22430,0.35430,0.43440,1.43780,2.24860,40.02490,0.31450,0.48980,0.13360,0.20920,13.15390,1.7016,1.585
2023-06-30,148.03400,115.42300,32.61100,24.52200,,25.89700,6.71400,-2.65800,4.05600,0.56300,3.49300,,3.49300,,3.53100,10.57300,6.71400,10.80700,10.87800,0.32000,0.32000,2.22360,0.38540,0.62770,22.02940,4.53540,4.53540,2.73990,2.38530,0.42110,1.45280,1.99380,45.14110,2.44960,3.88400,0.99350,1.50560,13.18220,-0.9487,-0.9733
2023-03-31,115.48800,92.18100,23.30700,21.41700,,22.78200,0.52500,-3.23700,-2.71200,-0.54100,-2.17100,,-2.17100,,-2.15200,4.39500,0.52500,10.79200,10.79200,-0.20000,-0.20000,2.09250,0.36860,0.58460,20.18130,0.45460,0.45460,-2.34830,-1.86340,0.34330,1.08970,2.10350,42.78680,-1.58450,-2.59680,-0.64540,-1.00050,12.67480,0.64230,0.57900
2022-12-31,137.17300,110.39900,26.77400,23.34700,,33.05300,-6.27900,-1.13900,-7.41800,36.54400,-43.96200,,-43.96200,,-43.93100,-2.03700,-6.27900,10.72000,10.72000,-4.08000,-4.08000,1.99520,0.40010,0.66770,19.51840,-4.57740,-4.57740,-5.40780,-32.02600,0.37550,1.45800,1.66360,54.09920,-31.94960,-52.94460,-12.03420,-19.16810,12.76780,0.7687,0.4823
2022-09-30,130.01500,106.91800,23.09700,22.61800,,24.21700,-1.12000,-1.16100,-2.28100,-0.17600,-2.10500,,-2.10500,,-2.07700,2.74800,-1.12000,10.73100,10.73100,-0.20000,-0.20000,2.05890,0.36000,0.56300,17.76490,-0.86140,-0.86140,-1.75440,-1.59750,0.31470,1.25570,1.61170,55.84340,-1.19810,-1.86160,-0.50940,-0.76670,16.37170,-0.5178,-0.6586
2022-06-30,131.51500,108.22200,23.29300,19.39400,,20.81300,2.48000,0.31700,2.79700,0.82100,1.97600,,1.97600,,2.01000,5.77500,2.48000,10.71500,10.81400,0.18000,0.18000,2.10010,0.21380,0.27220,17.71130,1.88570,1.88570,2.12680,1.52830,0.35990,1.47460,1.82020,49.44440,1.09150,1.55680,0.54070,0.85820,16.87070,-0.5229,-0.6205
2022-03-31,98.79400,82.34700,16.44700,17.29800,,18.73400,-2.28700,0.19300,-2.09400,-0.50800,-1.58600,,-1.58600,,-1.56600,1.08700,-2.28700,10.68500,10.68500,-0.15000,-0.15000,2.08320,0.16360,0.19600,16.64780,-2.31490,-2.31490,-2.11960,-1.58510,0.28440,1.21460,1.67070,53.87120,-0.87290,-1.19870,-0.45650,-0.73010,16.97310,-0.71460,-0.87690
2021-12-31,112.96500,93.93000,19.03500,18.14600,,19.58500,-0.55000,-0.17800,-0.72800,-0.37500,-0.35300,0.05300,-0.30000,,-0.33400,2.89100,-0.55000,10.62300,10.75200,-0.03000,-0.03000,2.08230,0.14510,0.17020,16.85040,-0.48690,-0.48690,-0.64440,-0.29570,0.32970,1.49400,2.02040,44.54470,-0.16340,-0.22650,-0.08760,-0.13970,17.20810,0.5573,0.4618
2021-09-30,130.05300,107.77700,22.27600,20.05600,,21.51800,0.75800,2.15800,2.91600,0.67600,2.24000,0.03000,2.27000,0.07200,2.34200,4.26100,0.75800,10.64200,10.76400,0.22000,0.22000,1.98710,0.15060,0.17790,17.12840,0.58280,0.58280,2.24220,1.80080,0.36150,0.98970,2.01320,44.70550,1.24470,1.74920,0.63090,1.05720,17.13080,-1.27,-1.392
2021-06-30,154.52200,128.36100,26.16100,19.76700,,21.23700,4.92400,-0.93100,3.99300,1.13900,2.85400,,2.85400,,2.87600,8.41200,4.92400,10.61900,10.73400,0.27000,0.27000,1.87980,0.17030,0.20590,16.93030,3.18660,3.18660,2.58410,1.86120,0.40670,1.12360,1.97210,45.63780,1.57770,2.25740,0.75120,1.30910,17.00430,-0.0883,-0.1723
2021-03-31,116.08000,97.25000,18.83000,18.02600,,19.49100,-0.66100,-0.93000,-1.59100,-0.32100,-1.27000,,-1.27000,,-1.25800,2.79400,-0.66100,10.58300,10.58300,-0.12000,-0.12000,1.86250,0.17170,0.20800,16.22160,-0.56940,-0.56940,-1.37060,-1.08370,0.31000,0.82850,1.76790,50.90800,-0.71800,-1.04930,-0.33910,-0.59470,16.67640,0.70210,0.57670
2020-12-31,115.57600,93.89100,21.68500,17.37100,,18.82900,2.85600,-0.71900,2.13700,-0.14300,2.28000,,2.28000,-0.18500,2.09500,6.32600,2.85600,10.54000,10.67100,0.20000,0.20000,2.04950,0.20250,0.25460,18.76250,2.47110,2.47110,1.84900,1.81270,0.31200,1.19430,1.98250,45.39710,1.28940,1.90650,0.61560,1.02830,16.74050,0.3395,0.1974
2020-09-30,118.36500,96.30400,22.06100,17.06600,,18.49400,3.56700,-0.73100,2.83600,-13.74200,16.57800,,16.57800,-9.74800,6.83000,6.93500,3.56700,10.56200,10.65900,0.65000,0.64000,2.04700,0.22030,0.28330,18.63810,3.01360,3.01360,2.39600,5.77030,0.31240,0.82120,1.92780,46.68610,9.56330,14.35550,4.37500,7.45620,16.41270,0.6672,0.4871
2020-06-30,141.56300,113.42500,28.13800,18.87000,,20.28300,7.85500,1.21700,9.07200,2.10200,6.97000,,6.97000,-6.44700,0.52300,11.23100,7.85500,10.55700,10.62300,0.05000,0.05000,1.86360,0.25270,0.33900,19.87670,5.54880,5.54880,6.40850,0.36940,0.35630,0.99740,1.71510,52.47370,4.25270,6.65300,1.75410,3.17800,15.51750,1.2363,0.9675
2020-03-31,121.90700,98.78500,23.12200,20.33700,,21.76700,1.35500,-1.41800,-0.06300,-0.05800,-0.00500,,-0.00500,-1.86100,-1.86600,4.72000,1.35500,10.47800,10.47800,-0.18000,-0.18000,1.92750,0.27440,0.39500,18.96690,1.11150,1.11150,-0.05170,-1.53070,0.30550,0.87010,1.55970,57.70300,-0.00310,-0.00490,-0.00130,-0.00220,15.39900,-0.65760,-0.92530
2019-12-31,120.17800,93.48100,26.69700,16.71700,,18.14900,8.54800,-4.57600,3.97200,-26.99400,30.96600,,30.96600,-4.71600,26.25000,12.00500,8.54800,10.41000,10.64400,2.52000,2.46000,1.85590,0.24550,0.34230,22.21460,7.11280,7.11280,3.30510,21.84260,0.29660,0.78910,1.63250,55.13020,18.23010,28.62350,7.64270,13.75430,16.29840,1.508,1.2614
2019-09-30,144.84800,116.89700,27.95100,21.03500,,22.65700,5.29400,-0.70400,4.59000,0.83600,3.75400,,3.75400,-0.69000,3.06400,7.29500,5.29400,10.42000,10.67400,0.29000,0.29000,1.95070,0.33550,0.52640,19.29680,3.65490,3.65490,3.16880,2.11530,0.36550,0.90800,1.70330,52.83820,2.70700,4.99270,0.94730,1.79880,13.30730,2.1304,2.2528
2019-06-30,200.93300,163.80500,37.12800,22.85500,,24.53400,12.59400,-1.34500,11.24900,1.68500,9.56400,,9.56400,,9.56400,17.04100,12.59400,10.42000,10.64200,0.92000,0.90000,2.04040,0.39240,0.66890,18.47780,6.26780,6.26780,5.59840,4.75980,0.48210,1.21840,2.03610,44.20160,7.02090,13.55350,2.29460,4.26590,13.07300,0.4106,0.2967
2019-03-31,150.46900,121.30700,29.16200,21.91700,,23.62900,5.53300,-1.20500,4.32800,0.63800,3.69000,,3.69000,,3.69000,10.01700,5.53300,10.38400,10.44700,0.36000,0.35000,1.88420,0.41310,0.70870,19.38070,3.67720,3.67720,2.87630,2.45230,0.35300,0.85000,1.51200,59.52470,2.89960,6.19770,0.86580,1.70180,12.23160,-1.29660,-1.53720
2018-12-31,118.62600,91.71600,26.91000,17.25700,,62.30100,-35.39100,-0.43300,-35.82400,4.74600,-40.57000,,-40.57000,,-41.15200,-34.36600,-35.39100,10.36200,10.36200,-3.97000,-3.96000,1.82520,0.37840,0.61400,22.68470,-29.83410,-29.83410,-30.19910,-34.69050,0.30950,0.73670,1.37740,65.34040,-33.22170,-76.51110,-10.58580,-20.64930,11.78070,0.3677,0.3261
2018-09-30,167.09400,135.79100,31.30300,21.66200,,23.42400,7.87900,-1.45300,6.42600,0.01800,6.40800,,6.40800,,6.40800,12.44400,7.87900,10.36500,10.48900,0.62000,0.61000,1.83160,0.32840,0.49310,18.73380,4.71530,4.71530,3.84570,3.83500,0.45090,1.26670,1.95170,46.11390,4.13180,7.64330,1.72930,2.77490,14.96120,1.3843,1.2699
2018-06-30,172.89000,139.82700,33.06300,23.36800,,25.14300,7.92000,-1.75800,6.16200,0.72800,5.43400,,5.43400,,5.43400,12.63300,7.92000,10.36500,10.48400,0.52000,0.52000,1.95180,0.39740,0.66370,19.12370,4.58100,4.58100,3.56410,3.14300,0.44600,1.37970,1.79510,50.13540,3.64170,7.15240,1.40180,2.19450,14.39610,0.5034,0.5982
2018-03-31,122.45400,100.26200,22.19200,20.45800,,22.24300,-0.05100,-1.28200,-1.33300,0.52500,-1.85800,,-1.85800,,-1.85800,4.67800,-0.05100,10.35100,10.35100,-0.18000,-0.18000,2.02230,0.41100,0.70240,18.12270,-0.04170,-0.04170,-1.08860,-1.51730,0.32790,0.99220,1.59390,56.46630,-1.27430,-2.66690,-0.49760,-0.75050,14.06660,0.25030,0.18130
2017-12-31,141.32300,111.41500,29.90800,20.49800,,22.27200,7.63600,-2.10700,5.52900,3.99200,1.53700,,1.53700,,1.53700,12.55400,7.63600,10.33400,10.48300,0.15000,0.14000,2.41950,0.45560,0.84120,21.16290,5.40320,5.40320,3.91230,1.08760,0.35180,1.08450,1.84540,48.77040,0.99480,1.98910,0.38260,0.54160,14.94010,1.13,1.0595
2017-09-30,131.49200,105.12700,26.36500,20.21800,,21.98200,4.38300,-1.36900,3.01400,-0.20800,3.22200,,3.22200,,3.22200,9.32500,4.38300,10.34100,10.47900,0.31000,0.31000,2.10130,0.47170,0.96150,20.05070,3.33330,3.33330,2.29220,2.45030,0.32140,1.01050,1.65770,54.29350,2.24030,4.95810,0.78750,1.18360,13.90770,-0.2284,-0.1802
2017-06-30,144.86000,117.12400,27.73600,20.57800,,22.27300,5.46300,-1.96400,3.49900,0.47500,3.02400,,3.02400,,3.02400,10.40300,5.46300,10.33500,10.48300,0.29000,0.29000,2.05960,0.48200,1.00350,19.14680,3.77120,3.77120,2.41540,2.08750,0.36860,1.38460,1.88030,47.86480,2.19920,5.26280,0.76940,1.13930,13.29550,1.8126,1.7091
2017-03-31,118.70200,97.45000,21.25200,19.22700,,20.98600,0.26600,-2.25700,-1.99100,0.43100,-2.42200,,-2.42200,,-2.42200,5.30700,0.26600,10.31900,10.31900,-0.23000,-0.23000,2.17050,0.52400,1.17820,17.90370,0.22410,0.22410,-1.67730,-2.04040,0.29510,1.18050,1.54830,58.12900,-1.83790,-4.76890,-0.60210,-0.87490,12.75470,1.04160,0.72030
2016-12-31,106.56600,87.78600,18.78000,20.03500,,21.79200,-3.01200,-1.22200,-4.23400,36.61600,-40.85000,,-40.85000,,-40.85000,2.04200,-3.01200,10.27300,10.27300,-3.97000,-3.97000,2.42440,0.52820,1.19750,17.62290,-2.82650,-2.82640,-3.97310,-38.33310,0.27110,1.05460,1.59930,56.27390,-30.65640,-80.41340,-10.39380,-14.46380,12.92070,0.6381,0.5288
2016-09-30,114.64400,94.84100,19.80300,19.80700,,21.57000,-1.76700,-7.59400,-9.36100,-3.37900,-5.98200,,-5.98200,,-5.98200,3.29100,-1.76700,10.29600,10.29600,-0.58000,-0.58000,2.22480,0.43170,0.76730,17.27350,-1.54130,-1.54130,-8.16530,-5.21790,0.27870,1.03790,1.76630,50.95530,-3.38420,-6.53320,-1.45450,-1.92310,17.15980,0.5148,0.3916
2016-06-30,135.99400,108.18100,27.81300,23.31700,,26.10600,1.70700,-131.13200,-129.42500,-37.42900,-91.99600,,-91.99600,,-91.99600,8.09400,1.70700,10.26300,10.26300,-8.96000,-8.96000,2.29330,0.47570,0.91470,20.45160,1.25520,1.25520,-95.16960,-67.64710,0.28930,1.13700,1.67080,53.86740,-49.98130,-102.59510,-19.57300,-26.20290,17.87690,1.1378,1.0146
2016-03-31,126.31000,102.35000,23.96000,22.81700,,26.08300,-2.12300,-2.02600,-4.14900,-1.31700,-2.83200,,-2.83200,,-2.83200,4.87000,-2.12300,10.23200,10.23200,-0.28000,-0.28000,2.57010,0.38370,0.62730,18.96920,-1.68080,-1.68080,-3.28480,-2.24210,0.22630,1.11000,1.68850,53.30310,-1.01560,-4.29330,-0.50740,-0.62600,27.21560,-0.49910,-0.79510
2015-12-31,139.13800,109.26500,29.87300,24.51400,,27.80900,2.06400,3.07300,5.13700,1.80700,3.33000,,3.33000,,3.33000,9.19500,2.06400,10.25400,10.25400,0.33000,0.34000,2.34020,0.37180,0.59670,21.47010,1.48340,1.48340,3.69200,2.39330,0.24550,1.13350,1.77280,50.76850,1.17740,5.03380,0.58770,0.73960,27.67170,4.1435,4.3046
2015-09-30,176.05900,140.02100,36.03800,21.60500,,24.94200,11.09600,-81.29800,-70.20200,-12.78000,-57.42200,,-57.42200,,-57.42200,18.25100,11.09600,10.25600,10.25600,-5.60000,-5.60000,2.68100,0.42310,0.73810,20.46930,6.30240,6.30240,-39.87410,-32.61520,0.28790,1.41700,1.58820,56.66770,-20.42630,-92.03130,-9.38920,-11.78290,27.51200,1.5211,1.2058
2015-06-30,171.41900,134.33000,37.08900,24.27800,,27.73400,9.35500,-1.53200,7.82300,2.46100,5.36200,,5.36200,,5.36200,16.96700,9.35500,10.28400,10.37000,0.52000,0.52000,2.75160,0.38660,0.63380,21.63650,5.45740,5.45740,4.56370,3.12800,0.24420,1.26860,1.66040,54.20460,1.55550,13.17610,0.76400,0.95420,33.49320,0.5307,0.1819
2015-03-31,137.90700,107.25400,30.65300,22.25100,,24.40800,6.24500,0.42000,6.66500,2.38000,4.28500,,4.28500,,4.28500,11.02100,6.24500,10.25900,10.35900,0.42000,0.41000,2.58490,0.39340,0.65050,22.22730,4.52840,4.52840,4.83300,3.10720,0.19820,1.01480,1.47540,60.99850,1.27720,16.03670,0.61590,0.77480,32.63900,-0.71720,-1.14790
2014-12-31,161.14900,129.54400,31.60500,21.54600,,22.73700,8.86800,0.78400,9.65200,3.62300,6.02900,,6.02900,,6.02900,12.19800,8.86800,10.22500,10.33200,0.59000,0.58000,2.24650,0.07120,0.07870,19.61230,5.50300,5.50300,5.98950,3.74130,0.32770,1.36230,1.78700,50.36350,1.79490,3.52980,1.22610,1.66710,32.79520,1.6468,1.1178
2014-09-30,167.79700,132.63800,35.15900,20.64400,,21.83500,13.32400,0.53300,13.85700,4.74100,9.11600,,9.11600,,9.11600,16.58300,13.32400,10.23900,10.33500,0.89000,0.88000,2.80750,0.00080,0.00110,20.95330,7.94060,7.94060,8.25820,5.43280,0.37090,1.46090,1.84030,48.90450,2.72540,4.05000,2.01520,2.72320,32.66740,1.7388,1.3622
2014-06-30,166.83200,136.13200,30.70000,19.59900,,20.77100,9.92900,0.30100,10.23000,3.36800,6.86200,,6.86200,,6.86200,13.01500,9.92900,10.22300,10.30900,0.67000,0.67000,3.00140,0.00090,0.00120,18.40180,5.95150,5.95150,6.13190,4.11310,0.37920,1.60880,1.76550,50.97730,2.09390,3.11370,1.55970,2.09200,32.00680,-0.0535,-0.4587
2014-03-31,111.41400,87.28700,24.12700,18.02500,,19.16600,4.96100,0.36000,5.32100,1.67200,3.64900,,3.64900,,3.64900,7.86300,4.96100,10.19700,10.29200,0.36000,0.35000,3.45160,0.00100,0.00140,21.65530,4.45280,4.45280,4.77590,3.27520,0.27100,1.12420,1.66860,53.93750,1.14770,1.74210,0.88750,1.14650,31.13710,3.12730,2.80520
