Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,153.00000,122.00000,31.00000,7.10000,0.10000,18.10000,12.90000,-0.70000,12.20000,3.50000,8.70000,8.70000,8.70000,24.00000,12.90000,22.24200,22.49400,0.39000,0.39000,1.99550,,,20.26140,8.43140,8.43140,7.97390,5.68630,0.40920,21.40350,1.86810,48.17650,3.25110,3.32310,2.32680,3.25110,12.02970,0.7859,0.4797
2024-06-30,138.10000,113.20000,24.90000,6.90000,0.30000,17.60000,7.30000,-0.60000,6.70000,2.00000,4.70000,4.70000,4.70000,18.30000,7.30000,22.36400,22.48000,0.21000,0.21000,1.86020,,,18.03040,5.28600,5.28600,4.85160,3.40330,0.38400,17.41540,1.96720,45.74950,1.80420,1.84680,1.30700,1.80420,11.64770,0.9934,0.3391
2024-03-31,136.90000,120.80000,16.10000,6.70000,1.30000,16.60000,-0.50000,-0.80000,-1.30000,-0.50000,-0.80000,-0.80000,-0.80000,10.70000,-0.50000,22.73830,22.92230,-0.04000,-0.04000,2.00860,0.05150,0.05430,11.76040,-0.36520,-0.36520,-0.94960,-0.58440,0.38510,18.87500,1.93910,46.41340,-0.30570,-0.31300,-0.22500,-0.29000,11.50890,0.52350,0.27480
2023-12-31,151.50000,129.70000,21.80000,6.80000,0.20000,17.20000,4.60000,-0.70000,3.90000,1.80000,2.10000,2.10000,2.10000,15.20000,4.60000,24.60000,24.99100,0.09000,0.08000,1.96230,,0.00040,14.38940,3.03630,3.03630,2.57430,1.38610,0.40080,20.26560,1.77400,50.73270,0.77260,0.79100,0.55560,0.77260,11.61590,1.4997,1.2354
2023-09-30,164.40000,134.80000,29.60000,7.00000,-0.30000,17.90000,11.70000,-0.70000,11.00000,1.60000,9.40000,9.40000,9.40000,22.30000,11.70000,24.50100,24.88700,0.38000,0.38000,1.89700,,0.03670,18.00490,7.11680,7.11680,6.69100,5.71780,0.41780,17.50650,1.82870,49.21530,3.35120,3.43070,2.38880,3.35120,11.49070,0.5098,-0.0887
2023-06-30,163.20000,136.30000,26.90000,7.30000,0.50000,15.50000,11.40000,-3.30000,8.10000,2.00000,6.10000,6.10000,6.10000,20.10000,11.40000,24.84100,25.18800,0.25000,0.24000,2.12440,,0.00330,16.48280,6.98530,6.98530,4.96320,3.73770,0.44740,18.17330,2.17890,41.30520,2.22630,2.28210,1.67210,2.22630,11.14270,0.9336,0.6516
2023-03-31,157.50000,130.90000,26.60000,8.40000,1.00000,17.40000,9.20000,-1.20000,8.00000,1.80000,6.20000,6.20000,6.20000,19.20000,9.20000,24.94030,25.21000,0.25000,0.25000,2.08780,0.02540,0.05730,16.88890,5.84130,5.84130,5.07940,3.93650,0.41940,20.13850,2.00640,44.85710,2.27770,2.33700,1.65110,2.21980,10.85070,0.69020,0.64660
2022-12-31,154.30000,127.80000,26.50000,7.50000,0.70000,17.40000,9.10000,-1.60000,7.50000,-0.10000,7.60000,7.60000,7.60000,19.70000,9.10000,22.97000,23.37100,0.44000,0.44000,1.88050,0.04180,0.06910,17.17430,5.89760,5.89760,4.86070,4.92550,0.40440,21.66100,1.69190,53.19510,2.85500,2.93320,1.99160,2.73580,10.69330,1.1695,1.1541
2022-09-30,177.00000,138.10000,38.90000,11.00000,0.90000,20.90000,18.00000,-1.00000,17.00000,3.40000,13.60000,13.60000,13.60000,28.80000,18.00000,24.84600,25.18400,0.55000,0.54000,1.50000,0.04770,0.16800,21.97740,10.16950,10.16950,9.60450,7.68360,0.43360,25.57410,1.86320,48.30510,5.27750,5.42910,3.33170,5.02590,10.36020,0.4038,0.5207
2022-06-30,153.60000,130.00000,23.60000,11.20000,-3.20000,25.80000,-2.20000,1.00000,-1.20000,-0.80000,-0.40000,-0.40000,-0.40000,9.20000,-2.20000,23.58150,23.58150,-0.02000,-0.02000,1.23030,0.05520,0.23240,15.36460,-1.43230,-1.43230,-0.78130,-0.26040,0.39830,30.95240,1.81780,49.51170,-0.16450,-0.16970,-0.10370,-0.15550,9.83530,0.9858,1.0628
2022-03-31,123.60000,108.00000,15.60000,10.20000,1.00000,20.80000,-5.20000,-2.10000,-7.30000,-1.60000,-5.70000,-5.70000,-5.70000,6.40000,-5.20000,18.47290,18.47290,-0.31000,-0.31000,1.10200,0.06040,0.31600,12.62140,-4.20710,-4.20710,-5.90610,-4.61170,0.31330,27.69230,1.39500,64.51460,-2.34950,-2.42450,-1.44490,-2.20670,12.99880,-0.65500,-0.38430
2021-12-31,123.10000,111.10000,12.00000,17.80000,,28.60000,-16.60000,34.70000,18.10000,-6.30000,24.40000,24.40000,24.40000,-4.70000,-16.60000,11.86030,13.55220,2.37000,2.27000,1.02430,0.06890,0.25130,9.74820,-13.48500,-13.48500,14.70350,19.82130,0.31320,44.44000,1.52350,59.07390,9.81500,10.12870,6.20710,9.13520,13.49500,-5.0323,-4.4561
2021-09-30,81.70000,74.00000,7.70000,7.10000,,15.80000,-8.10000,-1.20000,-9.30000,-0.20000,-9.10000,-9.10000,-5.60000,0.60000,-8.10000,11.01190,11.01190,-0.51000,-0.51000,1.00560,0.08480,0.29160,9.42470,-9.91430,-9.91430,-11.38310,-6.85430,0.24110,26.42860,1.41840,63.45170,-5.17340,-5.41990,-2.68520,-4.73470,9.75540,2.5555,2.3846
2021-06-30,50.00000,44.10000,5.90000,6.20000,,14.40000,-8.50000,-0.70000,-9.20000,-0.10000,-9.10000,-9.10000,-5.60000,-0.30000,-8.50000,9.52310,9.52310,-0.59000,-0.59000,1.25810,0.06620,0.13000,11.80000,-17.00000,-17.00000,-18.40000,-11.20000,0.19960,16.33330,1.40850,63.90000,-5.16460,-5.47200,-3.63270,-4.82250,10.36650,-0.2091,-0.3561
2021-03-31,38.30000,34.10000,4.20000,3.50000,,11.50000,-7.30000,-0.60000,-7.90000,0.40000,-8.30000,-8.30000,-4.60000,0.70000,-7.30000,8.58160,8.58160,-0.54000,-0.54000,1.05950,0.08440,0.17350,10.96610,-19.06010,-19.06010,-20.62660,-12.01040,0.16280,14.82610,1.40290,64.15140,-4.69190,-4.92290,-3.52740,-4.29610,11.30860,-0.22140,-0.22140
2020-12-31,41.50000,34.40000,7.10000,7.00000,,15.20000,-8.10000,1.40000,-6.70000,,-6.70000,-6.70000,-3.70000,0.10000,-8.10000,8.53290,8.53290,-0.42000,-0.40000,1.08180,0.07280,0.13260,17.10850,-19.51800,-19.51810,-16.14460,-8.91570,0.17250,14.95650,1.60230,56.16870,-3.62550,-3.80030,-2.78470,-3.36180,11.99380,-0.2208,-0.1953
2020-09-30,34.60000,26.60000,8.00000,4.60000,,13.00000,-5.00000,-0.80000,-5.80000,-0.10000,-5.70000,-5.70000,-3.20000,3.40000,-5.00000,8.50680,8.50680,-0.38000,-0.38000,0.94140,0.06890,0.14220,23.12140,-14.45090,-14.45090,-16.76300,-9.24860,0.14330,15.64710,1.64760,54.62430,-2.99060,-3.13360,-2.36120,-2.78460,12.38060,0.3534,0.3442
2020-06-30,30.70000,23.80000,6.90000,5.50000,,15.00000,-8.10000,-0.80000,-8.90000,,-8.90000,-8.90000,-4.90000,1.40000,-8.10000,8.47410,8.47410,-0.58000,-0.58000,0.95050,0.08910,0.16960,22.47560,-26.38440,-26.38440,-28.99020,-15.96090,0.12370,11.90000,1.91880,46.90550,-4.55940,-4.77720,-3.58730,-4.15310,12.71990,2.3092,1.9559
2020-03-31,81.00000,63.10000,17.90000,5.00000,,13.90000,4.00000,-1.10000,2.90000,0.10000,2.80000,2.80000,1.50000,12.90000,4.00000,8.61800,15.55000,0.17000,0.15000,0.91130,0.07630,0.26200,22.09880,4.93830,4.93830,3.58020,1.85190,0.27340,15.39020,1.91940,46.88890,1.37660,1.44110,0.94500,1.27160,13.32720,0.54660,0.25080
2019-12-31,80.20000,63.20000,17.00000,6.50000,,15.40000,1.60000,-1.20000,0.40000,0.50000,-0.10000,-0.10000,-0.70000,10.50000,1.60000,8.63400,8.63400,-0.09000,-0.02000,1.06530,0.12950,0.25170,21.19700,1.99500,1.99500,0.49880,-0.87280,0.27330,16.63160,1.93250,46.57110,-0.04930,-0.05160,-0.03410,-0.04290,13.01950,1.8715,1.328
2019-09-30,84.10000,66.70000,17.40000,6.70000,,15.80000,1.60000,-1.40000,0.20000,1.10000,-0.90000,-0.90000,-0.50000,10.70000,1.60000,8.76900,8.76900,-0.06000,-0.06000,1.16300,0.17010,0.30810,20.68970,1.90250,1.90250,0.23780,-0.59450,0.27270,26.68000,1.71980,52.33060,-0.44440,-0.46630,-0.29180,-0.36890,12.94100,3.2182,2.0572
2019-06-30,84.30000,65.60000,18.70000,6.30000,,14.70000,4.00000,-1.90000,2.10000,0.30000,1.80000,1.80000,1.00000,12.40000,4.00000,8.51400,15.41200,0.12000,0.10000,1.26250,0.20650,0.36220,22.18270,4.74500,4.74500,2.49110,1.18620,0.26520,8.51950,1.56110,57.65120,0.89060,0.93560,0.56620,0.70670,12.96930,0.2874,-0.0459
2019-03-31,88.30000,67.50000,20.80000,7.20000,,15.60000,5.20000,-1.30000,3.90000,0.30000,3.60000,3.60000,2.00000,13.60000,5.20000,8.44900,15.61400,0.24000,0.19000,1.12500,0.21960,0.38530,23.55610,5.88900,5.88900,4.41680,2.26500,0.27290,11.44070,1.70460,52.79730,1.83490,1.93240,1.11250,1.43200,12.80680,0.63400,-0.03840
2018-12-31,85.30000,65.30000,20.00000,7.00000,,16.70000,3.30000,-1.90000,1.40000,,1.70000,1.70000,1.00000,13.00000,3.30000,8.42600,8.42600,0.12000,0.13000,1.03740,0.21090,0.37240,23.44670,3.86870,3.86870,1.64130,1.17230,0.28200,13.32650,1.87890,47.90150,0.88540,0.93410,0.56200,0.69870,12.53670,0.4053,-1.9441
2018-09-30,82.10000,63.00000,19.10000,7.20000,,14.70000,4.40000,-0.90000,3.50000,-0.50000,4.00000,4.00000,2.10000,11.90000,4.40000,8.42800,8.67500,0.25000,0.24000,0.84240,0.17160,0.28730,23.26430,5.35930,5.35930,4.26310,2.55790,0.26920,,1.65190,54.48230,2.10860,2.22840,1.31150,1.74670,12.00100,1.4324,-0.9488
