Date,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.34030,-0.34030,1.45710,1.11680,1.11680,1.11680,1.11680,-0.34030,-0.34030,5.24000,5.24000,0.07000,0.07000,0.08370,-0.49060,-0.43720,-7.01490,-7.01490,0.97500,-10.45630,-3.03840,0.0106,0.0106
2024-06-30,0.23670,-0.23670,1.44050,1.20380,1.20380,1.20380,1.20380,-0.23670,-0.23670,5.24000,5.24000,0.08000,0.08000,0.05100,-0.50670,-0.41850,-7.72610,-7.72600,1.06900,-11.64110,-2.97340,-0.0784,-0.0784
2024-03-31,1.55010,-1.55010,1.42740,-0.12260,-0.12260,-0.12260,-0.12260,-1.55010,-1.55010,5.24000,5.24000,-0.01000,-0.01000,0.19670,-0.51860,-0.42490,0.79910,0.79910,-0.10980,1.21360,-2.92820,-0.05170,-0.05170
2023-12-31,0.57880,-0.57880,2.66180,2.08300,2.08300,2.08300,2.08300,-0.57880,-0.57880,5.24000,5.24000,0.08000,0.08000,0.22080,-0.61260,-0.40740,-15.10070,-15.10070,1.89450,-24.35120,-2.63240,-0.0551,-0.0551
2023-09-30,1.02310,-1.02310,2.87530,1.85220,1.85220,1.85220,1.85220,-1.02310,-1.02310,5.24000,5.24000,0.07000,0.07000,0.06350,,,-14.01610,-14.01610,0.82070,-14.01610,-2.52200,-0.0325,-0.0325
2023-06-30,0.25720,-0.25720,2.45770,2.20050,2.20050,2.20050,2.20050,-0.25720,-0.25720,5.24000,5.24000,0.08000,0.08000,0.12180,,,-18.04870,-18.04870,0.98640,-18.04870,-2.32670,-0.0249,-0.0249
2023-03-31,0.29210,-0.29210,2.30070,2.00870,2.00870,2.00870,2.00870,-0.29210,-0.29210,5.24000,5.24000,0.08000,0.08000,0.14860,,,-16.83020,-16.83020,0.90940,-16.83020,-2.27760,-0.02710,-0.02710
2022-12-31,0.28400,-0.28400,2.20460,1.92060,1.92060,1.92060,1.92060,-0.28400,-0.28400,5.09500,5.24000,0.14000,0.14000,0.16800,-1.70340,-0.63010,-16.49580,-16.49580,0.87780,-44.59410,-2.22190,-0.0183,-0.0183
2022-09-30,0.31210,-0.31210,0.61480,0.30270,0.30270,0.30270,0.30270,-0.31210,-0.31210,5.19000,5.24000,0.01000,0.01000,4.13840,-0.85640,-0.46130,-2.66480,-2.66480,0.13960,-4.94690,-2.16770,-0.194,-0.194
2022-06-30,0.08420,-0.08420,0.00730,-0.07690,-0.07690,-0.07690,-0.07690,-0.08420,-0.08420,5.00000,5.00000,-0.01000,-0.01000,2.65840,-0.89540,-0.47240,0.72640,0.72640,-0.03710,1.37680,-1.84070,-0.0117,-0.0117
2022-03-31,0.03700,-0.03700,,-0.03700,-0.03700,-0.03700,-0.03700,-0.03700,-0.03700,5.00000,5.00000,-0.01000,-0.01000,,,,,,,,,-0.00770,-0.00770
2021-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
