Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share
2024-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,
2024-09-30,28.48700,0.42300,28.06400,22.13100,-0.70800,24.87700,3.18700,-7.07100,-3.88400,-1.12800,-2.75600,-2.75600,2.65600,3.18700,3.18700,17.42500,73.15160,0.15000,-0.04000,0.73060,0.37500,0.68800,98.51510,11.18760,11.18760,-13.63430,9.32360,0.04130,1.90960,47.13100,-0.68210,-0.73190,-0.39950,-0.42630,5.52300
2024-06-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,
2023-09-30,17.79900,1.00300,16.79600,-5.57100,-0.70100,-2.30800,19.10400,-2.36700,16.73700,0.10400,16.63300,16.63300,16.63300,19.10400,19.10400,,,,0.00000,,,,94.36490,107.33190,107.33190,94.03340,93.44910,,,,,,,,
