Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,8.77000,3.72500,-12.49500,0.95500,-11.54000,-11.54000,-11.54000,-11.54000,-12.12800,-12.49500,27.97580,27.97580,-0.41000,-0.41000,9.07440,,,,,,,,,-15.26620,-15.26620,-12.77330,-15.26620,2.70200,-0.4094,-0.4154
2024-06-30,,,12.41800,4.07600,-16.49400,1.09000,-15.40400,-15.40400,-15.40400,-15.40400,-16.10300,-16.49400,27.97300,27.97300,-0.55000,-0.55000,8.34990,,,,,,,,,-18.02880,-18.02880,-15.01530,-18.02880,3.05410,-0.3483,-0.3591
2024-03-31,,,11.39800,4.36400,-18.30400,1.19700,-17.10700,-17.10700,-17.10700,-17.10700,-17.81800,-18.30400,27.90300,27.90300,-0.61000,-0.61000,10.70150,,,,,,,,,-17.27140,-17.27140,-14.85510,-17.27140,3.54960,-0.45180,-0.45310
2023-12-31,,,11.82700,3.96300,-15.79000,1.32300,-14.46700,-14.46700,-14.46700,-14.46700,-15.29000,-15.79000,27.83700,27.83700,-0.52000,-0.52000,16.37730,,,,,,,,,-12.64370,-12.64370,-11.29900,-12.64370,4.10070,-0.3835,-0.384
2023-09-30,,,11.01000,4.60800,-15.61800,1.31700,-14.30100,-14.30100,-14.30100,-14.30100,-14.99000,-15.61800,27.84000,27.84000,-0.51000,-0.51000,18.72470,,,,,,,,,-11.30940,-11.30940,-10.21950,-11.30940,4.54210,-0.4585,-0.4685
2023-06-30,,,13.44700,5.71100,-19.15800,1.29900,-17.85900,-17.85900,-17.85900,-17.85900,-18.40000,-19.15800,27.82900,27.82900,-0.64000,-0.64000,17.30170,,,,,,,,,-12.90110,-12.90110,-11.64360,-12.90110,4.97230,-0.5289,-0.539
2023-03-31,,,11.64700,5.42400,-17.07100,0.97500,-16.09600,-16.09600,-16.09600,-16.09600,-16.02900,-17.07100,27.77450,27.77450,-0.58000,-0.58000,23.76600,,,,,,,,,-10.43820,-10.43820,-9.59290,-10.43820,5.55190,-0.53210,-0.54100
2022-12-31,,,12.82200,4.94900,-17.77100,0.47100,-17.30000,-17.30000,-17.30000,-17.30000,-16.31100,-17.77100,27.74400,27.74400,-0.62000,-0.62000,17.96680,,,,,,,,,-10.32650,-10.32650,-9.39400,-10.32650,6.03170,-0.3229,-0.354
2022-09-30,,,13.52800,5.71100,-19.23900,0.32800,-18.91100,-18.91100,-18.91100,-18.91100,-17.53000,-19.23900,27.74880,27.74880,-0.68000,-0.68000,29.75980,,,,,,,,,-10.41690,-10.41690,-9.95790,-10.41690,6.54230,-0.5404,-0.5596
2022-06-30,,,12.82500,5.30300,-18.12800,0.20800,-17.92000,-17.92000,-17.92000,-17.92000,-16.22300,-18.12800,27.74480,27.74480,-0.65000,-0.65000,33.86940,,,,,,,,,-9.04160,-9.04160,-8.68340,-9.04160,7.14250,-0.5215,-0.5364
2022-03-31,,,15.02400,5.74700,-20.77100,0.16900,-20.60200,-20.60200,-20.60200,-20.60200,-18.67400,-20.77100,27.70880,27.70880,-0.74000,-0.74000,32.52380,,,,,,,,,-9.63000,-9.63000,-9.24910,-9.63000,7.71640,-0.55750,-0.56850
