Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2018-12-31,4052.00000,1891.00000,2161.00000,1111.00000,2890.00000,-729.00000,-211.00000,-940.00000,-412.00000,-528.00000,-528.00000,-528.00000,-248.00000,-729.00000,143.00000,143.00000,-3.70000,-3.70000,1.21400,0.59260,1.50520,53.33170,-17.99110,-17.99110,-6.12040,-23.19840,-13.03060,0.22950,5.85450,5.62780,64.85690,-11.47330,-11.47330,-2.99080,-4.67380,32.18180,-1.4335,0.9091
2017-12-31,4407.00000,1830.00000,2577.00000,992.00000,2492.00000,85.00000,-316.00000,-231.00000,-112.00000,-119.00000,-119.00000,-119.00000,535.00000,85.00000,143.00000,143.00000,-0.83000,-0.83000,0.87600,0.52920,1.32880,58.47520,1.92880,1.92880,12.13980,-5.24170,-2.70030,0.23520,6.01970,4.55270,80.17250,-2.26450,-2.26450,-0.63500,-1.06620,36.74830,0.5384,3.014
2016-12-31,4227.00000,1694.00000,2533.00000,995.00000,1366.00000,1167.00000,-301.00000,866.00000,271.00000,595.00000,595.00000,595.00000,1613.00000,1167.00000,143.00000,143.00000,4.16000,4.16000,0.72930,0.53070,1.29800,59.92430,27.60820,27.60820,38.15950,20.48730,14.07620,0.22600,5.82130,4.77630,76.41940,10.39300,10.39300,3.18060,4.87780,40.03500,0.2308,-2.7483
2015-12-31,4380.00000,1999.00000,2381.00000,949.00000,1073.00000,1308.00000,-169.00000,1139.00000,393.00000,746.00000,746.00000,746.00000,1722.00000,1308.00000,143.00000,143.00000,5.22000,5.22000,0.70590,0.51940,1.19950,54.36070,29.86300,29.86300,39.31510,26.00460,17.03200,0.25550,6.40710,5.98360,61.00000,13.70570,13.70570,4.35090,6.58720,38.08960,2.2611,1.8938
2014-12-31,4951.00000,2603.00000,2348.00000,957.00000,1341.00000,1007.00000,-221.00000,786.00000,248.00000,538.00000,538.00000,538.00000,1455.00000,1007.00000,141.90000,141.90000,3.79000,3.79000,0.86910,0.52430,1.31960,47.42480,20.33930,20.33930,29.38800,15.87560,10.86650,0.29440,7.21050,5.90810,61.77940,10.78810,10.78810,3.19900,5.13160,34.94740,-2.404,-2.1485
2013-12-31,4495.00000,2279.00000,2216.00000,928.00000,1306.00000,910.00000,-216.00000,694.00000,223.00000,471.00000,471.00000,471.00000,1360.00000,910.00000,138.70000,139.10000,3.40000,3.39000,0.98540,0.53630,1.24890,49.29920,20.24470,20.24470,30.25580,15.43940,10.47830,0.29640,6.29560,5.60470,65.12350,10.09860,10.09860,3.10600,4.68240,33.14850,1.2544,1.3828
2012-12-31,4176.00000,2064.00000,2112.00000,897.00000,1253.00000,859.00000,-257.00000,602.00000,182.00000,420.00000,420.00000,420.00000,1271.00000,859.00000,131.10000,133.30000,3.20000,3.15000,0.84320,0.54370,1.38280,50.57470,20.56990,20.56990,30.43580,14.41570,10.05750,0.28570,4.69090,5.35380,68.17530,10.11070,10.11070,2.87360,4.61390,31.46970,0.0652,-1.5012
2011-12-31,4409.00000,2391.00000,2018.00000,859.00000,1205.00000,813.00000,-258.00000,555.00000,168.00000,387.00000,387.00000,387.00000,1207.00000,813.00000,128.80000,130.20000,3.01000,2.97000,0.90800,0.54310,1.36440,45.77000,18.43960,18.43960,27.37580,12.58790,8.77750,0.32580,5.40950,5.83200,62.58560,9.95110,9.95110,2.85950,4.54710,29.91540,-0.1923,0.2304
2010-12-31,4601.00000,2638.00000,1963.00000,860.00000,1195.00000,768.00000,-233.00000,535.00000,159.00000,376.00000,376.00000,376.00000,1145.00000,768.00000,125.70000,126.30000,2.99000,2.98000,0.87360,0.52860,1.32600,42.66460,16.69200,16.69200,24.88590,11.62790,8.17210,0.35480,5.98190,5.49700,66.39970,10.15670,10.15670,2.89940,4.78740,29.14960,0.8647,1.1548
2009-12-31,4237.00000,2405.00000,1832.00000,817.00000,1133.00000,699.00000,-175.00000,524.00000,167.00000,357.00000,357.00000,348.00000,1046.00000,699.00000,122.10000,122.20000,2.85000,2.85000,1.21100,0.56810,1.42190,43.23810,16.49750,16.49750,24.68730,12.36720,8.21340,0.35030,4.89820,6.10520,59.78520,10.47540,10.47540,2.95190,4.52410,27.70730,5.5565,-1.6694
