Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,169.00000,27.00000,-196.00000,-12.00000,-208.00000,,-208.00000,-208.00000,-208.00000,-192.00000,-196.00000,1657.00000,1657.00000,-0.13000,-0.13000,13.70970,,,,,,,-10.30720,-14.84650,-9.18320,-10.30720,1.17810,-0.0732,-0.0767
2024-06-30,,,170.00000,28.00000,-198.00000,16.00000,-182.00000,,-182.00000,-182.00000,-182.00000,-192.00000,-198.00000,1554.00000,1554.00000,-0.12000,-0.12000,12.87650,,,,,,,-10.59990,-16.54550,-9.50890,-10.59990,1.09850,-0.1122,-0.1192
2024-03-31,,,166.00000,27.00000,-193.00000,28.00000,-165.00000,,-165.00000,-165.00000,-165.00000,-188.00000,-193.00000,1537.00000,1537.00000,-0.11000,-0.11000,10.38180,,,,,,,-8.88050,-13.29570,-7.89850,-8.88050,1.20260,-0.09760,-0.10280
2023-12-31,,,170.00000,28.00000,-198.00000,6.00000,-192.00000,,-192.00000,-192.00000,-192.00000,-192.00000,-198.00000,1327.00000,1327.00000,-0.12000,-0.12000,10.96400,,,,,,,-9.67250,-14.03510,-8.59060,-9.67250,1.29820,-0.1259,-0.1295
2023-09-30,,,182.00000,30.00000,-212.00000,22.00000,-190.00000,,-190.00000,-190.00000,-190.00000,-207.00000,-212.00000,1432.00000,1432.00000,-0.13000,-0.13000,16.28570,,,,,,,-8.90350,-12.52470,-8.07140,-8.90350,1.40950,-0.055,-0.0576
2023-06-30,,,187.00000,30.00000,-217.00000,-1.00000,-218.00000,,-218.00000,-218.00000,-218.00000,-212.00000,-217.00000,1179.00000,1179.00000,-0.18000,-0.18000,9.36470,,,,,,,-15.03450,-26.20190,-12.98390,-15.03450,1.22470,-0.1535,-0.1569
2023-03-31,,,177.00000,31.00000,-208.00000,12.00000,-196.00000,,-196.00000,-196.00000,-196.00000,-203.00000,-208.00000,1170.00000,1170.00000,-0.17000,-0.17000,9.51460,,,,,,,-12.03190,-19.38680,-10.49810,-12.03190,1.38640,-0.11620,-0.11790
2022-12-31,2.00000,2.00000,169.00000,31.00000,-312.00000,18.00000,-294.00000,,-294.00000,-294.00000,-294.00000,-193.00000,-312.00000,1143.00000,1143.00000,-0.25000,-0.25000,13.46990,100.00000,-15600.00000,-15600.00000,-14700.00000,-14700.00000,0.00100,-16.47980,-25.21440,-14.69270,-16.47980,1.53000,-0.1258,-0.1286
2022-09-30,3.00000,3.00000,170.00000,33.00000,-200.00000,2.00000,-198.00000,,-198.00000,-198.00000,-198.00000,-194.00000,-200.00000,1152.00000,1152.00000,-0.17000,-0.17000,16.54540,100.00000,-6666.66700,-6666.66700,-6600.00000,-6600.00000,0.00130,-9.74240,-15.22180,-8.78370,-9.74240,1.75530,-0.1197,-0.1221
2022-06-30,21.00000,21.00000,184.00000,34.00000,-1197.00000,43.00000,-1154.00000,,-1154.00000,-1154.00000,-1154.00000,-192.00000,-1197.00000,1131.00000,1131.00000,-1.02000,-1.02000,21.03420,100.00000,-5700.00000,-5700.00000,-5495.23800,-5495.23800,0.00870,-52.69520,-79.13630,-48.05470,-52.69520,1.91000,-0.0781,-0.0817
2022-03-31,42.00000,42.00000,154.00000,31.00000,-143.00000,66.00000,-77.00000,,-77.00000,-77.00000,-77.00000,-137.00000,-143.00000,1126.00000,1126.00000,-0.07000,-0.07000,30.98800,100.00000,-340.47620,-340.47620,-183.33330,-183.33330,0.01190,-2.33720,-4.92770,-2.17880,-2.33720,2.92170,-0.12080,-0.12520
2021-12-31,26.40100,26.40100,219.94400,35.77600,-229.31900,-24.26200,-253.58100,-2.35700,-251.22400,-251.22400,-251.22400,-224.15500,-229.31900,621.00000,621.00000,-0.24000,-0.24000,18.42860,100.00000,-868.59980,-868.59980,-960.49770,-951.57000,0.00720,-7.51720,-15.59430,-6.80820,-7.51720,2.97600,-0.134,-0.1522
2021-09-30,55.59900,55.59900,158.13500,25.89800,-128.43400,-4.91100,-133.34500,,-133.34500,-133.34500,-133.34500,-124.74400,-128.43400,543.62960,543.62960,-0.25000,-0.25000,0.18170,100.00000,-231.00050,-231.00050,-239.83350,-239.83350,0.05680,183.88640,183.88640,-13.62140,183.88640,-2.96730,-0.2513,-0.2862
2021-06-30,,,159.81200,21.64600,-181.45800,-0.35300,-181.81100,0.00100,-181.81200,-181.81200,-181.81200,-180.30600,-181.45800,541.13300,541.13300,-0.34000,-0.34000,2.15120,,,,,,,-3636.23500,-3636.24000,-18.56420,-3636.23500,0.15550,-0.2107,-0.2279
2021-03-31,,,159.10900,32.68000,-191.78900,0.52600,-191.26300,-2.64400,-188.61900,-188.61900,-188.61900,-185.79500,-191.78900,483.55500,483.55500,-0.39000,-0.39000,4.64970,,,,,,,-3772.37800,-3772.38000,-19.25130,-3772.37800,0.15730,-0.31220,-0.31920
2020-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
2019-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
