Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-12-31,326.70000,191.80000,134.90000,85.30000,100.00000,34.90000,-12.80000,22.10000,22.10000,22.10000,21.50000,37.70000,34.90000,14.90000,16.90000,1.45000,1.42000,0.38790,0.63380,10.68260,10.68260,6.76460,6.58100,0.21840,10.84930,7.00030,1.47760,4.28460,20.90730,4.0947,3.8344
2024-09-30,305.70000,184.50000,121.20000,73.90000,86.80000,34.40000,-11.60000,22.80000,22.80000,22.80000,21.70000,39.60000,34.40000,15.00000,16.90000,1.45000,1.35000,0.50590,1.02380,11.25290,11.25290,7.45830,7.09850,0.19570,12.53440,7.75770,1.45980,3.83320,19.59330,2.3107,2.2084
2024-06-30,289.20000,190.30000,98.90000,80.40000,95.10000,3.80000,-11.60000,-7.80000,-7.80000,-7.80000,-7.80000,7.80000,3.80000,14.90000,14.90000,-0.52000,-0.52000,0.53270,1.13980,1.31400,1.31400,-2.69710,-2.69710,0.19330,-5.15530,-2.96240,-0.52150,-1.38450,17.55330,4.1813,4.0033
2024-03-31,254.90000,166.40000,88.50000,72.10000,83.10000,5.40000,-11.60000,-6.20000,-6.20000,-6.20000,-6.20000,8.30000,5.40000,14.60000,14.60000,-0.42000,-0.42000,0.51870,1.07780,2.11850,2.11850,-2.43230,-2.43230,0.17800,-3.74170,-2.23260,-0.43290,-1.07450,19.02060,0.99320,0.83560
2023-12-31,194.80000,122.70000,72.10000,72.00000,84.40000,-12.30000,-11.70000,-24.00000,-24.00000,-24.00000,-24.00000,-7.90000,-12.30000,14.40000,14.40000,-1.65000,-1.65000,0.51850,1.07670,-6.31420,-6.31420,-12.32030,-12.32030,0.14450,-14.48400,-8.64240,-1.78080,-4.16160,19.15170,3.1633,3.0139
2023-09-30,115.30000,85.80000,29.50000,52.40000,63.50000,-34.00000,-11.80000,-45.80000,-45.80000,-45.80000,-45.80000,-31.30000,-34.00000,14.50000,14.50000,-3.16000,-3.16000,0.50780,1.03180,-29.48830,-29.48830,-39.72250,-39.72250,0.09300,-25.86110,-15.84230,-3.69300,-7.79710,19.93790,1.052,0.9167
2023-06-30,74.80000,59.50000,15.30000,29.40000,40.50000,-25.20000,-11.50000,-36.70000,-36.70000,-36.70000,-36.70000,-22.40000,-25.20000,14.40000,14.40000,-2.55000,-2.55000,0.47680,0.91120,-33.68980,-33.68980,-49.06420,-49.06420,0.06260,-17.11750,-11.24390,-3.07140,-5.88330,22.66670,-0.6542,-0.8463
2023-03-31,70.10000,63.30000,6.80000,26.40000,36.60000,-29.80000,-11.10000,-40.90000,-40.90000,-40.90000,-40.90000,-27.10000,-29.80000,14.20000,14.20000,-2.88000,-2.88000,0.45440,0.83300,-42.51070,-42.51070,-58.34520,-58.34520,0.05840,-16.78290,-11.49850,-3.40520,-6.27300,25.04930,-5.89440,-6.07040
2022-12-31,71.30000,77.70000,-6.40000,31.90000,41.30000,-47.70010,-10.60000,-58.30000,-58.30000,-58.30000,-58.30000,-43.40010,-47.70000,14.10000,14.10000,-4.09000,-4.09000,0.43160,0.75920,-66.90050,-66.90050,-81.76720,-81.76720,0.05430,-21.03940,-14.98330,-4.44060,-8.51720,27.40140,-3.3121,-3.4114
2022-09-30,73.70000,80.90000,-7.20000,35.60000,49.90000,-57.10000,-9.30000,-66.40000,-66.40000,-66.40000,-66.40000,-54.20000,-57.10000,14.10000,14.10000,-4.71000,-4.71000,0.39890,0.66360,-77.47630,-77.47630,-90.09500,-90.09500,0.05320,-20.06650,-14.99210,-4.79700,-9.01190,31.41140,-4.1844,-4.3333
