Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.61870,0.00760,0.61100,0.86330,-0.15120,1.06520,-0.45410,-0.01720,-0.47130,-0.47130,-0.47130,-0.47130,-0.40350,-0.45410,11.20500,11.20500,-0.04000,-0.04000,-73.39770,-73.39770,-76.17240,-76.17240,0.13790,-11.91290,-16.60000,-10.50780,-11.91290,0.35010,-0.0347,-0.0347
2024-06-30,0.44100,0.00800,0.43290,1.08100,-0.15400,1.28470,-0.85180,0.04630,-0.80540,-0.80540,-0.80540,-0.80540,-0.80210,-0.85180,11.06460,11.06460,-0.07000,-0.07000,-193.15260,-193.15260,-182.64270,-182.64270,0.09270,-18.90200,-25.99870,-16.93940,-18.90190,0.38510,-0.0615,-0.0621
2024-03-31,0.41110,0.00860,0.40250,1.17440,-0.17340,1.42080,-1.01830,0.05420,-0.96410,-0.96410,-0.96410,-0.96410,-0.94530,-1.01830,11.06180,11.06180,-0.09000,-0.09000,-247.66730,-247.66730,-234.48410,-234.48410,0.07490,-19.43140,-25.70600,-17.56000,-19.43140,0.44840,-0.10360,-0.10420
2023-12-31,0.35020,,0.35020,1.24650,-0.34960,,-1.24580,0.06860,-1.17720,-1.17720,-1.17720,-1.17720,-1.24500,-1.24580,8.45160,8.45160,-0.14000,-0.14000,-355.75330,-355.75330,-336.16870,-336.16870,0.05240,-20.24130,-25.96820,-17.61310,-20.24130,0.52650,-0.0866,-0.089
2023-09-30,0.58380,,0.58380,1.97540,-0.24690,,-1.63860,0.06010,-1.57850,-1.57850,-1.57850,-1.57850,-1.63860,-1.63860,9.18090,9.18090,-0.17000,-0.17000,-280.69340,-280.69340,-270.39540,-270.39540,0.09350,-26.32390,-26.39510,-25.29320,-26.32390,0.59990,-0.0533,-0.0543
2023-06-30,0.60190,,0.60190,0.75790,-0.09040,,-0.24640,-0.15140,-0.39790,-0.39790,-0.39790,-0.39790,-0.24640,-0.24640,7.06400,7.06400,-0.06000,-0.06000,-40.93670,-40.93670,-66.09480,-66.09480,0.29320,-35.83040,-36.36020,-19.38060,-35.83040,0.15720,-0.0153,-0.0153
2023-03-31,0.46720,,0.46720,0.63610,-0.10520,,-0.27400,0.05380,-0.22020,-0.22020,-0.22020,-0.22020,-0.27400,-0.27400,7.06400,7.06400,-0.03000,-0.03000,-58.64650,-58.64650,-47.12480,-47.12480,,,,,,,-0.03030,-0.03030
2022-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,0.1131,0.1131
2022-09-30,0.52540,,0.52540,1.03330,-0.09420,,-0.60210,0.33450,-0.26760,-0.26760,-0.26760,-0.26760,-0.60210,-0.60210,6.84520,6.84520,-0.04000,-0.04000,-114.60560,-114.60560,-50.94450,-50.94450,,,,,,,-0.0668,-0.0668
2022-06-30,0.73470,,0.73470,0.98800,-0.12720,,-0.38050,0.00540,-0.37510,-0.37510,-0.37510,-0.37510,-0.38050,-0.38050,6.83050,6.83050,-0.05000,-0.05000,-51.79000,-51.79000,-51.06040,-51.06040,,,,,,,-0.0463,-0.0463
2021-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,0,0
