Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,55.67500,26.44600,29.22900,1.42300,9.39500,19.83400,-13.15600,6.67800,,6.67800,6.67800,,6.67800,29.18600,19.83400,5.13350,5.13350,1.30000,1.30000,0.83820,5.18110,35.62460,35.62460,11.99460,11.99460,0.04080,3.50200,3.50200,0.48920,0.56660,37.33880,-0.9818,-1.6932
2024-06-30,53.39200,24.99100,28.40100,2.15900,10.85600,17.54500,-9.16500,8.38000,,8.38000,8.38000,,8.38000,26.74600,17.54500,5.13190,5.13190,1.63000,1.63000,0.83580,5.09130,32.86070,32.86070,15.69520,15.69520,0.03610,3.94320,3.94320,0.56590,0.64730,41.61350,2.2405,1.5183
2024-03-31,61.39700,25.26300,36.13400,1.47600,10.95300,25.18100,-9.07200,16.10900,,16.10900,16.10900,,16.10900,35.09800,25.18100,5.13070,5.13070,3.14000,3.14000,0.82610,4.74910,41.01340,41.01340,26.23740,26.23740,0.04410,6.99970,6.99970,1.15790,1.21750,45.06330,3.27930,2.79690
2023-12-31,62.93500,25.85500,37.08000,1.49600,10.90200,26.17800,-9.89200,16.28600,,16.28600,16.28600,,16.28600,36.01200,26.17800,5.12930,5.12930,3.17000,3.17000,0.82130,4.59720,41.59530,41.59530,25.87750,25.87750,0.04480,6.85270,6.85270,1.16020,1.22430,46.53550,8.7265,8.5572
2023-09-30,55.41300,25.59300,29.82000,1.58000,9.51300,20.30700,-9.55300,10.75400,,10.75400,10.75400,,10.75400,28.67900,20.30700,5.13070,5.13070,2.10000,2.10000,0.81260,4.33690,36.64660,36.64660,19.40700,19.40700,0.03930,4.27040,4.27040,0.76220,0.80020,49.30960,-0.3052,-0.4856
2023-06-30,53.67300,24.81800,28.85500,1.90600,9.98700,18.86800,45.27900,64.14700,,64.14700,64.14700,,64.14700,27.36800,18.86800,5.12880,5.12880,12.51000,12.51000,0.80430,4.11000,35.15360,35.15360,119.51450,119.51450,0.03760,24.14770,24.14770,4.49080,4.72560,52.01570,8.8063,21.8674
2023-03-31,52.94100,24.94400,27.99700,1.35900,8.83700,19.16000,-7.93400,11.22600,,11.22600,11.22600,,11.22600,27.05900,19.16000,5.12710,5.12710,2.19000,2.19000,0.83160,4.93840,36.19120,36.19120,21.20470,21.20470,0.03840,5.07940,5.07940,0.81480,0.85530,43.26720,4.04440,3.64260
2022-12-31,53.04600,23.80100,29.24500,1.35100,8.87600,20.36900,-7.19200,13.17700,,13.17700,13.17700,,13.17700,28.31300,20.36900,5.12610,5.12610,2.56000,2.56000,0.82190,4.61330,38.39870,38.39880,24.84070,24.84070,0.03800,5.57170,5.57170,0.94270,0.99260,46.30880,5.1425,4.0348
2022-09-30,53.72900,23.73100,29.99800,1.37000,8.87800,21.12000,-6.01100,15.10900,,15.10900,15.10900,,15.10900,29.04300,21.12000,5.12710,5.12710,2.95000,2.95000,0.81450,4.39200,39.30840,39.30840,28.12080,28.12080,0.03790,6.08390,6.08390,1.06590,1.12830,48.62860,-3.345,-4.3025
2022-06-30,49.82400,21.37200,28.45200,1.91600,9.32900,19.12300,-4.30900,14.81400,,14.81400,14.81400,,14.81400,26.94800,19.12300,5.12570,5.12570,2.89000,2.89000,0.81350,4.36290,38.38110,38.38110,29.73270,29.73270,0.03500,5.92760,5.92760,1.03940,1.10530,48.93600,11.9272,11.4118
2022-03-31,49.21500,21.54200,27.67300,1.46900,8.82000,18.85300,-4.32100,14.53200,,14.53200,14.53200,,14.53200,26.61500,18.85300,5.12450,5.12450,2.84000,2.84000,0.80990,4.26130,38.30740,38.30740,29.52760,29.52760,0.03490,5.68130,5.68130,1.03150,1.07980,50.08580,6.28060,6.05470
2021-12-31,49.65700,22.43400,27.22300,1.28600,8.54200,18.68100,56.72000,75.40100,,75.40100,75.40100,,77.74900,26.35000,18.68100,5.12360,5.12360,15.18000,15.18000,0.81180,4.31380,37.62010,37.62010,151.84360,156.57210,0.03570,29.85130,29.85130,5.41690,5.61770,49.45940,5.3793,18.6063
2021-09-30,48.95000,21.43300,27.51700,1.27200,10.28000,17.23700,-5.83600,11.40100,,11.40100,11.40100,,11.40100,26.65700,17.23700,5.12450,5.12450,2.22000,2.22000,0.85620,5.95570,35.21350,35.21350,23.29110,23.29110,0.03460,5.86740,5.86740,0.80650,0.84350,38.04800,5.5391,4.6366
2021-06-30,51.38800,23.42200,27.96600,1.82300,9.95500,18.01100,7.88700,25.89800,,25.89800,25.89800,,25.89800,26.55600,18.01100,5.12330,5.12330,5.05000,5.05000,0.84900,5.62130,35.04900,35.04900,50.39700,50.39700,0.03600,12.58380,12.58380,1.81230,1.90050,40.29860,1.6673,2.2622
2021-03-31,56.15300,23.80000,32.35300,1.54300,10.08500,22.26800,-4.38600,17.88200,,17.88200,17.88200,,17.88200,31.22600,22.26800,5.12220,5.12220,3.49000,3.49000,0.85050,5.68990,39.65590,39.65590,31.84510,31.84510,0.03980,8.79770,8.79770,1.26710,1.31510,39.79990,10.53570,9.78560
