Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,25.25000,8.54400,-33.79400,5.45000,-28.34400,-28.34400,-28.34400,-28.34400,-33.40400,-33.79400,73.56300,73.56300,-0.39000,-0.39000,12.91390,,,,,,-6.57830,-6.57830,-5.32750,-6.57830,6.10570,-0.333,-0.3435
2024-06-30,,,23.13000,7.58500,-30.71500,5.72200,-24.99300,-24.99300,-24.99300,-24.99300,-29.90600,-30.71500,73.49500,73.49500,-0.34000,-0.34000,15.90520,,,,,,-5.51500,-5.51500,-4.51070,-5.51500,6.42280,-0.1234,-0.1543
2024-03-31,,,25.23700,7.52500,-32.76200,3.24400,-29.51800,-29.51800,-29.51800,-29.51800,-32.07500,-32.76200,50.68200,50.68200,-0.58000,-0.58000,19.95500,,,,,,-6.23200,-6.23200,-5.11630,-6.23200,6.72280,-0.56240,-0.56590
2023-12-31,,,23.32200,7.86300,-31.18500,3.43100,-27.75400,-27.75400,-27.75400,-27.75400,-30.95900,-31.18500,49.01400,49.01400,-0.57000,-0.57000,10.84750,,,,,,-10.15570,-10.15570,-7.32520,-10.15570,5.55670,-0.4778,-0.617
2023-09-30,,,22.19400,7.10000,-29.29400,3.64900,-25.64500,-25.64500,-25.64500,-25.64500,-29.71600,-29.29400,49.06300,49.06300,-0.52000,-0.52000,10.96680,,,,,,-8.64000,-8.64000,-6.31860,-8.64000,6.04910,-0.4116,-0.5372
2023-06-30,,,25.12200,11.73600,-36.85800,3.57100,-33.28700,-33.28700,-33.28700,-33.28700,-38.27700,-36.85800,48.97000,48.97000,-0.68000,-0.68000,10.77430,,,,,,-10.46830,-10.46830,-7.75850,-10.46830,6.48170,-0.4442,-0.655
2023-03-31,,,26.13500,8.17800,-34.31300,3.49800,-30.81500,-30.81500,-30.81500,-30.81500,-35.76900,-34.31300,48.92100,48.92100,-0.63000,-0.63000,12.78580,,,,,,-8.88950,-8.88950,-6.72570,-8.88950,7.08470,-0.42430,-0.52290
2022-12-31,,,26.84500,8.13800,-34.98300,2.40100,-32.58200,-32.58200,-32.58200,-32.58200,-35.83500,-34.98300,43.63200,43.63200,-0.63000,-0.63000,16.36070,,,,,,-8.75370,-8.75370,-6.88930,-8.75370,7.61500,-0.285,-1.1165
2022-09-30,,,23.43500,6.82700,-30.26200,1.91700,-28.34500,-28.34500,-28.34500,-28.34500,-29.94400,-30.26200,48.63000,48.63000,-0.58000,-0.58000,15.17190,,,,,,-7.09930,-7.09930,-5.62630,-7.09930,8.18030,-0.226,-0.3738
2022-06-30,,,21.04900,6.56300,-27.61200,0.68900,-26.92300,-26.92300,-26.92300,-26.92300,-26.59600,-27.61200,43.84100,43.84100,-0.61000,-0.61000,31.65800,,,,,,-6.39440,-6.39440,-5.34570,-6.39440,8.69430,-0.242,-0.2888
