Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,,0.09700,,-0.09700,1.61400,1.51700,0.31900,1.19800,1.19800,,1.19800,-0.09700,-0.09700,4.07000,4.07000,0.29000,0.29000,,,,,,,0.99160,0.99160,0.99160,0.99160,28.94440,0.0469,0.0469
2024-06-30,,,,0.11400,,-0.11400,1.58500,1.47100,0.30900,1.16200,1.16200,,1.16200,-0.11400,-0.11400,4.10700,4.10700,0.28000,0.28000,,,,,,,0.96970,0.96970,0.96970,0.96970,29.38480,-0.0049,-0.0049
2024-03-31,,,,0.09500,,-0.09500,1.58600,1.49100,0.31300,1.17800,1.17800,,1.17800,-0.09500,-0.09500,4.10700,4.10700,0.29000,0.29000,,,,,,,0.99270,0.99270,0.99270,0.99270,29.09980,0.13440,0.13440
2023-12-31,,,,0.03000,,-0.03000,2.91000,2.88000,0.40600,2.47400,2.47400,,2.47400,-0.03000,-0.03000,4.16200,4.16200,0.60000,0.60000,,,,,,,2.09520,2.09520,2.09520,2.09520,28.72250,0.2324,0.2324
2023-09-30,,,,0.43700,,-0.43700,2.51600,2.07900,0.43600,1.64300,1.64300,,1.64300,-0.43700,-0.43700,4.16800,4.16800,0.39000,0.39000,,,,,,,1.41020,1.41020,1.41010,1.41020,27.95390,0.0024,0.0024
2023-06-30,,,,0.45600,,-0.45600,2.77800,2.32200,0.48800,1.83400,1.83400,,1.83400,-0.45600,-0.45600,4.16800,4.16800,0.44000,0.44000,,,,,,,1.59660,1.59660,1.59660,1.59660,27.55970,-0.001,-0.001
2023-03-31,,,,0.53700,,-0.53700,1.86600,1.32900,0.27900,1.05000,1.05000,,1.05000,-0.53700,-0.53700,4.16800,4.16800,0.25000,0.25000,,,,,,,0.92890,0.92890,0.92860,0.92890,27.11970,0.00000,
2022-12-31,,,,0.42800,,-0.42800,2.09600,1.66800,0.39900,1.26900,1.26900,,1.26900,-0.42800,-0.42800,4.16800,4.16800,0.30000,0.30000,,,,,,,1.13320,1.13320,1.13310,1.13320,26.86780,-0.0012,-0.0012
2022-09-30,,,,0.39700,,-0.39700,1.82100,1.42400,0.23600,1.18800,1.18800,,1.18800,-0.39700,-0.39700,4.16800,4.16800,0.29000,0.29000,,,,,,,1.07300,1.07300,1.07290,1.07300,26.56330,0.0024,0.0024
2022-06-30,,,,0.34100,,-0.34100,1.43300,1.09200,0.24400,0.84800,0.84800,,0.84800,-0.34100,-0.34100,4.16800,4.16800,0.20000,0.20000,,,,,,,0.77420,0.77420,0.77420,0.77420,26.27830,-0.0009,-0.0009
2022-03-31,,,,0.46000,,-0.46000,1.25200,0.79200,0.16600,0.62600,0.62600,,0.62600,-0.46000,-0.46000,4.16800,4.16800,0.15000,0.15000,,,,,,,0.57600,0.57600,0.57600,0.57600,26.07490,0.00070,0.00070
2021-12-31,,,,0.35300,,-0.35300,1.25600,0.90300,0.18800,0.71500,0.71500,,0.71500,-0.35300,-0.35300,4.16800,4.16800,0.17000,0.17000,,,,,,,0.66170,0.66170,0.66160,0.66170,25.92470,-0.0027,-0.0027
2021-09-30,,,,0.34500,,-0.34500,1.24800,0.90300,0.19100,0.71200,0.71200,,0.71200,-0.34500,-0.34500,4.16800,4.16800,0.17000,0.17000,,,,,,,0.66330,0.66330,0.66330,0.66330,25.75310,0.0027,0.0027
2021-06-30,,,,0.35600,,-0.35600,1.39300,1.03700,0.21800,0.81900,0.81900,,0.81900,-0.35600,-0.35600,4.16800,4.16800,0.20000,0.20000,,,,,,,0.76810,0.76810,0.76800,0.76810,25.58230,0.0005,0.0005
2021-03-31,,,,0.52400,,-0.52400,2.23500,1.71100,0.35900,1.35200,1.35200,,1.35200,-0.52400,-0.52400,4.16800,4.16800,0.32000,0.32000,,,,,,,1.27780,1.27780,1.27780,1.27780,25.38580,-0.71550,-0.71550
2020-12-31,,,,0.40500,,-0.40500,2.11000,1.70500,0.35800,1.34700,1.34700,,1.34700,-0.40500,-0.40500,4.16800,4.16800,0.33000,0.33000,,,,,,,1.28950,1.28950,1.28940,1.28950,25.06140,-0.7917,-0.7917
2020-09-30,,,,0.33900,,-0.33900,1.30200,0.96300,0.20200,0.76100,0.76100,,0.76100,-0.33900,-0.33900,4.16800,4.16800,0.18000,0.18000,,,,,,,0.73810,0.73810,0.73800,0.73810,24.70270,0.2872,0.2872
2020-06-30,,,,0.43100,,-0.43100,2.03200,1.60100,0.33600,1.26500,1.26500,,1.26500,-0.43100,-0.43100,4.16800,4.16800,0.30000,0.30000,,,,,,,1.23600,1.23600,1.23590,1.23600,24.55570,0.1981,0.1981
2020-03-31,,,,0.41400,,-0.41400,1.47900,1.06500,0.22400,0.84100,0.84100,,0.84100,-0.41400,-0.41400,4.16800,4.16800,0.20000,0.20000,,,,,,,0.83200,0.83200,0.83200,0.83200,24.25220,0.30810,0.30810
2019-12-31,,,,0.35800,,-0.35800,1.67300,1.31500,0.25700,1.05800,1.05800,,1.05800,-0.35800,-0.35800,4.16800,4.16800,0.25000,0.25000,,,,,,,1.05540,1.05540,1.05530,1.05540,24.05040,-0.8484,-0.8484
2019-09-30,,,,0.36800,,-0.36800,1.67200,1.30400,0.27400,1.03000,1.03000,,1.03000,-0.36800,-0.36800,4.16800,4.16800,0.25000,0.25000,,,,,,,1.03850,1.03850,1.03820,1.03850,23.79650,0.3503,0.3503
2019-06-30,,,,0.44800,,-0.44800,1.82400,1.37600,0.28900,1.08700,1.08700,,1.08700,-0.44800,-0.44800,4.16800,4.16800,0.26000,0.26000,,,,,,,1.10740,1.10740,1.10710,1.10740,23.54940,0.1602,0.1602
