Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,31.25000,17.72300,,-48.97300,5.57800,-43.39500,-2.34200,-41.05300,-41.05300,-17.91000,-47.48700,-48.97300,126.17350,126.17350,-0.14000,-0.14000,17.08530,,4.19030,4.19030,-8.64650,4.19030,-3.35910,0.1511,0.1404
2024-06-30,29.40400,13.65200,,-43.05600,4.53400,-38.52200,-0.05600,-38.46600,-38.46600,-12.50600,-41.78600,-43.05600,75.90800,75.90800,-0.16000,-0.16000,21.86910,,3.95590,3.95590,-7.70610,3.95590,-3.35680,-0.3925,-0.3977
2024-03-31,27.23300,12.84300,,-40.07600,4.84100,-35.23500,0.09800,-35.33300,-35.33300,-9.49200,-38.97400,-40.07600,60.95200,60.95200,-0.16000,-0.16000,17.62390,,3.22360,3.22360,-9.11200,3.22360,-4.77910,-0.56840,-0.58420
2023-12-31,22.52800,1.68200,,-24.21000,5.27700,-18.93300,2.79100,-21.72400,-21.72400,-5.70100,-23.06400,-24.21000,61.71400,61.71400,-0.09000,-0.09000,14.94310,,1.96880,1.96880,-5.16560,1.96880,-4.83570,-0.4093,-0.4337
2023-09-30,32.19800,14.41900,,-46.61700,5.53900,-41.07800,0.91300,-41.99100,-41.99100,-10.98400,-45.61200,-46.61700,61.59290,61.59290,-0.18000,-0.18000,19.36550,,3.84310,3.84290,-9.29400,3.84310,-4.64090,-0.4166,-0.8737
2023-06-30,26.36400,13.45500,,-39.81900,5.96100,-33.85800,0.96500,-34.82300,-34.82300,-9.11800,-38.94900,-39.81900,64.56200,64.56200,-0.14000,-0.14000,19.04040,,2.63360,2.63340,-7.19160,2.63360,-5.62060,-0.2112,-0.2678
2023-03-31,25.61700,15.25900,,-40.87600,5.29400,-35.58200,1.32700,-36.90900,-36.90900,-9.66500,-40.04400,-40.87600,61.54000,61.54000,-0.16000,-0.16000,42.56960,,2.30460,2.30440,-7.45410,2.30460,-6.81540,-0.42240,-0.43840
2022-12-31,20.89000,9.34500,,-30.23500,4.40000,-25.83500,-1.26200,-24.57300,-24.57300,-6.48700,-29.44400,-30.23500,61.54000,61.54000,0.19000,0.19000,46.41950,,2.24080,2.24040,-4.74390,2.24080,-4.70410,-0.2561,-0.2611
2022-09-30,21.13200,14.44000,,-35.57200,1.55200,-34.02000,-0.07500,-33.94500,-33.94500,-11.92800,-34.78900,-35.57200,61.54000,61.54000,-0.13000,-0.13000,52.77620,,3.09630,3.09550,-6.37540,3.09630,-4.71030,-0.4004,-0.4064
2022-06-30,11.55800,9.18000,,-20.73800,-0.17000,-20.90800,1.22300,-22.13100,-22.13100,-22.13100,-19.98600,-20.73800,64.55100,64.55100,-0.29000,-0.29000,0.07970,-0.02200,147.52590,147.52590,-8.81700,147.52600,-2.17730,-0.5962,-0.6152
2022-03-31,28.49000,37.97200,,-66.46200,-0.01400,-66.47600,1.01000,-67.48600,-67.48600,-67.48600,-65.75200,-66.46200,,,,0.00000,0.10990,-0.00350,545.98910,545.98900,-26.91340,545.98910,-1.79400,0.00000,
2021-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
2021-09-30,14.74200,2.33900,,-17.08100,-0.00100,-17.08200,0.06000,-17.14200,-17.14200,-17.14200,-17.08100,-17.08100,,,,0.00000,26.10930,-0.00600,271.42650,271.42650,-6.81750,271.42650,-0.91660,0.0036,0.0036
2021-06-30,,,-0.00010,-0.00010,,-0.00010,,-0.00010,-0.00010,-0.00010,-0.00010,-0.00010,5.50000,5.50000,0.00000,0.00000,0.40310,16.55110,-0.72680,-0.72680,-0.02300,-0.72680,0.00310,-0.0036,-0.0036
2021-03-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,0.00000,
2020-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
