Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3.84900,0.27000,3.57900,1.87300,3.17300,,5.04600,-1.46700,0.31500,-1.15200,0.01500,-1.16700,-1.16700,,-1.16700,-1.32500,-1.46700,21.18600,21.18600,-0.06000,-0.06000,4.32180,92.98520,-38.11380,-38.11380,-29.92990,-30.31960,0.08800,,0.70680,127.34220,-3.65930,-4.37230,-2.66900,-3.65930,1.50400,-0.0354,-0.0355
2024-06-30,4.32200,0.27000,4.05200,1.86700,3.52600,,5.39300,-1.34100,0.29100,-1.05000,0.03900,-1.08900,-1.08900,,-1.08900,-1.20100,-1.34100,21.09500,21.09500,-0.05000,-0.05000,5.10890,93.75290,-31.02730,-31.02730,-24.29430,-25.19670,0.10000,,0.87210,103.20220,-3.34030,-3.98930,-2.51940,-3.34030,1.54420,-0.0317,-0.0338
2024-03-31,4.42100,0.27600,4.14500,2.18200,3.22500,,5.40700,-1.26200,0.28000,-0.98200,,-0.98200,-0.98200,,-0.98200,-1.12300,-1.26200,21.08500,21.08500,-0.05000,-0.05000,4.70480,93.75710,-28.54560,-28.54560,-22.21220,-22.21220,0.09800,,0.83040,108.38270,-2.93800,-3.50510,-2.17740,-2.93800,1.58520,-0.11430,-0.11430
2023-12-31,4.37400,0.24000,4.13400,2.21400,3.70700,-2.69500,8.61600,-4.48200,0.30300,-4.17900,,-4.23800,-4.23800,,-4.23800,-4.34100,-4.48200,21.01300,21.01300,-0.20000,-0.20000,4.74550,94.51300,-102.46910,-102.46910,-95.54190,-96.89080,0.09450,,1.13460,79.32100,-12.35640,-14.72190,-9.15410,-12.35640,1.63180,0.1456,0.1455
2023-09-30,6.38100,0.41000,5.97100,2.26400,3.77200,0.81200,5.22400,0.74700,0.39700,1.14400,,1.14400,1.14400,,1.14400,0.88600,0.74700,21.04900,21.13100,0.05000,0.05000,4.68340,93.57470,11.70660,11.70660,17.92820,17.92820,0.12720,,0.76960,116.93940,3.02130,3.54730,2.27970,3.02130,1.80190,0.1176,0.1177
2023-06-30,3.18400,0.32500,2.85900,2.26500,3.53000,,5.79500,-2.93600,0.28400,-2.65200,,-2.65200,-2.65200,,-2.65200,-2.78700,-2.93600,20.96800,20.96800,-0.13000,-0.13000,5.14770,89.79270,-92.21110,-92.21110,-83.29150,-83.29150,0.06680,,0.38200,235.59990,-7.27730,-8.63200,-5.56300,-7.27730,1.73590,-0.1058,-0.1058
2023-03-31,4.30500,0.29800,4.00700,2.38100,3.49500,,5.87600,-1.86900,0.30100,-1.56800,,-1.56800,-1.56800,,-1.56800,-1.72000,-1.86900,21.03300,21.03300,-0.07000,-0.07000,5.90040,93.07780,-43.41460,-43.41460,-36.42280,-36.42280,0.08710,,0.57290,157.10800,-4.04470,-4.75960,-3.17410,-4.04470,1.85000,-0.07060,-0.07140
2022-12-31,4.06300,0.34000,3.72300,2.30200,3.54800,0.10700,5.74300,-2.02000,0.31200,-1.70800,,-1.75700,-1.75700,,-1.75700,-1.84700,-2.02000,21.60400,21.60400,-0.08000,-0.08000,6.42520,91.63180,-49.71710,-49.71700,-42.03790,-43.24390,0.07940,,0.53400,168.52580,-4.36970,-5.12500,-3.43220,-4.36970,1.90630,-0.0242,-0.0479
2022-09-30,3.01500,0.28200,2.73300,2.27900,3.68200,5.67200,0.28900,2.44400,0.15500,2.59900,,2.59900,2.59900,,2.59900,2.58500,2.44400,21.72500,21.79800,0.12000,0.12000,6.36440,90.64680,81.06140,81.06140,86.20230,86.20230,0.06020,,0.34140,263.61190,6.09410,7.09760,5.19290,6.09410,1.96650,-0.0911,0.2949
2022-06-30,4.23800,0.32400,3.91400,2.22900,3.03800,,5.26700,-1.35300,0.06400,-1.28900,,-1.28900,-1.28900,,-1.28900,-1.13200,-1.35300,21.65500,21.65500,-0.06000,-0.06000,6.47490,92.35490,-31.92540,-31.92540,-30.41530,-30.41530,0.09080,,0.46900,191.89240,-3.23440,-3.82280,-2.76310,-3.23440,1.83820,-0.0081,-0.0086
