Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,95.50000,95.50000,50.40000,-58.60000,-13.50000,8.30000,-5.20000,0.00000,-5.20000,-5.20000,-8.50000,-7.60000,-13.50000,25.06800,25.06800,-0.34000,-0.34000,-14.13610,-14.13610,-5.44500,-8.90050,0.06180,-1.57530,-1.69770,-0.33650,-1.57530,13.08260,1.862,1.7314
2024-06-30,89.60000,89.60000,57.80000,-68.20000,-36.40000,-0.10000,-36.50000,0.70000,-37.20000,-37.20000,-40.50000,-30.50000,-36.40000,24.63400,24.63400,-1.64000,-1.64000,-40.62500,-40.62500,-40.73660,-45.20090,0.05930,-11.39010,-12.33420,-2.46310,-11.39010,13.12070,-0.4424,-0.5944
2024-03-31,85.10000,85.10000,53.50000,-60.90000,-29.30000,-3.60000,-32.90000,0.20000,-33.10000,-33.10000,-35.70000,-23.70000,-29.30000,24.22600,24.22600,-1.47000,-1.47000,-34.43010,-34.43010,-38.66040,-41.95070,0.05690,-9.32920,-10.07300,-2.21210,-9.32920,14.53500,0.73060,0.59030
2023-12-31,64.50000,64.50000,58.00000,-41.20000,-33.90000,-5.20000,-39.10000,0.30000,-39.40000,-39.40000,-42.40000,-28.50000,-33.10000,23.57900,23.57900,-1.72000,-1.72000,-52.55820,-51.31780,-60.62010,-65.73640,0.04230,-10.24180,-11.02410,-2.58410,-10.24170,15.93090,-2.0687,-2.271
2023-09-30,57.70000,57.70000,59.90000,-48.40000,-50.60000,,-50.60000,-0.30000,-50.30000,-50.30000,-53.10000,-45.70000,-50.60000,23.73000,23.73000,-2.24000,-2.24000,-87.69500,-87.69500,-87.69500,-92.02770,0.03500,-12.22950,-12.97400,-3.05400,-12.22950,17.21500,0.0741,-0.1008
2023-06-30,47.70000,47.70000,62.90000,-89.80000,-105.00000,,-105.00000,0.20000,-105.20000,-105.20000,-107.80000,-99.80000,-105.00000,23.38800,23.38800,-4.61000,-4.61000,-220.12580,-220.12580,-220.12580,-225.99580,0.02840,-23.53470,-24.91120,-6.25890,-23.53470,18.93190,-0.3852,-1.8205
2023-03-31,39.80000,39.80000,58.00000,-49.30000,-67.50000,-0.30000,-67.80000,0.30000,-68.10000,-68.10000,-69.80000,-63.20000,-67.50000,23.19800,23.19800,-3.01000,-3.01000,-169.59800,-169.59800,-170.35180,-175.37690,0.02480,-12.54140,-13.16710,-4.24380,-12.54140,23.28370,-1.53890,-1.70700
2022-12-31,35.80000,35.80000,59.60000,-37.30000,-58.60000,-1.40000,-60.00000,0.50000,-60.50000,-60.50000,-63.10000,-54.60000,-56.10000,22.74700,22.74700,-2.74000,-2.74000,-163.68720,-156.70400,-167.59780,-176.25700,0.02280,-10.19380,-10.67770,-3.85620,-10.19380,25.58080,-1.3467,-1.5036
2022-09-30,30.70000,30.70000,64.00000,-38.70000,-72.00000,-55.20000,-127.20000,0.30000,-127.50000,-127.50000,-129.20000,-68.20000,-72.00000,22.84000,22.84000,-5.66000,-5.66000,-234.52770,-234.52770,-414.33220,-420.84690,0.01880,-19.95310,-20.86740,-7.82210,-19.95310,27.70910,-1.8492,-2.0859
2022-06-30,28.70000,28.70000,55.00000,-45.70000,-72.00000,0.30000,-71.70000,0.30000,-72.00000,-72.00000,-73.50000,-68.50000,-72.00000,22.64400,22.64400,-3.25000,-3.25000,-250.87110,-250.87110,-249.82580,-256.09760,0.01760,-9.58210,-10.76720,-4.41880,-9.58210,32.82010,-1.2954,-1.4919
2022-03-31,24.50000,24.50000,54.60000,-37.20000,-67.30000,1.00000,-66.30000,0.20000,-66.50000,-66.50000,-67.60000,-63.40000,-67.30000,22.46500,22.46500,-3.01000,-3.01000,-274.69390,-274.69390,-270.61230,-275.91840,0.01460,-8.22310,-9.17370,-3.97130,-8.22310,35.60960,-2.60850,-2.88450
2021-12-31,32.00000,32.00000,64.70000,-31.20000,-262.80000,203.70000,-59.10000,0.30000,-59.40000,-59.40000,-60.80000,-259.50000,-461.70000,10.88700,10.88700,40.14000,40.14000,-821.25010,-1442.81300,-184.68760,-190.00010,0.01950,-6.89340,-7.65460,-3.61600,-6.89340,38.12660,-3.733,-4.4206
2021-09-30,21.30000,21.30000,42.90000,-34.60000,-56.20000,26.40000,-29.80000,0.10000,-29.90000,-29.90000,-30.90000,-50.20000,-56.20000,15.47500,15.47500,-2.00000,-2.00000,-263.84980,-263.84980,-139.90610,-145.07040,0.01280,-3.30860,-3.66060,-1.80320,-3.30860,40.13780,9.8974,10.6887
2021-06-30,20.90000,20.90000,39.50000,-28.90000,-47.50000,-36.00000,-83.50000,0.20000,-83.70000,-83.70000,-84.50000,-36.10000,-47.50000,3.93180,3.93180,-21.50000,-21.50000,-227.27270,-227.27270,-399.52150,-404.30620,0.09050,-1673.99800,-1674.01500,-36.24860,-1673.99800,14.24500,-13.5624,-14.2578
2021-03-31,17.00000,17.00000,38.80000,-25.90000,-47.70000,-147.10000,-194.80000,0.10000,-194.90000,-194.90000,-195.20000,-37.00000,-47.70000,3.83880,3.83880,-50.75000,-50.75000,-280.58820,-280.58820,-1145.88200,-1148.23500,0.07350,-3897.99400,-3898.00000,-84.29210,-3897.99400,14.68690,-4.03770,-4.74110
2020-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,10.3852,12.3592
2020-09-30,13.00000,13.00000,39.00000,-14.40000,-40.50000,,-40.50000,-1.90000,-38.60000,-38.60000,-38.60000,-40.60000,-40.60000,3.49540,3.49540,-11.00000,-11.00000,-311.53850,-312.30770,-311.53850,-296.92310,,,,,,,-10.3852,-12.3592
