Date,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,0.21900,-0.21900,1.54500,3.32300,4.91500,-5.13400,-6.30300,-11.43700,-11.43700,-11.43700,-17.19100,-4.59300,-5.13400,121.32800,121.32800,-0.14000,-0.14000,3.22850,,,8471.67300,-6.22230,-5.15950,-6.22230,1.51830,-0.08400,-0.09490
2021-12-31,0.22700,-0.22700,,5.96400,7.62700,-7.85400,-0.16900,-8.02300,-8.02300,-8.02300,-13.31800,-7.31500,-7.85400,119.20100,119.20100,-0.12000,-0.12000,3.20780,,,-40.33280,-4.26090,-3.61230,-4.26090,1.56320,-0.0481,-0.0793
2021-09-30,0.24000,-0.24000,,2.93700,2.98000,-3.22000,4.44200,1.22200,1.22200,1.22200,-4.05800,-2.69000,-3.22000,119.37400,119.37400,-0.03000,-0.03000,4.62180,,,3.84370,0.62690,0.53440,0.62690,1.61950,-0.0376,-0.0616
2021-06-30,0.23400,-0.23400,,6.53300,6.57800,-6.81200,-4.76800,-11.58000,-11.58000,-11.58000,-15.47100,-6.27100,-6.81200,118.38200,118.38200,-0.13000,-0.13000,2.88590,,,-32.96710,-6.14790,-5.05480,-6.14790,1.59350,-0.033,-0.0591
2021-03-31,0.20400,-0.20400,,1.36900,1.41700,-1.62100,-2.03700,-3.65800,-3.65800,-3.65800,-7.54900,-1.08000,-1.62100,118.26200,118.26200,-0.06000,-0.06000,5.45910,,,-7.40110,-1.93300,-1.64710,-1.93300,1.60330,-0.03200,-0.05220
2020-12-31,0.32200,-0.32200,,3.63000,3.68100,-4.00300,1.72400,-2.27900,-2.27900,-2.27900,-6.05600,-3.38900,-4.00300,117.52400,117.52400,-0.05000,-0.05000,4.52620,,,-3.77120,-1.31940,-1.13010,-1.31940,1.46950,-0.0299,-0.0493
2020-09-30,0.42300,-0.42300,,5.06900,5.13400,-5.55700,-1.62100,-7.17800,-7.17800,-7.17800,-10.80700,-4.80800,-5.55700,117.56400,117.56400,-0.09000,-0.09000,4.17110,,,-10.86570,-4.11120,-3.50370,-4.11120,1.48340,-0.0335,-0.0495
2020-06-30,0.44700,-0.44700,,4.70000,4.76400,-5.21100,-0.56300,-5.77400,-5.77400,-5.77400,-9.30400,-4.30500,-5.21100,117.38800,117.38800,-0.08000,-0.08000,14.60580,,,-7.55260,-3.18360,-2.83830,-3.18360,1.54360,-0.0387,-0.1608
2020-03-31,0.41100,-0.41100,,6.81400,6.83000,-7.24100,8.14300,0.90200,0.90200,0.90200,-2.61700,-6.72400,-7.24100,117.35300,117.35300,-0.02000,-0.02000,4.48530,,,1.05570,0.48270,0.41230,0.48270,1.59170,-0.12130,-0.23910
2019-12-31,0.40600,-0.40600,,12.02600,12.11300,-12.51900,-1.36200,-13.88100,-13.88100,-13.88100,-17.41600,-12.02300,-12.51900,109.05700,109.05700,-0.16000,-0.16000,3.65790,,,-15.47200,-7.39870,-6.27550,-7.39870,1.60130,-0.0627,-0.0752
2019-09-30,0.75400,-0.75400,,3.57900,3.65900,-4.41300,1.18500,-3.22800,-3.22800,-3.22800,-6.36300,-4.06000,-4.41300,107.18100,107.18100,-0.06000,-0.06000,1.97800,,,-7.66820,-2.36540,-1.90070,-2.36540,1.27300,-0.0748,-0.117
2019-06-30,10.61400,-10.61400,,-5.07600,-5.03300,-5.58100,-1.13800,-6.71900,-6.71900,-6.71900,-7.20700,-5.32200,-5.58100,107.06100,107.06100,-0.07000,-0.07000,6.83670,,,-12.59960,-4.64740,-4.08010,-4.64740,1.34870,-0.1608,-0.2373
2019-03-31,0.42800,-0.42800,,12.01900,12.06000,-12.48800,0.44500,-12.04300,-12.04300,-12.04300,-17.56600,-12.26300,-12.48800,106.94000,106.94000,-0.16000,-0.16000,8.54730,,,-16.34570,-8.28100,-7.48750,-8.28100,1.35920,-0.07490,-0.12990
2018-12-31,2.44700,-2.44700,,9.64900,9.69300,-12.14000,0.54200,-11.59800,-11.59800,-11.59800,-12.87300,-12.09600,-12.14000,106.56400,106.56400,-0.13000,-0.13000,6.36330,,,-13.93640,-7.75940,-6.86260,-7.75940,1.39820,-0.0999,-0.1675
2018-09-30,4.71500,-4.71500,,6.21400,6.26400,-10.97900,0.29900,-10.68000,-10.68000,-10.68000,-10.95100,-10.92900,-10.97900,106.63900,106.63900,-0.10000,-0.10000,4.36710,,,-11.83420,-6.88030,-5.78270,-6.88030,1.45350,-0.0334,-0.0681
2018-06-30,0.25000,-0.25000,,3.31800,3.36600,-3.61600,0.13400,-3.48200,-3.48200,-3.48200,-3.48200,-3.56800,-3.61600,106.39800,106.39800,-0.03000,-0.03000,1.44650,,,-3.69930,-3.69930,-3.10370,-3.69930,0.88460,-0.0307,-0.0548
2018-03-31,0.25000,-0.25000,,16.00100,16.03000,-16.28000,0.08000,-16.20000,-16.20000,-16.20000,-16.20000,-16.25100,-16.28000,106.38800,106.38800,-0.15000,-0.15000,4.18160,,,-16.30890,-16.30890,-14.54010,-16.30890,0.93360,-0.05450,-0.10320
2017-12-31,0.24800,-0.24800,,16.15500,16.18300,-16.43100,0.11100,-16.32000,-16.32000,-16.32000,-16.32000,-16.40300,-16.43100,100.92600,100.92600,-0.16000,-0.16000,5.10480,,,-15.83050,-15.83050,-14.05790,-15.83050,0.96980,-0.0502,-0.0942
2017-09-30,0.25000,-0.25000,,14.01400,14.04000,-14.29000,0.13300,-14.15700,-14.15700,-14.15700,-14.15700,-14.26400,-14.29000,103.87000,103.87000,-0.14000,-0.14000,7.34490,,,-13.04580,-13.04580,-11.92040,-13.04580,1.02090,-0.0252,-0.0711
2017-06-30,0.24700,-0.24700,,2.22700,2.25300,-2.50000,0.03900,-2.46100,-2.46100,-2.46100,-2.46100,-2.47400,-2.50000,97.72300,97.72300,-0.03000,-0.03000,0.19170,0.23550,0.30810,-49.21990,-49.21980,-2.15820,-37.62710,1.07020,-0.017,-0.0388
2017-03-31,0.23600,-0.23600,,2.15500,2.18100,-2.41700,0.02900,-2.38800,-2.38800,-2.38800,-2.38800,-2.39100,-2.41700,95.68900,95.68900,-0.02000,-0.02000,0.68590,0.11230,0.12650,-47.76000,-47.75960,-2.11100,-42.39590,1.09480,-0.03470,-0.07000
2016-12-31,0.44600,-0.44600,,5.09130,5.67130,-6.11730,-0.05140,-6.16870,-6.16870,-6.16870,-6.16870,-6.09030,-6.11730,95.68000,95.68000,-0.03000,-0.03000,3.89040,,,-9.05850,-9.05850,-8.14060,-9.05850,0.71160,-0.0204,-0.0568
2016-09-30,0.15000,-0.15000,,1.88500,1.91100,-2.06100,0.01200,-2.04900,-2.04900,-2.04900,-2.04900,-2.06100,-2.06100,95.68000,95.68000,-0.02000,-0.02000,1.61150,,,-39.77920,-39.77890,-1.74300,-39.77910,1.14290,0.0113,-0.155
2016-06-30,,,,0.12140,,-0.12140,0.05630,-0.06510,-0.06510,-0.06510,-0.06510,-0.12140,-0.12140,4.49900,4.49900,-0.01000,-0.01000,6.88800,,,-1.25100,-1.25100,-0.05540,-1.25100,1.15730,-0.0288,-0.0288
2016-03-31,,,,0.20230,,-0.20230,0.04610,-0.15620,-0.15620,-0.15620,-0.15620,-0.20230,-0.20230,4.49900,4.49900,-0.03000,-0.03000,3.87230,,,-2.98780,-2.98780,-0.13270,-2.98780,1.16210,-0.03720,-0.03720
2015-12-31,,,,6.87900,,-7.54300,-0.03070,-7.57370,-7.57370,-7.57370,-7.57370,-7.54300,-7.54300,55.22600,55.22600,-0.10000,-0.10000,21.53530,,,-139.56200,-139.56120,-6.42860,-139.56200,1.20620,-0.0286,-0.63
2015-09-30,,,,0.11230,,-0.11230,0.02260,-0.08970,-0.08970,-0.08970,-0.08970,-0.11230,-0.11230,4.49900,4.49900,-0.02000,-0.02000,27.81680,,,-1.61160,-1.61160,-0.07610,-1.61160,1.23770,-0.022,-0.022
2015-06-30,,,,0.10950,,-0.10950,0.01710,-0.09240,-0.09240,-0.09240,-0.09240,-0.10950,-0.10950,4.49900,4.49900,-0.02000,-0.02000,10.82860,,,-1.63270,-1.63270,-0.07830,-1.63270,1.25770,-0.0455,-0.0455
2015-03-31,,,,0.00820,,-0.00820,0.00000,-0.00820,-0.00820,-0.00820,-0.00820,-0.00820,-0.00820,2.72600,2.72600,0.00000,0.00000,4.80630,,0.00860,-0.14150,-0.14150,-0.00690,-0.14150,1.28700,-0.01670,-0.01670
2014-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
