Date,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.55900,-2.55900,2.38600,43.59800,46.59700,-49.15600,-343.91900,-393.07500,-393.07500,-393.07500,-123.19900,-31.47800,-49.15600,259.37900,259.37900,-0.47000,-0.47000,0.48610,0.76020,3.17020,-37.58850,-37.58850,-7.67130,-9.01370,4.02050,-0.2456,-2.1623
2024-06-30,2.60300,-2.60300,2.40900,33.90200,36.93100,-39.53400,41.83800,2.30400,2.30400,2.30400,-32.57600,-20.96300,-39.53400,257.84200,257.84200,-0.13000,-0.13000,0.44850,0.68910,2.21600,0.18020,0.18020,0.04840,0.05600,4.95840,0.0194,-2.3833
2024-03-31,3.01900,-3.01900,2.50900,32.50500,35.09800,-38.11700,224.89200,186.77500,186.77500,186.77500,28.34600,-20.32100,-38.11700,256.70700,266.88600,0.11000,0.11000,0.56150,0.67910,2.11640,16.51360,16.51360,4.47270,5.29890,4.39240,-0.10800,-3.01040
2023-12-31,2.89700,-2.89700,2.92600,26.27400,29.25000,-32.14700,-223.70100,-255.84800,-255.84800,-255.84800,-129.26500,-13.96600,-32.14700,194.59500,194.59500,-0.35000,-0.35000,0.56940,0.71040,2.45300,-34.55380,-34.55380,-7.69750,-10.00680,2.88670,-0.1417,-4.592
2023-09-30,2.58200,-2.58200,1.08300,32.12800,33.25300,-35.83500,217.67900,181.84400,181.84400,181.84400,107.61000,-10.07600,-35.83500,222.46600,222.46600,0.48000,0.48000,0.85200,0.62830,1.69000,22.24020,22.24020,6.27390,8.26770,3.21520,0.0364,-4.092
2023-06-30,0.32500,-0.32500,0.41800,26.79500,27.25100,-27.57600,-92.71300,-120.28900,-120.28900,-120.28900,-127.04300,-27.27400,-27.57600,150.93300,150.93300,-0.84000,-0.84000,1.17730,,,611.16170,-61.31500,-34.09690,-61.31500,1.25360,-0.1152,-0.3195
2023-03-31,0.33700,-0.33700,0.46400,26.27100,26.77300,-27.11000,-0.23700,-27.34700,-27.34700,-27.34700,-34.04700,-26.81400,-27.11000,146.93100,146.93100,-0.23000,-0.23000,1.51070,,,-48.11560,-10.28220,-8.33990,-10.28220,1.79220,-0.15780,-0.30430
2022-12-31,0.31100,-0.31100,0.23000,19.86100,20.12300,-20.43400,1.50900,-18.92500,-18.92500,-18.92500,-25.43100,-20.16700,-20.43400,130.13600,130.13600,-0.19000,-0.19000,2.52110,,,-34.80710,-7.36910,-6.05740,-7.36910,1.78960,-0.0919,-0.3074
2022-09-30,0.29900,-0.29900,1.13300,14.61600,15.79000,-16.08900,-2.70800,-18.79700,-18.79700,-18.79700,-25.04500,-15.85700,-16.08900,129.41800,129.41800,-0.19000,-0.19000,6.49230,,,-24.61760,-6.90270,-5.86090,-6.90270,1.91350,-0.0778,-0.101
2022-06-30,0.29000,-0.29000,1.19300,11.29300,12.52800,-12.81800,1.90600,-10.91200,-10.91200,-10.91200,-16.68600,-12.58600,-12.81800,126.31400,126.31400,-0.13000,-0.13000,5.24270,,,-59.70350,-5.24610,-4.45850,-5.24610,1.64350,-0.0543,-0.064
