Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,2.01980,2.30130,-0.38550,-4.70660,0.03840,-4.66820,-4.66820,-4.66820,-4.66820,-4.66460,-4.70660,27.73000,27.73000,-0.17000,-0.17000,7.92940,-35.90040,-35.90040,-28.41690,-35.90040,0.44830,-0.0718,-0.0718
2024-03-31,0.29050,1.42330,,-1.71380,0.03620,-1.67760,-1.67760,-1.67760,-1.67760,-1.71380,-1.71380,23.86100,23.86100,-0.07000,-0.07000,10.88430,-25.28080,-25.28080,-18.91350,-25.28080,0.25520,-0.1429,-0.1429
2023-09-30,,,,,,,,,,,,,,,0.00000,,,,,,,0.1178,0.1178
2023-06-30,0.66310,2.03830,,-2.70140,0.00180,-2.69970,-2.69970,-2.69970,-2.69970,-2.70140,-2.70140,22.84600,22.84600,-0.12000,-0.12000,,,,,,,-0.0519,-0.0519
2023-03-31,0.39290,1.12750,,-1.52040,,-1.52040,-1.52040,-1.52040,-1.52040,-1.52040,-1.52040,22.30700,22.30700,-0.07000,-0.07000,,,,,,,-0.0659,-0.0659
