Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,8.04100,3.31400,4.72700,3.71400,3.78800,0.93900,0.93900,-0.00200,0.94100,0.94100,0.94100,3.05800,3.07200,0.31000,0.31000,0.09200,0.10140,18.96970,19.01010,0.00790,1.73400,1.87630,0.14970,1.57440,17.33770,0.28350,0.31150
2024-06-30,8.32700,3.46000,4.86700,3.96700,4.04300,0.82400,0.82400,0.18600,0.63800,0.63800,0.63800,3.04400,3.08300,0.21000,0.21000,0.11710,0.13260,17.08840,13.23100,0.00760,1.20830,1.31240,0.10010,1.06680,16.80550,0.6031,0.6277
2024-03-31,8.39600,3.48600,4.91000,3.92300,4.00200,0.90800,0.90800,0.17600,0.73200,0.73200,0.73200,3.04700,3.09100,0.24000,0.24000,0.13920,0.16180,18.53440,14.94180,0.00760,1.39300,1.51600,0.11380,1.19900,16.70910,0.2104,-0.1921
2023-12-31,8.21700,3.17700,5.04000,4.14800,4.23300,0.80700,0.80700,-0.19600,1.00300,1.00300,1.00300,3.04000,3.08500,0.33000,0.33000,0.15500,0.28620,15.96120,19.83780,0.00770,1.90710,2.07880,0.15330,1.61140,16.72840,-0.8483,-1.0715
2023-09-30,8.50800,2.79000,5.71800,4.09400,4.18800,1.53000,1.53000,0.31000,1.22000,1.22000,1.22000,3.02900,3.10800,0.40000,0.39000,0.14920,0.26650,26.75760,21.33610,0.00860,2.41710,2.64960,0.18410,2.05650,16.11010,0.78670,0.66440
2023-06-30,8.25500,2.29900,5.95600,4.25300,4.35600,1.60000,1.60000,0.34200,1.25800,1.25800,1.25800,3.02100,3.15300,0.42000,0.40000,0.14470,0.16920,27.55770,21.66720,0.00880,2.48900,2.73370,0.19030,2.12890,16.13210,1.0186,0.9637
2023-03-31,7.52100,1.54000,5.98100,4.57700,4.64800,1.33300,1.33300,0.27100,1.06200,1.06200,1.06200,3.00600,3.13200,0.35000,0.34000,0.14130,0.36410,22.86060,18.21300,0.00850,2.11880,2.33420,0.15480,1.81930,16.04450,1.2144,0.9822
2022-12-31,6.62700,0.76400,5.86300,3.70600,3.70600,2.15700,2.15700,0.44400,1.71300,1.71300,1.71300,2.99500,3.13100,0.57000,0.55000,0.11860,0.15120,37.75600,29.98430,0.00990,3.51820,3.51820,0.29710,3.10110,15.60050,0.2633,0.2099
2022-09-30,6.32700,0.47600,5.85100,4.17100,4.17100,1.68000,1.68000,0.00900,1.67100,1.67100,1.67100,3.06600,3.22800,0.55000,0.52000,0.11870,0.15220,30.92210,30.75650,0.00930,3.54590,3.54590,0.28730,3.12480,15.16250,1.34290,1.31010
2022-06-30,5.67000,0.40200,5.26800,3.99500,3.99500,1.27300,1.27300,0.20600,1.06700,1.06700,1.06700,3.25000,3.46500,0.33000,0.32000,0.04300,0.06080,25.49570,21.36990,0.00850,2.03830,2.03830,0.18070,1.95070,15.45070,0.2929,0.2476
2022-03-31,5.52800,0.42400,5.10400,3.55800,3.55800,1.54600,1.54600,0.26900,1.27700,1.27700,1.27700,3.27400,3.46500,0.39000,0.37000,0.03310,0.05020,30.29000,25.01960,0.00890,2.42630,2.42630,0.22220,2.34600,15.47550,2.6263,2.5762
2021-12-31,5.72200,0.50100,5.22100,3.74500,3.74500,1.47600,1.47600,0.30000,1.17600,1.17600,1.17600,3.22800,3.47400,0.36000,0.34000,0.05840,0.06270,28.60470,22.79070,0.00900,2.20190,2.20190,0.20590,2.07330,15.71750,0.2826,0.1769
2021-09-30,5.79000,0.55000,5.24000,3.53500,3.53500,1.70500,1.70500,0.35200,1.35300,1.35300,1.35300,3.20400,3.51400,0.42000,0.38000,0.02010,0.03650,32.53820,25.82060,0.00920,2.52030,2.52030,0.23870,2.46970,15.97740,1.72140,1.41460
2021-06-30,5.71100,0.64900,5.06200,3.42800,3.42800,1.63400,1.63400,0.33700,1.29700,1.29700,1.29700,3.23050,3.42620,0.40000,0.37000,0.05780,0.06200,32.60180,25.87790,0.00890,2.45990,2.45990,0.22930,2.31790,15.73410,2.8056,2.9767
2021-03-31,6.40800,0.75300,5.65500,3.84200,3.84200,1.81300,1.81300,0.39500,1.41800,1.41800,1.41800,3.21900,3.45400,0.44000,0.41000,0.02980,0.04750,34.83190,27.24300,0.00920,2.71950,2.71950,0.25170,2.63850,15.47240,2.4875,2.462
2020-12-31,6.88800,0.90500,5.98300,4.19000,4.19000,1.79300,1.79300,0.39000,1.40300,1.40300,1.40300,3.23400,3.36800,0.44000,0.42000,0.06110,0.06620,33.30860,26.06350,0.01010,2.72630,2.72630,0.26210,2.55970,15.22540,0.3039,-0.02
2020-09-30,6.69000,0.99700,5.69300,4.12300,4.12300,1.57000,1.57000,0.32300,1.24700,1.24700,1.24700,3.26200,3.39000,0.38000,0.37000,0.04410,0.04860,31.44400,24.97500,0.00920,2.44260,2.44260,0.23020,2.33480,14.86660,-3.16520,-3.41620
2020-06-30,6.10300,1.08200,5.02100,3.71600,3.71600,1.30500,1.30500,0.26700,1.03800,1.03800,1.03800,3.36360,3.59480,0.32000,0.30000,0.05900,0.06650,28.54960,22.70840,0.00880,2.05400,2.05400,0.20030,1.93290,14.65210,-0.7555,-0.793
2020-03-31,5.92100,1.33100,4.59000,3.34900,3.34900,1.24100,1.24100,0.26400,0.97700,0.97700,0.97700,3.36400,3.61000,0.29000,0.27000,0.05110,0.05910,29.03600,22.85920,0.00930,1.96760,1.96760,0.21220,1.86700,14.27660,1.3853,1.8011
2019-12-31,6.07900,1.38700,4.69200,3.95700,3.95700,0.73500,0.73500,0.14700,0.58800,0.58800,0.58800,3.39800,3.66400,0.17500,0.16000,0.04050,0.04820,19.64190,15.71350,0.00820,1.17660,1.17660,0.12910,1.12900,13.93590,-0.17,-0.2502
2019-09-30,6.13200,1.35400,4.77800,3.25200,3.25200,1.52600,1.52600,0.27900,1.24700,1.24700,1.24700,3.43400,3.68400,0.36500,0.34000,0.03830,0.04590,33.15230,27.09100,0.01000,2.50720,2.50720,0.27120,2.41110,13.89300,-0.40420,-0.28500
2019-06-30,5.75500,1.29100,4.46400,3.07900,3.07900,1.38500,1.46000,0.29900,1.16100,1.16100,1.16100,3.53550,3.78800,0.33000,0.31000,0.00890,0.03590,33.84330,26.91240,0.00980,2.30620,2.30620,0.26240,2.28580,13.64280,-0.3515,-0.3834
2019-03-31,5.48500,1.16800,4.31700,2.82100,2.82100,1.49600,1.49600,0.30700,1.18900,1.18900,1.18900,3.52200,3.77400,0.34000,0.31500,0.02260,0.02910,35.47550,28.19540,0.00970,2.42740,2.42740,0.27370,2.37240,13.20300,-0.0159,-0.1661
2018-12-31,5.43500,1.07500,4.36000,2.82200,2.82200,1.53800,1.53800,0.36300,1.17500,1.17500,1.17500,3.55200,3.80400,0.33000,0.31000,0.03300,0.04000,36.10330,27.58220,0.01000,2.41580,2.41580,0.27610,2.33610,12.92190,0.5393,0.3572
2018-09-30,5.55600,0.99800,4.55800,3.02600,3.02600,1.53200,1.53200,0.31400,1.21800,1.21800,1.21800,3.59200,3.86400,0.34000,0.31500,0.11580,0.13700,35.56170,28.27300,0.01010,2.53970,2.53970,0.28440,2.24550,12.66080,1.09420,0.91170
2018-06-30,5.50200,0.92600,4.57600,2.98700,2.98700,1.58900,1.58900,0.41100,1.17800,1.17800,1.17800,3.59910,3.82230,0.33000,0.30500,0.12390,0.25380,36.31170,26.91960,0.01040,2.50440,2.50440,0.27940,2.19400,12.41740,0.1209,0.0329
2018-03-31,5.06400,0.86200,4.20200,3.02300,3.02300,1.17900,1.17900,0.15800,1.02100,1.02100,1.02100,3.58600,3.79000,0.28500,0.27000,0.12630,0.36000,30.60750,26.50570,0.00930,2.20000,2.20000,0.24780,1.92220,12.15560,-0.2932,-0.3103
2017-12-31,5.28400,0.85600,4.42800,2.95500,2.95500,1.47300,1.47300,1.11200,0.36100,0.36100,0.36100,3.60200,3.80600,0.10000,0.09500,0.20880,0.48170,34.83920,8.53830,0.01030,0.78590,0.78590,0.08770,0.62180,12.01150,1.5862,1.53
2017-09-30,5.56100,0.85100,4.71000,3.13100,3.13100,1.57900,1.57900,0.57100,1.00800,1.00800,1.00800,3.63200,3.83000,0.27500,0.26500,0.20340,0.75150,35.80500,22.85720,0.01050,2.17410,2.17410,0.24110,1.73180,12.02980,2.01440,2.04070
2017-06-30,5.67200,0.79500,4.87700,3.32700,3.32700,1.55000,1.55000,0.51500,1.03500,1.03500,1.03500,3.63430,3.81890,0.28500,0.27000,0.20480,1.05750,32.75570,21.87240,0.01110,2.23800,2.23800,0.24260,1.77980,11.83970,-1.597,-1.7849
2017-03-31,5.01700,0.71300,4.30400,3.02400,3.02400,1.28000,1.28000,0.42800,0.85200,0.85200,0.85200,3.63800,3.85600,0.23500,0.22000,,0.94450,30.85080,20.53510,0.01000,1.88580,1.88580,0.20480,1.88580,11.56090,1.6124,1.5766
2016-12-31,4.88300,0.65700,4.22600,3.14600,3.14600,1.08000,1.08000,0.31700,0.76300,0.76300,0.76300,3.62400,3.79200,0.21000,0.20000,0.01560,1.21750,27.50890,19.43450,0.00960,1.72870,1.72870,0.18600,1.70170,11.28850,1.1043,1.0769
2016-09-30,5.21300,0.63800,4.57500,3.07500,3.07500,1.50000,1.50000,0.49800,1.00200,1.00200,1.00200,3.62600,3.75600,0.27500,0.26500,0.00900,0.97110,35.08770,23.43860,0.01100,2.27870,2.27870,0.25720,2.25810,11.22330,-0.23590,-0.16050
2016-06-30,4.94600,0.62900,4.31700,2.85100,2.85100,1.46600,1.46600,0.48500,0.98100,0.98100,0.98100,3.75480,3.88340,0.26500,0.26000,0.36150,1.10770,34.68180,23.20800,0.01110,2.26080,2.26080,0.25700,1.44360,11.02440,-0.8654,-0.9271
2016-03-31,4.63700,0.64500,3.99200,2.84000,2.84000,1.15200,1.15200,0.37800,0.77400,0.77400,0.77400,3.70200,3.82800,0.21000,0.20000,,0.63500,29.52330,19.83600,0.01080,1.80510,1.80510,0.21350,1.80510,10.73560,0.2784,0.1475
2015-12-31,4.37200,0.66900,3.70300,2.69200,2.69200,1.01100,1.01100,0.33000,0.68100,0.68100,0.68100,3.74000,3.88200,0.18000,0.17500,0.03380,0.64880,27.49520,18.52050,0.01020,1.59000,1.59000,0.18870,1.53620,10.50760,1.1359,0.9764
2015-09-30,4.75700,0.66700,4.09000,2.69800,2.69800,1.39200,1.39200,0.45100,0.94100,0.94100,0.94100,3.85400,3.98200,0.24500,0.23500,,0.59860,34.58390,23.37890,0.01100,2.13770,2.13770,0.25700,2.13770,10.48070,1.26700,0.94450
2015-06-30,4.58000,0.65400,3.92600,2.63700,2.63700,1.28900,1.28900,0.43500,0.85400,0.85400,0.85400,3.95650,4.06370,0.22000,0.21000,,0.88530,33.60270,22.26280,0.01040,1.96840,1.96840,0.23090,1.96840,10.28100,-0.6295,-0.6578
2015-03-31,4.65200,0.62900,4.02300,2.76700,2.76700,1.25600,1.25600,0.41300,0.84300,0.84300,0.84300,3.94000,4.04800,0.21500,0.21000,,0.89160,31.93490,21.43400,0.01100,1.95370,1.95370,0.23570,1.95370,10.12410,0.1367,0.0849
2014-12-31,4.31700,0.61800,3.69900,2.45500,2.45500,1.24400,1.24400,0.40900,0.83500,0.83500,0.83500,3.99400,4.10600,0.21000,0.20500,,1.13250,34.37410,23.07270,0.01050,1.92880,1.92880,0.24110,1.92880,9.87950,0.3815,0.3352
2014-09-30,4.18400,0.58000,3.60400,2.37700,2.37700,1.22700,1.22700,0.40400,0.82300,0.82300,0.82300,4.01200,4.11600,0.20500,0.20000,,1.02180,34.42760,23.09200,0.01050,1.92930,1.92930,0.24170,1.92930,9.68180,-0.06490,-0.45940
2014-06-30,3.94100,0.54400,3.39700,2.27200,2.27200,1.12500,1.12500,0.37700,0.74800,0.74800,0.74800,4.13770,4.24160,0.18500,0.17500,,0.30150,33.61220,22.34840,0.01020,1.74850,1.74850,0.22700,1.74850,9.54040,-0.2794,-0.4431
2014-03-31,3.83300,0.55900,3.27400,2.33400,2.33400,0.94000,0.94000,0.30200,0.63800,0.63800,0.63800,4.06000,4.16400,0.15500,0.15500,,0.41580,28.97660,19.66710,0.01120,1.51980,1.51980,0.22040,1.51980,9.35780,-0.0741,0.0048
2013-12-31,3.80400,0.60300,3.20100,2.24700,2.24700,0.95400,0.95400,0.30900,0.64500,0.64500,0.64500,4.19800,4.28600,0.15500,0.15000,,0.44670,30.00940,20.28940,0.01110,1.56100,1.56100,0.22570,1.56100,9.18220,0.0471,-0.2529
2013-09-30,3.93500,0.63000,3.30500,2.24800,2.24800,1.05700,1.05700,0.34400,0.71300,0.71300,0.71300,4.22600,4.33200,0.17000,0.16500,0.01860,0.38740,32.63350,22.01300,0.01110,1.69100,1.69100,0.24360,1.65950,8.98270,-0.25900,-0.36170
2013-06-30,4.04900,0.61900,3.43000,2.39800,2.39800,1.03200,1.03200,0.39800,0.63400,0.63400,0.63400,4.66060,4.78900,0.15500,0.15500,0.01180,0.52790,31.15000,19.13670,0.01200,1.51020,1.51020,0.22880,1.49240,8.92470,0.2605,0.1443
2013-03-31,4.04000,0.62000,3.42000,2.42100,2.42100,0.99900,0.99900,0.32300,0.67600,0.67600,0.67600,4.36000,4.49400,0.15500,0.15000,0.01170,0.71480,31.16030,21.08550,0.01160,1.59760,1.59760,0.24470,1.57890,8.95720,1.2207,1.084
2012-12-31,4.21800,0.64700,3.57100,2.25000,2.25000,1.32100,1.32100,0.44000,0.88100,0.88100,0.88100,4.84200,4.97600,0.18000,0.17500,,0.66840,38.23440,25.49930,0.01270,1.94710,1.94710,0.32330,1.94710,8.85090,0.2595,0.1624
2012-09-30,4.27100,0.69300,3.57800,2.17200,2.17200,1.40600,1.40600,0.46700,0.93900,0.93900,0.93900,5.18800,5.32200,0.18000,0.17500,,0.53750,40.55380,27.08390,0.01280,1.92160,1.92160,0.34750,1.92160,8.79520,0.65350,0.60470
2012-06-30,4.20400,0.71700,3.48700,2.44100,2.44100,1.04600,1.04600,0.27200,0.77400,0.77400,0.77400,5.59990,5.63620,0.14500,0.14500,,0.47040,33.51490,24.79980,0.01050,1.55150,1.55150,0.26130,1.55150,8.67010,0.9637,0.9593
2012-03-31,4.09600,0.74600,3.35000,2.50400,2.50400,0.84600,0.84600,0.25900,0.58700,0.58700,0.58700,5.58600,5.64000,0.10500,0.10500,,0.58140,26.99430,18.73010,0.01180,1.16480,1.16480,0.22040,1.16480,8.48670,0.1556,0.1485
2011-12-31,3.92800,0.78900,3.13900,2.14200,2.14200,0.99700,0.99700,0.31700,0.68000,0.68000,0.68000,5.73200,5.79800,0.12000,0.11500,,0.48970,33.78520,23.04300,0.01170,1.30010,1.30010,0.26940,1.30010,8.56900,-0.6082,-0.6116
2011-09-30,3.81800,0.79800,3.02000,1.93900,1.93900,1.08100,1.08100,0.27900,0.80200,0.80200,0.80200,5.71800,5.77400,0.14000,0.14000,,0.43890,36.84390,27.33470,0.01200,1.53320,1.53320,0.32890,1.53320,8.56950,-0.23570,-0.42310
2011-06-30,3.29400,0.78000,2.51400,1.84900,1.84900,0.66500,0.66500,0.18800,0.47700,0.47700,0.47700,5.80720,5.81640,0.08500,0.08500,,0.52540,27.47930,19.71070,0.01040,0.93200,0.93190,0.20440,0.93200,8.40170,-0.7787,-0.7828
2011-03-31,2.93800,0.77100,2.16700,1.69300,1.69300,0.47400,0.47400,0.16100,0.31300,0.31300,0.31300,5.93400,5.95600,0.05500,0.05500,,0.47500,22.24310,14.68790,0.00980,0.62090,0.62090,0.14380,0.62090,8.27500,0.907,0.89
2010-12-31,3.32400,0.80400,2.52000,1.76100,1.76100,0.75900,0.75900,0.25700,0.50200,0.50200,0.50200,5.93000,5.93000,0.08500,0.08500,0.72440,3.14250,32.03880,21.19040,0.01120,0.99240,0.99240,0.23800,0.27350,8.30330,0.1092,-0.0049
2010-09-30,3.37100,0.83100,2.54000,1.56200,1.56200,0.97800,0.97800,0.33200,0.64600,0.64600,0.64600,5.93000,5.93000,0.11000,0.11000,,0.82930,39.62720,26.17500,0.01280,1.91360,1.91360,0.33400,1.91360,5.54080,1.12550,1.07590
2010-06-30,3.12300,0.83900,2.28400,1.53600,1.53600,0.74800,0.71200,0.25100,0.46100,0.46100,0.46100,6.50320,6.50320,0.07110,0.07110,,0.94430,31.67260,20.50710,0.01210,1.38170,1.38170,0.24900,1.38170,4.98280,-1.4709,-1.4385
2010-03-31,2.14600,0.84200,1.30400,1.43200,1.43200,-0.12800,-0.12800,0.16400,-0.29200,-0.29200,-0.29200,5.90600,5.90600,-0.05000,-0.05000,,1.06070,-9.81600,-22.39260,0.00760,-0.91000,-0.91000,-0.17090,-0.91000,5.26030,-0.2881,-0.3282
2009-12-31,2.52000,0.86800,1.65200,1.27500,1.27500,0.37700,0.37700,0.12800,0.24900,0.24900,0.24900,5.89200,5.89200,0.04000,0.04000,,1.31520,22.82080,15.07260,0.00960,0.76980,0.76980,0.14460,0.76980,5.30260,-0.2068,-0.4943
2009-09-30,2.24400,0.90900,1.33500,0.95300,0.95300,0.38200,0.38200,0.13000,0.25200,0.25200,0.25200,5.93610,5.93610,0.04390,0.04390,,1.17890,28.61420,18.87640,0.00830,0.78120,0.78120,0.15580,0.78120,5.28530,0.15780,0.11510
2009-06-30,2.12100,0.92800,1.19300,0.97400,0.97400,0.21900,-0.02100,-0.01500,-0.00600,-0.00600,-0.00600,5.93380,5.93380,0.00550,0.00550,,1.14970,-2.20360,-0.62960,0.00620,-0.01920,-0.01920,-0.00390,-0.01920,5.09470,-0.0209,-0.0263
2009-03-31,2.06400,0.93900,1.12500,0.71200,0.71200,0.41300,0.41300,0.14000,0.27300,0.27300,0.27300,5.93430,5.93430,0.04390,0.04390,,1.12010,36.71110,24.26670,0.00750,0.84950,0.84950,0.18270,0.84950,5.22120,0.0725,0.0489
