Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,0.45980,3.73320,-4.19300,-2.44370,-6.63670,,-6.63670,-6.63670,-6.63670,-4.09150,-4.19300,99.45910,99.45910,-0.07000,-0.07000,0.08180,-0.13210,35.32660,32.04790,-108.78690,35.32660,-0.16010,-0.0203,-0.0205
2024-06-30,,,0.40070,2.53270,-2.93330,24.95170,22.01840,,22.01840,22.01840,22.01840,-2.83040,-2.93330,86.91400,96.15900,0.25000,0.23000,0.06600,-0.18650,-121.24250,-109.54800,336.68420,-121.24250,-0.20850,-0.0107,-0.0112
2024-03-31,,,0.72910,3.03020,-3.75930,-26.00690,-29.76630,,-29.76630,-29.76630,-29.76630,-3.66490,-3.75930,78.19800,78.19800,-0.38000,-0.38000,0.07150,-0.06690,73.26040,69.97660,-350.18570,73.26040,-0.46760,-0.02610,-0.02730
2023-12-31,,,,1.60880,0.70540,-14.68810,-13.98440,,-15.56400,-15.56400,-15.56400,0.70540,0.70380,3.21000,3.21000,-1.77000,-1.77000,0.25370,,-456.09260,-997.81260,-351.34190,-456.09280,0.04890,-0.7817,-0.7774
2023-09-30,0.00130,0.00130,0.87200,0.56790,-1.43860,0.00110,-1.43750,,-1.43750,-1.43750,-1.43750,-1.16410,-1.43860,69.80000,69.80000,-0.02000,-0.02000,0.02600,-0.22040,17.01030,17.01030,-3.37390,17.01030,-2.63180,-0.0165,-0.0199
2023-06-30,,,0.68160,0.35130,-1.03300,0.00040,-1.03260,,-1.03260,-1.03260,-1.03260,-0.95650,-1.03300,69.80000,69.80000,-0.01000,-0.01000,0.04550,-0.17060,13.57720,13.57720,-2.46390,13.57720,-2.36780,-0.0111,-0.0114
2023-03-31,0.00030,0.00030,0.76050,0.98160,-1.74180,0.00030,-1.74150,,-1.74150,-1.74150,-1.74150,-1.63610,-1.74180,69.80000,69.80000,-0.02000,-0.02000,0.10480,-0.20210,28.50370,28.50360,-1.33490,28.50370,-1.90280,-0.01970,-0.02030
2022-12-31,,,,0.23960,-0.23960,1.06920,0.82960,0.21380,0.61580,0.61580,0.61580,-0.23960,-0.23960,3.12000,3.19000,0.06000,0.06000,0.83720,-0.03220,-15.80980,-15.80970,0.47890,-15.80980,-1.21260,-0.0104,-0.0104
2022-09-30,,,,0.34960,-0.34960,0.57040,0.22080,0.10920,0.11150,0.11150,0.11150,-0.34960,-0.34960,3.21100,3.21100,0.01000,0.01000,1.47740,-0.03380,-3.00680,-3.00680,0.08740,-3.00680,-1.15500,-0.0275,-0.0275
2022-06-30,,,,0.19060,-0.19060,0.18600,-0.00460,0.01680,-0.02140,-0.02140,-0.02140,-0.19060,-0.19060,3.21100,3.21100,0.00000,0.00000,3.43320,-0.03740,0.63880,0.63880,-0.01680,0.63880,-1.04270,-0.1885,-0.1885
2022-03-31,,,,0.12440,-0.12440,0.01240,-0.11200,,-0.11200,-0.11200,-0.11200,-0.12440,-0.12440,2.83200,2.83200,-0.02000,-0.02000,2.23210,-0.03770,3.36570,3.36570,-0.08780,3.36570,-1.01240,-0.00090,-0.00090
2021-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
2021-09-30,,,0.00000,,,,0.00000,0.00000,,0.00000,,,,,,,0.00000,,5.31780,,,,,0.00720,0,0
