Date,revenue,cost-goods-sold,gross-profit,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2341.70000,1886.80000,454.89990,454.89990,-27.80000,426.90000,88.00000,338.90000,338.90000,338.90000,454.89990,454.89990,251.64100,256.86300,1.35000,1.32000,0.23580,0.30850,19.42610,19.42610,18.23040,14.47240,0.08120,5.25820,5.25800,1.17490,4.01840,25.41950,1.899,1.899
2024-06-30,1871.70000,1726.00000,145.70000,145.70000,-32.20000,113.30000,21.40000,91.90000,91.90000,91.80000,145.70000,145.70000,260.79700,265.55000,0.35000,0.35000,0.24800,0.32990,7.78440,7.78440,6.05330,4.90460,0.06800,1.52490,1.52490,0.33390,1.14670,23.31430,0.9122,0.9122
2024-03-31,2015.90000,1597.90000,418.00010,418.00010,-19.20000,398.70000,81.90000,316.80000,316.80000,316.70000,418.00010,418.00010,271.72600,275.43200,1.17000,1.15000,0.23690,0.31050,20.73520,20.73520,19.77780,15.71010,0.07450,4.94930,4.94920,1.17050,3.77660,23.54720,0.58240,0.58240
2023-12-31,1941.20000,1685.40000,255.79960,255.79930,-18.60000,237.40000,46.80000,190.60010,190.60010,190.70000,255.79930,255.79970,282.73300,285.47100,0.70000,0.69000,0.19890,0.24820,13.17740,13.17740,12.22960,9.82380,0.07320,2.97320,2.97320,0.71920,2.38190,23.02760,0.9513,0.9513
2023-09-30,1760.10000,1673.70000,86.40000,86.40000,-22.30000,63.90000,11.30000,52.60000,52.60000,52.60000,86.40000,86.40000,277.01100,279.92400,0.19000,0.19000,0.21190,0.26890,4.90880,4.90880,3.63050,2.98850,0.06670,0.88920,0.88920,0.19920,0.70070,21.09870,1.274,1.274
2023-06-30,1798.30000,1575.70000,222.60010,222.60010,-25.60000,196.90000,41.30000,155.60000,155.60000,155.50000,222.60010,222.60010,285.42700,287.88300,0.55000,0.54000,0.20630,0.25990,12.37840,12.37840,10.94920,8.64710,0.06960,2.54260,2.54260,0.60190,2.01810,21.49990,0.326,0.326
2023-03-31,1758.70000,1488.80000,269.89990,269.89990,-20.50000,249.20000,49.30000,199.90000,199.90000,199.80000,269.89990,269.89990,291.94600,293.99300,0.68000,0.68000,0.20070,0.25110,15.34660,15.34660,14.16960,11.36070,0.06920,3.15700,3.15700,0.78710,2.52330,21.62760,0.53270,0.53270
2022-12-31,2345.80000,1678.20000,667.60010,667.60000,-18.80000,649.00000,136.80000,512.20000,512.20000,511.90000,667.60000,667.59970,301.67700,303.29700,1.71000,1.70000,0.20550,0.25870,28.45940,28.45940,27.66650,21.82200,0.09320,8.29720,8.29720,2.03580,6.59190,20.79000,0.8845,0.8845
2022-09-30,1721.00000,1820.10000,-99.10010,-99.10010,-20.50000,-119.60000,-27.80000,-91.80000,-91.80000,-91.70000,-99.10010,-99.10010,303.65300,303.65300,-0.31000,-0.31000,0.21950,0.28120,-5.75830,-5.75830,-6.94940,-5.32830,0.06900,-1.61670,-1.61670,-0.36800,-1.26190,18.65930,1.6479,1.6479
2022-06-30,1810.30000,1845.20000,-34.89990,-34.89990,-19.60000,-54.60000,-14.40000,-40.20000,-40.20000,-40.10000,-34.89990,-34.89990,303.79300,303.79300,-0.13000,-0.13000,0.19960,0.24940,-1.92790,-1.92790,-3.01610,-2.21510,0.07160,-0.62880,-0.62880,-0.15890,-0.50330,20.69390,0.4157,0.4157
