Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2338.48800,1344.07900,994.40910,,222.52600,-2.89700,519.06600,475.34310,-75.28500,400.05800,92.01200,308.04600,,308.04600,308.04600,770.99910,475.34310,258.02370,258.75650,1.19000,1.19000,0.77260,0.49780,1.00050,42.52360,20.32690,20.32690,17.10760,13.17290,0.11640,2.36000,38.13600,3.72870,-18.73630,1.53290,1.87270,32.02000,2.1545,1.1141
2024-06-30,2248.16600,1301.07000,947.09610,,228.84800,-8.19000,522.39100,424.70510,-68.72100,355.98400,80.58400,275.40000,,275.40000,275.47700,711.96310,424.70510,257.99400,258.56500,1.07000,1.07000,0.69800,0.49150,0.98210,42.12750,18.89120,18.89120,15.83440,12.25340,0.11650,2.33820,38.49110,3.44970,-17.03830,1.42680,1.75410,30.94680,2.3639,1.5314
2024-03-31,2072.65300,1221.78300,850.87010,,220.73500,-0.35400,484.07000,366.80020,-78.26000,288.54000,59.41300,229.12700,,229.12700,230.05400,633.83620,366.80020,257.80100,258.48200,0.89000,0.89000,0.74600,0.50080,1.01960,41.05220,17.69710,17.69710,13.92130,11.09950,0.10860,2.31150,38.93630,2.94090,-13.61060,1.20070,1.46810,30.20200,1.89690,1.24360
2023-12-31,2035.60900,1195.62000,839.98900,,192.75100,-169.59500,615.47100,224.51790,-63.12900,161.38890,34.76000,126.62900,,126.62900,126.75300,479.26290,224.51820,257.55100,258.14900,0.49000,0.48000,0.67640,0.46700,0.89390,41.26480,11.02950,11.02950,7.92830,6.22680,0.11360,2.37540,37.88830,1.64500,-9.66520,0.70680,0.87680,29.88260,2.1554,1.0099
2023-09-30,2064.74400,1204.60300,860.14090,,196.31600,-56.47700,507.16400,352.97680,-60.81100,292.16600,62.97500,229.19100,,229.19100,229.02600,608.96980,352.97680,257.63370,258.22940,0.89000,0.89000,0.73090,0.47340,0.91870,41.65850,17.09540,17.09540,14.15020,11.09220,0.11640,2.37850,37.83930,3.01910,-17.09770,1.29260,1.58980,29.47150,2.1442,1.3063
2023-06-30,2021.09500,1197.34900,823.74600,,216.38500,-10.85900,479.61800,344.12790,-66.40700,277.72100,68.55100,209.17000,,209.17000,209.20800,598.12190,344.12790,257.59700,258.11000,0.81000,0.81000,0.75960,0.47330,0.91160,40.75740,17.02680,17.02680,13.74110,10.35120,0.11640,2.36250,38.09480,2.80410,-17.53820,1.20490,1.47700,28.96260,2.2245,1.3886
2023-03-31,1900.50300,1146.94100,753.56200,,193.66700,-1.86500,438.87300,314.68910,-62.46400,252.22500,54.38900,197.83600,,197.83600,197.81300,559.65110,314.68910,257.37300,257.98900,0.77000,0.77000,0.82000,0.48960,0.97240,39.65070,16.55820,16.55820,13.27150,10.40850,0.11030,2.33280,38.57990,2.73290,-14.14330,1.14840,1.39500,28.11390,1.71460,1.03820
2022-12-31,1869.30100,1137.97300,731.32750,,177.76200,1.23600,419.35500,311.97220,-60.60800,251.36400,57.06300,194.30100,,194.30100,194.35200,556.37710,311.97200,257.38400,258.03900,0.76000,0.76000,0.73890,0.49280,0.98320,39.12310,16.68930,16.68920,13.44700,10.39700,0.10910,2.24170,40.14740,2.73140,-13.28490,1.13400,1.38540,27.66380,2.021,0.9099
2022-09-30,1879.86800,1120.62900,759.23900,,186.88700,-13.43800,432.47100,326.76810,-40.89000,285.87800,48.75300,237.12500,,237.12500,236.91200,560.30810,326.76810,257.19700,257.89200,0.92000,0.92000,0.89240,0.47340,0.90950,40.38790,17.38250,17.38250,15.20730,12.60260,0.11650,2.31820,38.82390,3.41510,-21.15810,1.47000,1.79830,27.00460,2.0391,1.1077
2022-06-30,1816.43500,1087.89200,728.54310,,168.40400,-4.15000,398.95300,329.59000,-47.07600,282.51400,58.30700,224.20700,,224.20700,224.07400,557.27890,329.59000,257.17940,257.73680,0.87000,0.87000,0.94030,0.45190,0.83660,40.10840,18.14490,18.14490,15.55320,12.33590,0.11780,2.27660,39.53290,3.26370,-22.68160,1.45440,1.78870,26.71970,2.0792,1.2326
