,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-12-02,2024-08-31,--,$-25.87
1,2024-07-15,2024-05-31,--,$-24.29
2,2024-04-15,2024-02-29,$-26.99,$-36.44
3,2024-01-15,2023-11-30,$-31.04,$-25.64
4,2023-11-27,2023-08-31,$-43.18,$-41.83
5,2023-07-13,2023-05-31,$-6.75,$-16.19
6,2023-04-13,2023-02-28,--,$-47.23
7,2023-01-13,2022-11-30,--,$-80.97
8,2022-11-23,2022-08-31,--,$-49.93
9,2022-07-12,2022-05-31,--,$-25.64
10,2022-04-11,2022-02-28,--,$-53.98
11,2022-01-13,2021-11-30,--,$-44.53
12,2021-12-03,2021-08-31,--,$-41.83
13,2021-07-14,2021-05-31,--,$-64.77
14,2021-04-14,2021-02-28,--,$-59.38
