Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,699.93100,527.03300,172.89800,20.97700,88.09800,7.20700,101.86810,71.03000,-5.80900,65.22100,13.86200,51.35900,,51.68400,,23.61800,71.03000,71.03000,15.30500,15.65000,1.55000,1.51000,1.40760,0.17720,0.37700,24.70220,10.14810,10.14810,9.31820,3.37430,0.24550,19.49300,0.82970,108.47380,,23.36190,1.81320,3.12360,,0,0
2024-06-30,667.68000,501.23400,166.44600,20.43200,80.97500,,101.40700,65.03900,-3.82900,61.21000,13.65000,47.56000,,47.42500,,18.83900,65.03900,65.03900,15.30400,15.62400,1.23000,1.20000,1.39920,0.16280,0.35620,24.92900,9.74100,9.74100,9.16760,2.82160,0.24700,16.60320,0.83400,107.91330,,22.73330,1.75480,2.99230,,0,0
2024-03-31,698.40100,534.18600,164.21500,20.21700,81.41300,,101.63000,62.58500,-5.60200,56.98300,13.45800,43.52500,,43.62800,,17.15900,62.58500,62.58500,15.30300,15.57100,1.12000,1.10000,1.33010,0.17020,0.38530,23.51300,8.96120,8.96120,8.15910,2.45690,0.24870,15.45540,0.84370,106.67180,,24.52530,1.55360,2.77180,,0.00000,
2023-12-31,640.29110,479.06590,161.22510,19.74800,81.13300,,100.88100,60.34420,-9.21500,51.12900,10.71900,40.41000,,40.58200,,15.71300,60.34420,60.34420,15.30100,15.49800,1.03000,1.00000,1.39590,0.19770,0.41380,25.18000,9.42450,9.42450,7.98530,2.45400,0.22870,11.40420,0.79470,113.24700,,24.64360,1.44980,2.48880,,19.0327,17.0845
2023-09-30,654.83900,495.22200,159.61700,19.70200,81.66900,,101.37100,58.24600,-6.42300,51.82300,12.48600,39.33700,,39.72900,,15.59600,58.24600,58.24600,15.30200,15.54400,1.02000,1.00000,1.40630,0.21840,0.47090,24.37500,8.89470,8.89470,7.91390,2.38170,0.24650,13.32820,0.85520,105.23710,,34.22290,1.49530,2.53170,,0,0
2023-06-30,655.37400,494.43600,160.93800,19.21000,81.74400,,100.95400,59.98400,-5.61200,54.37200,11.38000,42.99200,,43.16600,,17.02100,59.98400,59.98400,15.30100,15.48100,1.12000,1.11000,1.39760,0.23820,0.49320,24.55670,9.15260,9.15260,8.29630,2.59710,0.24040,12.55740,0.84620,106.36230,,55.30060,1.58320,2.67870,,0,0
2023-03-31,670.39900,508.46800,161.93100,19.30800,81.82900,,101.13700,60.79400,-7.08400,53.71000,11.49000,42.22000,,42.25500,,15.68400,60.79400,60.79400,15.30000,15.46400,1.02000,1.01000,1.35120,0.24220,0.52120,24.15440,9.06830,9.06830,8.01160,2.33950,0.24190,13.16350,0.83940,107.22310,,81.80250,1.52490,2.69050,,0.00000,
2022-12-31,657.06700,494.18600,162.88100,18.86700,83.88900,0.05200,102.70400,60.17690,-6.90200,53.27500,10.90700,42.36800,,39.98500,,15.33900,60.17690,60.17690,15.29600,15.50300,0.98000,0.96000,1.37010,0.26370,0.55030,24.78910,9.15840,9.15840,8.10800,2.33450,0.23520,14.04700,0.85640,105.09370,3.39740,142.62450,1.43110,2.50150,76.83260,15.4251,13.1327
2022-09-30,627.68200,473.44400,154.23800,18.06400,78.64500,,96.70900,57.52900,-4.62900,52.90000,11.40500,41.49500,,41.45700,,16.87700,57.52900,57.52900,15.29600,15.53200,1.11000,1.09000,1.40070,0.26760,0.57040,24.57260,9.16530,9.16530,8.42780,2.68880,0.23330,13.12680,0.84860,106.05150,,409.49140,1.54080,2.65160,,0,0
2022-06-30,636.89200,487.38800,149.50400,17.84800,76.32900,44.20800,49.96900,99.53500,-3.71600,95.81900,21.42100,74.39800,,74.77800,,32.94300,99.53500,99.53500,15.29600,15.48800,2.16000,2.12000,1.32010,0.20560,0.48250,23.47400,15.62820,15.62820,15.04480,5.17250,0.24420,13.26440,0.87590,102.75550,,452.46020,2.86740,5.11490,,0,0
2022-03-31,650.71600,494.87400,155.84200,17.35000,79.09300,,96.44300,59.39900,-4.68300,54.71600,11.50200,43.21400,,43.44700,,16.23400,59.39900,59.39900,15.29200,15.50300,1.06000,1.04000,1.28750,0.22400,0.54810,23.94930,9.12830,9.12830,8.40860,2.49480,0.23010,14.77370,0.86240,104.36480,,-176.86500,1.53610,2.86340,,0.00000,
2021-12-31,657.60090,501.88100,155.71990,16.73700,79.40900,,96.14590,59.57400,-7.38200,52.19200,12.60000,39.59200,,39.74400,,15.53800,59.57400,59.57400,15.29000,15.29000,1.02000,0.99000,1.37410,0.23490,0.49710,23.68000,9.05930,9.05930,7.93670,2.36280,0.23930,23.65020,0.85580,105.16940,3.36870,795.38490,1.44600,2.57730,77.14050,13.6752,11.8504
