Date,revenue,cost-goods-sold,gross-profit,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,316.57800,87.92500,228.65300,228.65300,-21.07900,207.57400,31.39900,176.17500,176.17500,176.17500,235.42600,228.65300,105.26600,106.55400,1.67000,1.65000,,72.22640,72.22640,65.56800,55.64980,0.04440,3.12310,3.16230,2.47210,3.12310,53.11460,2.159,2.1542
2024-06-30,312.94200,55.65300,257.28900,257.28900,-18.06400,239.22500,35.61600,203.60900,203.60900,203.60900,263.88900,257.28900,105.65700,106.77800,1.93000,1.91000,0.07850,82.21620,82.21620,76.44390,65.06290,0.04680,3.78470,3.83480,3.04220,3.78470,50.57520,1.767,1.7571
2024-03-31,298.35700,67.26200,231.09500,231.09500,-17.35300,213.74200,32.02300,181.71900,181.71900,181.71900,237.02900,231.09500,105.69700,106.77000,1.72000,1.70000,0.08080,77.45590,77.45590,71.63970,60.90660,0.04540,3.47710,3.52590,2.76800,3.47710,48.96060,2.03180,1.98980
2023-12-31,297.27700,74.88800,222.38900,222.38900,-19.42800,202.96100,27.59400,175.36710,175.36710,175.36700,228.18800,222.38900,106.22200,107.12900,1.66000,1.64000,0.08270,74.80870,74.80870,68.27340,58.99110,0.04630,3.43690,3.48660,2.72870,3.43690,47.86770,2.0062,1.986
2023-09-30,296.10800,65.63600,230.47200,230.47200,-21.02900,209.44300,31.48400,177.95900,177.95900,177.95900,235.95100,230.47200,105.97900,107.02500,1.68000,1.66000,0.08770,77.83380,77.83380,70.73200,60.09940,0.04860,3.70130,3.75150,2.92010,3.70130,44.98220,1.8246,1.8148
2023-06-30,260.12800,43.43400,216.69400,216.69400,-7.39400,209.30000,37.06700,172.23300,172.23300,172.23300,220.93900,216.69400,106.24900,107.09300,1.62000,1.61000,0.08900,83.30280,83.30280,80.46040,66.21090,0.04350,3.63870,3.63870,2.87860,3.63870,44.24190,1.5739,1.5701
2023-03-31,256.24600,48.01500,208.23100,208.23100,-6.93600,201.29500,30.46800,170.82700,170.82700,170.82700,212.13200,208.23100,106.94300,107.58500,1.60000,1.59000,0.09060,81.26220,81.26220,78.55540,66.66520,0.04320,3.67450,3.67450,2.88190,3.67450,43.18210,1.71760,1.71400
2022-12-31,230.03700,50.99600,179.04100,179.04100,-6.04500,172.99600,25.63000,147.36600,147.36600,147.36600,183.52800,179.04100,107.20500,107.65300,1.38000,1.38000,0.09430,77.83140,77.83140,75.20360,64.06190,0.04020,3.30250,3.30250,2.57460,3.30250,41.43930,1.5897,1.5761
2022-09-30,261.76700,46.39600,215.37100,215.37100,-4.45000,210.92100,32.87000,178.05100,178.05100,178.05100,220.31400,215.37100,106.87000,107.33700,1.67000,1.66000,0.09790,82.27580,82.27580,80.57590,68.01890,0.04710,4.14630,4.14630,3.20410,4.14630,39.87310,1.6065,1.5985
2022-06-30,244.40900,-34.30100,278.71000,278.71000,-2.88700,275.82300,44.05400,231.76900,231.76900,231.76900,282.77300,278.71000,106.92100,107.28300,2.17000,2.16000,0.09840,114.03430,114.03430,112.85310,94.82840,0.04430,5.42530,5.42530,4.19790,5.42530,39.66720,0.61,0.6012
2022-03-31,264.61100,-66.06200,330.67300,330.67300,-2.22600,328.44700,54.28000,274.16700,274.16700,274.16700,338.55100,330.67300,108.16600,108.59000,2.53000,2.52000,0.09970,124.96570,124.96570,124.12450,103.61130,0.04740,6.50440,6.50450,4.90800,6.50450,38.97790,1.66340,1.65680
2021-12-31,256.91600,37.79900,219.11700,219.11700,-2.09500,217.02200,36.03500,180.98700,180.98700,180.98700,228.35700,219.11700,111.16400,111.55500,1.64000,1.64000,0.09910,85.28740,85.28740,84.47200,70.44600,0.04490,4.27250,4.27250,3.16290,4.27250,38.72950,1.7059,1.6988
2021-09-30,283.53600,34.78900,248.74700,248.74700,-2.06300,246.68400,41.33100,205.35300,205.35300,205.35300,259.14100,248.74700,111.00100,111.38700,1.85000,1.84000,0.07740,87.73030,87.73030,87.00270,72.42570,0.05070,4.92690,4.92690,3.67390,4.92690,37.57820,1.6304,1.6219
2021-06-30,243.26100,50.76500,192.49600,192.49600,-2.07300,190.42300,30.62800,159.79500,159.79500,159.79500,202.64900,192.49600,112.11800,112.45400,1.43000,1.42000,0.07890,79.13150,79.13150,78.27930,65.68870,0.04410,3.91190,3.91190,2.89390,3.91190,36.31570,1.3507,1.349
2021-03-31,244.79700,74.56100,170.23600,170.23600,-2.05100,168.18500,32.53700,135.64800,135.64800,135.64800,177.56700,170.23600,112.01600,112.37800,1.21000,1.21000,0.08210,69.54170,69.54170,68.70390,55.41240,0.04590,3.45960,3.45960,2.54410,3.45960,34.74560,1.67090,1.66580
