Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,1291.60600,898.49200,393.11400,105.53500,-1.33800,106.87300,286.24100,-0.35800,285.88300,68.62900,217.25400,217.25400,217.25400,292.00000,286.24100,36.99600,37.52700,5.87000,5.79000,1.07230,0.26890,0.36780,30.43610,22.16160,22.16160,22.13390,16.82050,0.25540,8.31260,10.82700,6.85710,6.85710,4.29510,5.01320,86.34190,0.32480,0.15840
2021-12-31,1504.40800,1066.14200,438.26590,127.97000,-0.14800,128.11800,310.14830,1.34900,311.49700,74.03700,237.45990,237.45990,237.45990,316.50130,310.14810,37.61000,38.23300,6.35000,6.24000,1.43740,0.27590,0.38100,29.13210,20.61600,20.61600,20.70560,15.78430,0.31290,10.19610,8.82690,7.79990,7.79990,4.93930,5.64790,81.52940,2.5277,2.3287
2021-09-30,1265.11300,887.46500,377.64810,116.14400,-0.98400,117.12800,260.52010,1.18900,261.70900,60.95700,200.75200,200.75200,200.75200,266.99810,260.52010,37.64700,38.22900,5.33000,5.25000,1.36280,0.29130,0.41100,29.85090,20.59260,20.59260,20.68660,15.86830,0.27710,8.50540,10.58160,7.10560,7.10560,4.39720,5.03580,75.23020,-2.7672,-2.9469
2021-06-30,1283.26400,932.63000,350.63400,117.04500,-1.05000,118.09500,232.53890,-16.88800,215.65100,48.26200,167.38900,167.38900,167.38900,239.41790,232.53890,37.81800,38.37700,4.43000,4.36000,1.67290,0.30650,0.44190,27.32360,18.12090,18.12090,16.80490,13.04400,0.29690,9.78810,9.19480,6.36910,6.36910,3.87340,4.41700,69.81020,-3.3747,-3.5249
2021-03-31,1088.53200,816.57900,271.95290,105.69300,-0.99100,106.68410,165.26890,0.70800,165.97700,34.13400,131.84300,131.84300,131.84300,171.80390,165.26890,37.64400,38.33900,3.50000,3.44000,1.63290,0.29180,0.41210,24.98350,15.18270,15.18270,15.24780,12.11200,0.26950,10.58270,8.50450,5.32330,5.32330,3.26470,3.76990,65.43960,-0.36380,-0.49180
2020-12-31,1415.70500,1092.39100,323.31400,130.97500,-0.32200,131.29700,192.01710,3.34800,195.36500,42.83800,152.52700,152.52700,152.52700,200.57310,192.01700,37.71800,38.48400,4.05000,3.95000,1.82040,0.30290,0.43450,22.83770,13.56340,13.56340,13.79980,10.77390,0.36630,14.36200,6.26650,6.49640,6.49640,3.94700,4.52880,62.58980,4.0669,3.9382
2020-09-30,1143.03000,894.01400,249.01610,114.01900,-0.62400,114.64300,134.37300,1.13300,135.50600,26.38800,109.11800,109.11800,109.11800,142.31810,134.37300,37.60700,38.40500,2.90000,2.84000,1.64570,0.31670,0.46360,21.78560,11.75590,11.75590,11.85500,9.54640,0.31000,11.82010,7.61410,4.96020,4.96020,2.95930,3.38910,58.48800,3.4935,3.3868
2020-06-30,1037.55700,813.83100,223.72600,106.58400,-0.68900,107.27300,116.45300,-0.59100,115.86200,25.18400,90.67800,90.67800,90.67800,123.99300,116.45300,37.59900,38.16900,2.41000,2.38000,1.42450,0.32800,0.48810,21.56280,11.22380,11.22380,11.16680,8.73960,0.29300,11.05290,8.14270,4.34990,4.34990,2.56030,2.92320,55.43560,5.0896,4.9603
2020-03-31,904.92500,722.27000,182.65500,95.34300,-1.07400,96.41700,86.23800,0.59500,86.83300,15.68100,71.15200,71.15200,71.15200,93.24900,86.23800,38.08500,38.81700,1.87000,1.83000,2.30250,0.43270,0.76260,20.18460,9.52980,9.52980,9.59560,7.86280,0.23120,11.01280,8.17230,3.57410,3.57410,1.81770,2.02770,52.95010,1.13130,0.99640
2019-12-31,1141.60400,917.52780,224.07620,111.15500,-0.49200,111.64720,112.42910,-1.89400,110.53500,6.92100,103.61400,103.61400,103.61400,120.79910,112.42900,38.10000,38.89100,2.74000,2.67000,1.13220,0.34050,0.51620,19.62820,9.84830,9.84830,9.68240,9.07620,0.33590,12.90070,6.97640,5.24900,5.24900,3.04900,3.46190,51.67650,4.6351,4.4833
2019-09-30,945.19700,754.78900,190.40800,100.64100,1.26500,99.37600,91.03200,1.33400,92.36600,22.55700,69.80900,69.80900,69.80900,98.20400,91.03200,38.29600,39.07900,1.82000,1.79000,1.29850,0.41150,0.69910,20.14480,9.63100,9.63100,9.77210,7.38570,0.26000,10.99550,8.18520,3.72600,3.72600,1.92040,2.19290,48.91950,1.3679,1.2115
2019-06-30,868.77000,707.23400,161.53600,94.90400,1.87100,93.03300,68.50300,-0.82900,67.67400,16.84600,50.82800,50.82800,50.82800,75.05200,68.50300,38.26600,38.88900,1.33000,1.31000,1.48480,0.42110,0.72740,18.59360,7.88510,7.88510,7.78960,5.85060,0.25060,10.58740,8.50070,2.82680,2.82680,1.46610,1.63640,46.98830,2.0845,1.9104
2019-03-31,711.37300,591.31700,120.05600,86.12100,1.47400,84.64700,35.40900,-3.03900,32.37000,6.95800,25.41200,25.41200,25.41200,41.24100,35.40900,38.21500,38.84900,0.66000,0.65000,1.31680,0.42890,0.75110,16.87670,4.97760,4.97760,4.55040,3.57220,0.20950,8.89330,10.12000,1.45790,1.45790,0.74830,0.83250,45.55380,0.83020,0.69730
2018-12-31,1013.19100,820.09090,193.10010,105.51400,6.09600,99.41780,93.68230,-1.90600,91.77600,16.29100,75.48500,75.48500,75.48500,101.19020,93.68230,40.10700,40.72800,1.93000,1.87000,1.31520,0.43220,0.76130,19.05860,9.24630,9.24630,9.05810,7.45020,0.30110,13.10980,6.86510,4.38670,4.38670,2.24290,2.49060,45.19620,4.635,4.3958
2018-09-30,888.41300,726.06400,162.34900,96.18800,2.48900,93.69900,68.65000,2.75900,71.40900,17.27400,54.13500,54.13500,54.13500,75.50000,68.65000,40.28300,40.85500,1.34000,1.33000,0.85650,0.43370,0.76600,18.27400,7.72730,7.72730,8.03780,6.09350,0.25760,11.16480,8.06110,3.16120,3.16120,1.56990,1.79010,42.84850,2.0568,1.8578
2018-06-30,881.36500,718.66700,162.69800,95.02800,1.78100,93.24700,69.45100,1.73400,71.18500,17.34700,53.83800,53.83800,53.83800,76.19300,69.45100,40.64700,41.16400,1.32000,1.31000,0.81130,0.43790,0.77910,18.45980,7.87990,7.87990,8.07670,6.10850,0.25960,11.24260,8.00530,3.19900,3.19900,1.58590,1.79810,41.40180,0.1672,-0.0582
2018-03-31,745.61200,619.44400,126.16800,83.64500,-1.48400,85.12910,41.03890,7.84500,48.88400,5.01000,43.87400,43.87400,43.87400,46.90490,41.03890,40.48800,41.14000,1.08000,1.07000,0.84240,0.44650,0.80680,16.92140,5.50410,5.50410,6.55620,5.88430,0.22410,10.02440,8.97810,2.69940,2.69940,1.31870,1.49400,40.00130,-0.42120,-0.57560
2017-12-31,950.48610,775.20000,175.28610,95.97300,2.63300,93.34000,81.94610,2.14400,84.09000,48.53700,35.55300,35.55300,35.55300,86.57910,81.94610,40.28700,42.22800,0.88000,0.85000,0.87170,0.44880,0.81420,18.44170,8.62150,8.62150,8.84710,3.74050,0.29230,11.98340,7.51040,2.25470,2.25470,1.09350,1.24280,39.09710,2.0885,1.949
2017-09-30,809.14600,660.99600,148.15000,87.48100,1.96500,85.51600,62.63400,0.82100,63.45500,20.90500,42.55000,42.55000,42.55000,66.83300,62.63400,40.32300,42.01100,1.06000,1.02000,0.70140,0.45870,0.84740,18.30940,7.74080,7.74080,7.84220,5.25860,0.24880,10.25110,8.77960,2.76460,2.76460,1.30840,1.49650,38.16660,-1.0957,-1.1838
