Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,36.65100,36.65100,8.83500,-0.56200,15.87500,9.17400,25.04900,25.04900,25.04900,25.04900,25.69800,27.25400,38.39100,38.39100,0.65000,0.65000,0.36060,0.51670,1.06930,100.00000,43.31400,74.36090,68.34470,68.34470,0.03410,6.48350,13.88150,4.93710,4.93710,2.32890,2.38590,13.38570,0.6907,0.6907
2024-06-30,34.19300,34.19300,8.32000,-0.41500,14.59100,-6.30000,8.29100,8.29100,8.29100,8.29100,24.44900,25.45800,39.18100,39.18100,0.21000,0.21000,0.62900,0.52000,1.08350,100.00000,42.67250,74.45380,24.24770,24.24770,0.03170,5.93630,15.16100,1.63730,1.63730,0.76890,0.78580,13.13680,-0.9338,-0.9338
2024-03-31,40.00900,40.00900,9.84600,-0.63900,18.66400,-6.61700,12.04700,12.04700,12.04700,12.04700,26.35100,29.52400,40.39200,40.39200,0.30000,0.30000,0.53850,0.47340,0.89890,100.00000,46.64950,73.79340,30.11070,30.11070,0.03880,5.84410,15.40000,2.27530,2.27530,1.16850,1.19830,13.36300,1.69830,1.69830
2023-12-31,39.22500,39.22500,9.48900,-1.04800,18.31700,-23.10200,-4.78500,-4.78500,-4.78500,-4.78500,28.12800,28.68800,40.50900,40.50900,-0.13000,-0.13000,0.51080,0.48250,0.93240,100.00000,46.69730,73.13700,-12.19880,-12.19890,0.03630,4.74360,18.97290,-0.87470,-0.87470,-0.44340,-0.45260,13.50490,-1.5216,-1.5216
2023-09-30,43.77900,43.77900,10.72800,-0.57300,22.03600,-7.21400,14.82200,14.82200,14.82200,14.82200,30.91800,32.47800,40.51000,40.51000,0.37000,0.37000,1.01680,0.43600,0.77300,100.00000,50.33460,74.18630,33.85640,33.85640,0.04230,5.37030,16.75870,2.59810,2.59810,1.43320,1.46540,14.08310,2.5299,2.5299
2023-06-30,41.89500,41.89500,10.36200,-0.44700,19.67600,2.64400,22.32000,22.32000,22.32000,22.32000,29.71800,31.08600,40.50900,40.50900,0.55000,0.55000,2.23990,0.48810,0.95360,100.00000,46.96500,74.19980,53.27600,53.27600,0.03670,5.16580,17.42210,3.88920,3.88920,1.95510,1.99080,14.16720,2.2246,2.2246
2023-03-31,39.31000,39.31000,9.65300,-0.49100,18.24600,-6.26200,11.98400,11.98400,11.98400,11.98400,26.99900,29.16600,40.50900,40.50900,0.30000,0.30000,0.63290,0.50610,1.02480,100.00000,46.41570,74.19490,30.48590,30.48590,0.03350,4.26730,21.09080,2.10320,2.10320,1.02130,1.03870,14.06620,-0.45730,-0.45730
2022-12-31,36.45700,36.45700,9.12500,-0.50800,18.36000,0.13200,18.49200,18.49200,18.49200,18.49200,25.12900,26.82400,40.97100,40.97100,0.45000,0.45000,0.86690,0.48800,0.95300,100.00000,50.36070,73.57710,50.72280,50.72280,0.03190,4.15890,21.64030,3.21010,3.21010,1.61960,1.64370,14.22040,-4.7579,-4.7579
2022-09-30,27.03700,27.03700,7.63300,-0.52400,14.49800,-2.77600,11.72200,11.72200,11.72200,11.72200,18.27900,18.88000,40.77400,40.77400,0.29000,0.29000,1.00300,0.36970,0.58670,100.00000,53.62280,69.83020,43.35540,43.35540,0.02930,4.34250,20.72560,2.04340,2.04340,1.27100,1.28780,14.11710,-2.2534,-2.2534
2022-06-30,25.02500,25.02500,7.72200,-0.48800,14.47900,-15.29600,-0.81700,-0.81700,-0.81700,-0.81700,16.31100,16.81500,41.21600,41.21600,-0.02000,-0.02000,1.02780,0.28290,0.39450,100.00000,57.85810,67.19280,-3.26470,-3.26470,0.03060,7.14980,12.58770,-0.14100,-0.14100,-0.09980,-0.10110,14.14340,-1.3049,-1.3049
