Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.19610,,-0.19610,1.17760,0.98150,0.98150,0.98150,0.98150,-0.19610,-0.19610,2.44250,2.44250,0.09000,0.09000,8.56230,,-50.58680,-50.58660,1.10270,-50.58680,-0.79430,-0.0233,-0.0233
2024-06-30,,-0.10660,-0.10660,0.20940,0.10290,0.10290,0.10290,0.10290,-0.10660,-0.10660,2.21030,2.21030,0.03000,0.03000,50.56580,,-5.89860,-5.89860,0.11700,-5.89860,-0.71400,-0.0888,-0.0888
2024-03-31,0.01540,,-0.01540,,-0.01540,-0.01540,-0.01540,-0.01540,-0.01540,-0.01540,1.87500,1.87500,-0.01000,-0.01000,,2.12640,-160.33530,-160.33530,-17.31710,-160.33530,0.00450,0.00000,
