Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,5.49350,7.83420,-13.32770,-1.33700,-14.66470,-14.66470,-14.66470,-14.66470,-13.25910,-13.32770,39.33590,39.79420,-0.37000,-0.40000,1.76720,,,,,,,,,-946.47240,-96.70150,-39.32270,-96.70150,0.37380,-0.187,-0.187
2024-06-30,,,7.34550,6.35820,-13.70370,12.78430,-0.91940,-0.91940,-0.91940,-0.91940,-13.63770,-13.70370,35.81940,37.44630,-0.03000,-0.18000,1.83970,,,,,,,,,-20.26220,-7.42570,-3.12870,-7.42570,0.34540,-0.2792,-0.2796
2024-03-31,,,7.08800,4.91340,-12.00150,-14.64050,-26.64200,-26.64200,-26.64200,-26.64200,-11.91300,-12.00150,29.34670,29.34670,-0.91000,-0.91000,1.44890,,,,,,,,,583.40700,-213.11720,-62.09030,-213.11720,0.37690,-0.45530,-0.45600
2023-12-31,,,7.73740,4.81050,-12.54790,4.60680,-7.94110,-7.88110,-7.88110,-7.88110,-12.47790,-12.54790,12.22160,12.22160,-0.41000,-0.41000,0.41220,,,,,,,,,39.73020,51.98980,-65.26490,51.98980,-0.73080,-0.6347,-0.6526
2023-09-30,,,7.03470,2.37880,-9.41350,-8.10690,-17.52040,-17.52040,-17.52040,-17.52040,-9.37230,-9.41350,11.30870,11.30870,-1.55000,-1.55000,1.22090,,,,,,,,,118.90420,131.21090,-81.29820,131.21090,-1.34630,-0.7079,-0.7607
2023-06-30,,,6.13500,2.15900,-8.29400,-1.88460,-10.17860,-10.17860,-10.17860,-10.17860,-8.25540,-8.29400,11.26120,11.26120,-0.90000,-0.90000,0.87030,,,,,,,,,550.48550,2179.56000,-156.37400,2179.56200,-0.04790,-0.6687,-0.6687
2023-03-31,,,6.35930,2.34600,-8.70530,1.51480,-7.19050,-7.19050,-7.19050,-7.19050,-8.66270,-8.70530,11.26120,11.26120,-0.64000,-0.64000,1.99070,,,,,,,,,-120.79870,-98.03680,-48.45830,-98.03680,0.75290,-0.63790,-0.63790
2022-12-31,,,4.49980,2.92270,-7.42250,-3.04390,-10.46650,-10.40650,-10.40650,-10.40650,-7.38440,-7.42250,7.05570,7.05570,-1.01000,-1.01000,1.78490,,,,,,,,,-127.63580,-127.63580,-48.20080,-127.63580,0.86880,-0.6599,-0.6742
2022-09-30,,,5.38020,2.43530,-7.81550,0.00420,-7.81130,-7.81130,-7.81130,-7.81130,-7.78250,-7.81550,6.11010,6.11010,-1.28000,-1.28000,2.87960,,,,,,,,,-68.71030,-61.26280,-40.43230,-61.26280,2.08680,-1.1478,-1.1489
2022-06-30,,,4.49870,2.93690,-7.43550,0.00050,-7.43500,-7.43500,-7.43500,-7.43500,-7.40160,-7.43550,6.11010,6.11010,-1.22000,-1.22000,4.51030,,,,,,,,,-39.52280,-36.81800,-28.71520,-36.81800,3.30510,-0.9423,-0.954
2022-03-31,,,3.88700,2.25320,-6.14020,0.00040,-6.13980,-6.13980,-6.13980,-6.13980,-6.09680,-6.14020,6.11010,6.11010,-1.00000,-1.00000,6.74960,,,,,,,,,-23.77270,-22.56520,-19.19280,-22.56520,4.45310,-0.82480,-0.82970
2021-12-31,,,4.38820,1.53520,-5.92340,0.00530,-5.91810,-5.91810,-5.91810,-5.91810,-5.88410,-5.92340,5.55160,5.55160,-0.94000,-0.94000,9.16490,,,,,,,,,-18.69080,-17.90910,-15.90810,-17.90910,5.40840,-1.049,-1.0726
2021-09-30,,,3.93750,1.88220,-5.81970,0.00060,-5.81910,-5.81910,-5.81910,-5.81910,-5.78290,-5.81970,5.98680,5.98680,-0.97000,-0.97000,13.07460,,,,,,,,,-15.64120,-15.08100,-13.87040,-15.08100,6.31500,-0.8124,-0.8128
2021-06-30,,,4.62760,1.40110,-6.02870,0.00070,-6.02800,-6.02800,-6.02800,-6.02800,-5.99000,-6.02870,5.27640,5.27640,-1.14000,-1.14000,13.39350,,,,,,,,,-17.05450,-13.70530,-12.62740,-13.70530,7.95820,-1.2166,-1.2181
2021-03-31,,,4.63320,1.72630,-6.35950,0.00240,-6.35720,-6.35720,-6.35720,-6.35720,-6.32440,-6.35950,4.81390,4.81390,-1.30000,-1.30000,10.83780,,,,,,,,,-16.71680,-12.77160,-11.54490,-12.77160,9.44050,-0.98730,-0.98730
2020-12-31,,,2.37500,1.42450,-3.79950,0.18440,-3.61510,-3.61510,-3.61510,-3.61510,-3.76360,-3.79950,1.98130,1.98130,0.70000,0.70000,16.26110,,,,,,,,,-10.40050,-6.59750,-6.16280,-6.59750,12.05810,-3.2095,-3.2238
2020-09-30,,,2.68390,1.22600,-3.90990,0.00040,-3.90960,-3.90960,-3.90960,-3.90960,-3.87400,-3.90990,2.63270,2.63270,-1.50000,-1.50000,5.00630,0.01120,0.01130,,,,,,,-25.93320,-24.09790,-18.88980,-23.82760,6.05050,0.9346,0.9501
2020-06-30,,,2.46540,1.15680,-3.62220,0.01030,-3.61190,-3.61190,-3.61190,-3.61190,-3.58660,-3.62220,1.37940,1.37940,-2.60000,-2.60000,6.94140,0.00910,0.00920,,,,,,,-19.17460,-18.07290,-15.14270,-17.90810,7.84600,-1.0169,-1.0384
2020-03-31,,,2.61630,1.34230,-3.95870,0.00100,-3.95760,-3.95760,-3.95760,-3.95760,-3.92470,-3.95870,0.93900,0.93900,-4.20000,-4.20000,2.57760,,,,,,,,,-96.58030,-75.44130,-45.54450,-75.44130,5.58320,-3.74040,-3.75160
2019-12-31,,,2.17430,1.21030,-3.38460,0.00470,-3.37990,-3.37990,-3.37990,-3.37990,-3.35200,-3.38460,0.76750,0.76750,-2.00000,-2.00000,4.11070,,,,,,,,,-42.72300,-37.30820,-27.58920,-37.30820,9.64900,-5.6345,-5.6465
2019-09-30,,,2.70380,1.26000,-3.96390,0.06010,-3.90380,-3.90380,-3.90380,-3.90380,-3.93000,-3.96390,0.93870,0.93870,-4.20000,-4.20000,4.95380,,,,,,,,,-35.22270,-31.91620,-24.93010,-31.91620,13.03020,-1.7485,-1.746
2019-06-30,,,1.80950,1.39080,-3.20040,0.01280,-3.18760,-3.18760,-3.18760,-3.18760,-3.16670,-3.20040,0.69630,0.69630,-4.60000,-4.60000,6.80010,,0.00000,,,,,,,-21.48350,-19.94040,-16.65770,-19.94040,17.02940,-1.9552,-1.9646
