Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,38.63300,12.14100,26.49200,4.87800,13.79900,12.69300,-4.85200,7.84100,0.11800,7.72300,,7.72300,,7.62400,21.92500,12.69300,50.29700,51.30500,0.15000,0.15000,0.59850,1.49070,32.85530,32.85530,20.29610,19.73440,0.03470,1.81720,1.81720,0.69420,0.72960,8.39170,0.3175,0.5897
2024-06-30,37.64700,10.92700,26.72000,6.55200,15.07300,11.64700,-8.93100,2.71600,0.09000,2.62600,,2.62600,,2.59200,20.45800,11.64700,49.96000,51.12000,0.05000,0.05000,0.61100,1.57060,30.93740,30.93740,7.21440,6.88500,0.03300,0.61960,0.61960,0.23030,0.24100,8.46590,0.2397,-0.3166
2024-03-31,37.16400,10.58700,26.57700,6.18000,14.98000,11.59700,-2.01400,9.58300,0.11900,9.46400,,9.46400,,9.34000,20.68400,11.59700,49.94000,51.11200,0.19000,0.18000,0.60150,1.50960,31.20490,31.20490,25.78570,25.13190,0.03310,2.21500,2.21500,0.84370,0.88260,8.55230,0.22550,0.13580
2023-12-31,37.52400,11.94900,25.57500,5.00200,16.58500,8.99000,-7.31600,1.67400,0.11100,1.56300,,1.56300,,1.54100,17.70900,8.99000,49.50100,50.81300,0.03000,0.03000,0.60410,1.52560,23.95800,23.95800,4.46120,4.10670,0.03370,0.37250,0.37250,0.14040,0.14750,8.45820,0.2287,0.2716
2023-09-30,37.13400,11.55500,25.57900,5.39200,13.72400,11.85500,-9.23900,2.61600,0.09500,2.52100,,2.52100,,2.48600,20.47800,11.85500,49.53400,50.63700,0.05000,0.05000,0.59380,1.46170,31.92490,31.92490,7.04480,6.69470,0.03320,0.58240,0.58240,0.22560,0.23660,8.73020,0.2761,0.2003
2023-06-30,36.46000,11.66600,24.79400,5.17500,13.53500,11.25900,0.33100,11.59000,0.12500,11.46500,,11.46500,,11.30600,19.91400,11.25900,49.42600,50.25900,0.23000,0.22000,0.60100,1.50640,30.88040,30.88040,31.78830,31.00930,0.03230,2.65690,2.65690,1.01560,1.06010,8.71390,0.334,-0.0091
2023-03-31,35.85100,10.79400,25.05700,5.08400,12.93000,12.12700,-8.10700,4.02000,0.11900,3.90100,,3.90100,,3.84700,20.27900,12.12700,49.42400,50.16000,0.08000,0.08000,0.60100,1.50630,33.82610,33.82610,11.21310,10.73050,0.03280,0.93210,0.93210,0.35660,0.37190,8.46800,0.09800,0.02760
2022-12-31,34.91800,10.17500,24.74300,5.00300,12.81000,11.93300,8.40600,20.33900,0.10900,20.23000,,20.23000,,19.93900,20.25500,11.93300,49.25600,49.95000,0.41000,0.40000,0.59570,1.47350,34.17440,34.17430,58.24790,57.10230,0.03170,4.76610,4.76610,1.83450,1.92690,8.58820,0.222,0.4854
2022-09-30,35.38300,11.83000,23.55300,4.83200,12.72100,10.83200,-6.74500,4.08700,0.11200,3.97500,,3.97500,,3.91500,18.99700,10.83200,49.27400,50.12900,0.08000,0.08000,0.60790,1.55020,30.61360,30.61360,11.55080,11.06460,0.03220,0.96720,0.96720,0.36140,0.37920,8.32260,0.3016,0.2435
2022-06-30,34.99700,11.19800,23.79900,5.18200,13.04400,10.75500,-6.24900,4.50600,0.10000,4.40600,,4.40600,,4.33800,18.89000,10.75500,49.14700,50.04700,0.09000,0.09000,0.61090,1.56980,30.73120,30.73120,12.87540,12.39540,0.03210,1.08410,1.08410,0.40460,0.42190,8.25380,0.2682,0.1912
2022-03-31,34.12300,10.09200,24.03100,3.04900,10.95900,13.07200,-5.78200,7.29000,0.10100,7.18900,,7.18900,,7.07800,21.25700,13.07200,49.14500,50.30600,0.14000,0.14000,0.61400,1.59050,38.30850,38.30850,21.36390,20.74260,0.03120,1.77580,1.77580,0.65650,0.68550,8.23720,0.09770,0.03090
2021-12-31,33.25800,10.46300,22.79500,6.58900,13.47200,9.32300,-6.56400,2.75900,0.11100,2.64800,,2.64800,,2.60800,17.08900,9.32300,45.48600,46.33600,0.05000,0.05000,0.61700,1.61100,28.03230,28.03230,8.29580,7.84170,0.03020,0.66360,0.66360,0.24030,0.25420,8.11970,0.3523,-0.3741
2021-09-30,32.44400,10.37800,22.06600,5.67200,13.01200,9.05400,-6.00800,3.04600,0.10000,2.94600,,2.94600,,2.89900,16.66800,9.05400,46.88300,47.82500,0.06000,0.06000,0.61080,1.56910,27.90660,27.90660,9.38850,8.93540,0.03030,0.74720,0.74720,0.27510,0.29080,8.07290,0.3436,-0.8196
2021-06-30,30.61800,9.60400,21.01400,4.73000,11.83500,9.17900,-5.70700,3.47200,0.08700,3.38500,,3.38500,1.83300,5.12600,16.55800,9.17900,43.37800,44.12500,0.12000,0.12000,0.62650,1.67760,29.97910,29.97910,11.33970,16.74180,0.02960,0.92420,0.92420,0.32730,0.34520,8.01600,0.2246,0.1806
2021-03-31,29.04500,8.87700,20.16800,5.63400,12.64700,7.52100,-5.99300,1.52800,0.08700,1.44100,,1.44100,,1.41500,14.80800,7.52100,42.49500,43.33100,0.03000,0.03000,0.65600,1.90690,25.89430,25.89430,5.26080,4.87180,0.02800,0.42590,0.42590,0.13900,0.14650,7.94690,0.09470,0.05940
2020-12-31,29.83400,9.96600,19.86800,5.69900,12.89000,6.97800,-3.71600,3.26200,0.09100,3.17100,,3.17100,,3.11200,14.44300,6.97800,42.24400,42.99000,0.07000,0.07000,0.65570,1.90400,23.38940,23.38940,10.93380,10.43110,0.02850,0.93730,0.93730,0.30340,0.32270,7.98110,0.3223,0.2848
2020-09-30,29.90000,9.69900,20.20100,5.86000,13.03100,7.17000,-6.15100,1.01900,0.10500,0.91400,,0.91400,,0.90000,14.61800,7.17000,42.34600,43.44000,0.02000,0.02000,0.66470,1.98210,23.97990,23.97990,3.40800,3.01000,0.02810,0.27180,0.27180,0.08580,0.09110,7.93950,0.3472,0.2849
2020-06-30,27.59700,8.78000,18.81700,4.64400,11.61400,7.20300,-6.68800,0.51500,0.09600,0.41900,,0.41900,,0.41000,14.45300,7.20300,42.21200,42.76300,0.01000,0.01000,0.66740,2.00690,26.10070,26.10070,1.86610,1.48570,0.02580,0.12430,0.12430,0.03910,0.04130,7.95940,0.2043,0.1699
2020-03-31,30.58400,10.13300,20.45100,5.10000,12.07100,8.38000,-6.64600,1.73400,0.08700,1.64700,,1.64700,,1.61200,15.63300,8.38000,42.04800,43.00900,0.04000,0.04000,0.66440,1.98000,27.39990,27.39990,5.66960,5.27070,0.02850,0.48280,0.48280,0.15370,0.16200,8.09580,0.12120,0.08420
2019-12-31,30.10000,9.67000,20.43000,5.14700,12.02200,8.40800,7.91100,16.31900,0.07600,16.24300,,16.24300,-0.10700,15.77500,15.56400,8.40800,40.18400,41.46200,0.40000,0.38000,0.64610,1.82580,27.93360,27.93360,54.21590,52.40860,0.02850,4.60010,4.60010,1.53780,1.62790,8.51000,0.4283,-0.4903
2019-09-30,29.87900,9.52800,20.35100,5.59700,12.38600,7.96500,-6.01400,1.95100,0.10200,1.84900,,1.84900,,1.80700,15.03400,7.96500,40.18700,41.44600,0.04000,0.04000,0.65140,1.86840,26.65750,26.65750,6.52970,6.04770,0.02950,0.55570,0.55570,0.18280,0.19370,8.21260,0.2675,0.1798
2019-06-30,29.57800,9.23300,20.34500,4.91500,11.52700,8.81800,-6.01100,2.80700,0.10400,2.70300,,2.70300,0.70100,3.32700,15.72700,8.81800,39.88600,40.83900,0.08000,0.08000,0.64770,1.83860,29.81270,29.81270,9.49020,11.24820,0.02920,0.79860,0.79860,0.26680,0.28130,8.43300,0.3065,0.2144
2019-03-31,29.69400,8.47300,21.22100,6.00200,12.46600,8.75500,-5.79800,2.95700,0.11800,2.83900,,2.83900,,2.77400,15.45600,8.75500,39.64900,40.62600,0.07000,0.07000,0.64150,1.78970,29.48410,29.48410,9.95820,9.34200,0.02920,0.81570,0.81570,0.27870,0.29240,8.73870,0.14930,0.08890
2018-12-31,29.90100,9.84600,20.05500,5.29400,11.92900,8.12600,0.63400,8.76000,0.08600,8.67400,,8.67400,,8.46100,14.95100,8.12600,39.27400,40.61200,0.21000,0.20000,0.63250,1.72130,27.17630,27.17640,29.29670,28.29670,0.02910,2.41510,2.41510,0.84310,0.88750,9.02890,0.2662,0.1948
2018-09-30,30.70400,9.83100,20.87300,4.98200,11.45900,9.41400,-1.28900,8.12500,0.09200,8.03300,,8.03300,,7.83500,16.19000,9.41400,39.32700,40.63500,0.20000,0.19000,0.66000,1.94090,30.66050,30.66050,26.46240,25.51790,0.02900,2.33890,2.33890,0.75750,0.79530,8.63560,0.3151,0.4456
2018-06-30,29.47300,8.92200,20.55100,6.67800,12.97100,7.58000,-5.51600,2.06400,0.05900,2.00500,,2.00500,,1.95400,14.17400,7.58000,39.20400,40.67900,0.05000,0.05000,0.65880,1.93060,25.71850,25.71850,7.00300,6.62980,0.02780,0.57980,0.57980,0.18920,0.19780,8.70070,0.2655,0.2197
2018-03-31,29.78500,8.83200,20.95300,6.32700,12.60100,8.35200,-4.97300,3.37900,0.11000,3.26900,,3.26900,,3.18100,14.92800,8.35200,39.06600,40.08800,0.08000,0.08000,0.65380,1.88850,28.04100,28.04100,11.34460,10.67990,0.02780,0.92340,0.92340,0.30520,0.31970,9.03540,0.12720,0.13700
2017-12-31,33.83100,11.54900,22.28200,6.35100,13.65500,8.62700,-6.63100,1.99600,0.09000,1.90600,0.00500,1.91100,,1.91800,16.32200,8.62700,35.42800,36.25500,0.05000,0.06000,0.64780,1.83890,25.50030,25.50030,5.89990,5.66940,0.03160,0.53320,0.53320,0.17860,0.18780,9.13780,0.4126,0.0447
