Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,
2023-12-31,-180.85300,-180.43900,-0.41400,-0.12100,2.88100,-10.75900,13.51900,-13.93300,-1.24100,-15.17400,,-15.17400,-15.17400,,-18.50000,-13.93300,-13.93300,11.02370,11.02370,-1.67000,-1.67000,0.75360,,0.22890,7.70400,7.70400,8.39020,10.22930,-2.49120,-62.88350,-1.43120,-60.37730,-65.69120,-20.90200,-60.37720,2.26170,-2.5774,-2.7052
2023-09-30,77.01700,75.84300,1.17400,0.11100,4.36300,-0.44600,4.92000,-3.74600,-0.61300,-4.35900,,-4.35900,-4.35900,,-4.35900,-3.74600,-3.74600,11.11200,11.11200,-0.39000,-0.39000,1.17080,,1.52430,-4.86390,-4.86390,-5.65980,-5.65980,1.01860,20.41810,4.40790,-10.09310,-10.67470,-5.76500,-10.09310,3.88660,1.5361,1.5361
2023-06-30,74.06500,72.94300,1.12200,0.32800,4.76500,2.43500,2.65800,-1.53600,0.60200,-0.93400,,-0.93400,-0.93400,,-0.93400,-1.53600,-1.53600,11.11230,11.11230,-0.08000,-0.08000,1.17460,,1.51490,-2.07390,-2.07390,-1.26110,-1.26110,0.90160,17.93340,5.01860,-1.96260,-2.07930,-1.13700,-1.96260,4.28280,-1.5361,-1.5361
2023-03-31,72.87200,71.70800,1.16400,0.55600,6.60900,0.02300,7.14200,-5.97800,1.06100,-4.91700,,-4.91700,-4.91700,,-4.91700,-5.97800,-5.97800,10.75000,10.75000,-0.46000,-0.46000,1.10410,,1.59730,-8.20340,-8.20340,-6.74740,-6.74740,0.82650,15.34790,5.86400,-9.99900,-10.64720,-5.57670,-9.99900,4.42540,0.00000,
2022-12-31,-532.15900,-527.95600,-4.20300,-0.77000,4.83000,-28.52100,32.58100,-36.78400,-1.68600,-38.47000,,-38.47000,-38.47000,,-117.47600,-36.78400,-36.78400,8.71040,8.71040,-13.30000,-13.30000,1.14580,,0.78980,6.91220,6.91220,7.22900,22.07540,-6.13060,-148.85570,-0.60460,-72.41000,-77.20400,-44.31820,-72.41000,4.99420,-7.2972,-8.8794
2022-09-30,96.98700,105.29900,-8.31200,0.79900,4.74900,-16.95600,22.50400,-30.81600,11.31000,-19.50600,,-19.50600,-19.50600,,-19.44900,-30.81600,-30.81600,9.78600,9.78600,-1.99000,-1.99000,1.96640,,-8.57020,-31.77330,-31.77330,-20.11200,-20.05320,0.48450,31.54050,2.85350,-11.89850,-23.30020,-9.74430,-11.89860,15.41030,6.4417,6.5496
2022-06-30,195.51900,195.94800,-0.42900,1.07700,5.69500,-13.28100,20.05300,-20.48200,0.01100,-20.47100,,-20.47100,-20.47100,,-18.21200,-20.48200,-20.48200,7.25830,7.25830,-2.51000,-2.51000,1.60430,,-0.21940,-10.47570,-10.47570,-10.47010,-9.31470,0.82040,156.16530,0.57630,-11.13520,-21.89790,-8.59000,-11.13520,21.53030,-6.4417,-6.5496
2022-03-31,296.67800,287.90400,8.77400,1.10700,7.00800,-2.21500,10.33000,-1.55600,0.58200,-0.97400,,-0.97400,-0.97400,,-0.27800,-1.55600,-1.55600,7.10080,7.10080,-0.04000,-0.04000,1.27620,0.03060,2.95740,-0.52450,-0.52450,-0.32830,-0.09370,1.02670,42.97190,2.09440,-0.47210,-0.88390,-0.33710,-0.47210,29.05750,0.00000,
2021-12-31,497.77690,491.32810,6.44890,1.20700,9.05300,-15.21900,25.47900,-19.03010,-0.02800,-19.05800,,-18.69900,-18.69900,0.00000,-12.90300,-19.03010,-19.03010,6.22340,6.22340,-2.62000,-2.62000,1.10500,,1.29550,-3.82300,-3.82300,-3.82860,-2.59210,1.69180,675.40970,0.13330,-9.10980,-17.51450,-6.35530,-9.10980,28.90700,-5.5068,-13.6853
2021-09-30,393.09300,404.82600,-11.73300,1.05700,8.34600,-13.86100,23.26400,-34.99700,0.07800,-34.91900,,-34.91900,-34.91900,-6.74400,-36.36100,-34.99700,-34.99700,6.92420,6.92420,-5.30000,-5.30000,1.26950,,-2.98480,-8.90300,-8.90300,-8.88310,-9.25000,1.33800,606.62500,0.14840,-17.25540,-29.46400,-11.88550,-17.25540,28.64750,2.8147,7.0677
2021-06-30,435.38500,426.03300,9.35200,0.82800,6.40300,-17.04100,24.27200,-14.92000,-0.22400,-15.14400,,-15.14400,-15.14400,-0.86400,-15.18000,-14.92000,-14.92000,5.97000,5.97000,-2.50000,-2.50000,1.15670,0.10880,2.14800,-3.42680,-3.42680,-3.47830,-3.48660,1.39190,129.23270,0.69640,-7.80430,-13.92810,-4.84150,-7.80430,32.10570,-2.8147,-7.0677
2021-03-31,2.62100,1.22800,1.39300,0.06300,2.61200,-0.00800,2.68300,-1.29000,4.59900,3.30900,,3.30900,3.30900,-1.31300,2.04100,-1.29000,-1.29000,4.87550,4.87550,0.40000,0.40000,1.94980,,53.14770,-49.21780,-49.21780,126.24950,77.87100,0.01320,0.82270,109.40100,2.35240,2.35850,1.66170,2.35240,25.12210,0.00000,
2020-12-31,0.73400,0.35100,0.38300,-1.10600,0.82400,-0.11800,-0.16400,0.54700,-1.71500,-1.16800,0.48600,-1.65400,-1.65400,-6.96800,-8.61400,0.54700,0.54700,4.30010,4.30010,-2.00000,-2.00000,4.56230,,52.17980,74.52330,74.52310,-159.12810,-1173.56900,0.01020,,,-2.76360,-2.77470,-2.29390,-2.76360,13.91450,-2.2806,-2.3274
2020-09-30,0.48400,0.44900,0.03500,0.61300,4.29100,-0.06300,4.96700,-4.93200,0.44200,-4.49000,-0.00100,-4.48900,-4.48900,-1.81100,-6.37900,-4.93200,-4.93200,4.30020,4.30020,-1.50000,-1.50000,5.77060,,7.23140,-1019.00800,-1019.00800,-927.68590,-1317.97500,0.00660,5.90240,15.24790,-7.00070,-7.04540,-6.08980,-7.00070,15.26710,0,0
2020-06-30,0.51600,0.65300,-0.13700,1.42500,5.71400,-0.13200,7.27100,-7.40800,-4.64400,-12.05200,-0.00800,-12.04400,-12.04400,,-12.21900,-7.40800,-7.40800,4.30010,4.30010,-2.80000,-2.80000,5.11420,,-26.55040,-1435.65900,-1435.65900,-2335.65900,-2368.02300,0.00640,7.26760,12.38370,-17.98610,-18.11240,-14.95280,-17.98610,15.57240,0,0
2020-03-31,0.43300,0.56300,-0.13000,1.00900,4.64900,0.59500,5.06300,-5.19300,-0.45100,-5.64400,-0.50700,-5.13700,-5.13700,,-5.20000,-5.19300,-5.19300,4.30000,4.30000,-1.20000,-1.20000,5.70900,,-30.02310,-1199.30700,-1199.30700,-1303.46400,-1200.92400,0.00470,0.29460,305.54270,-6.74230,-6.79100,-5.55670,-6.74230,17.71840,0.00000,
2019-12-31,0.58600,1.35100,-0.76500,1.65700,10.31900,-31.18800,43.16400,-43.92900,-3.20000,-47.12900,-1.00100,-46.12800,-46.12800,,-46.18700,-43.92900,-43.92900,4.28590,4.28590,-10.70000,-10.70000,5.57770,,-130.54610,-7496.41600,-7496.41600,-8042.49200,-7881.74200,0.00590,0.39220,229.45390,-56.43120,-56.88140,-46.15520,-56.43120,19.00980,-5.4647,-5.5855
2019-09-30,1.36600,2.25200,-0.88600,1.54900,7.25700,-4.07600,12.88200,-13.76800,0.36200,-13.40600,-0.03200,-13.37400,-13.37400,,-13.40000,-13.76800,-13.76800,4.29910,4.29910,-3.10000,-3.10000,6.93650,,-64.86090,-1007.90600,-1007.90600,-981.40550,-980.96630,0.00960,0.95260,94.48020,-11.00680,-15.05060,-9.39400,-11.00680,28.25880,0,0
2019-06-30,1.62200,2.39700,-0.77500,1.72300,8.67600,-8.96900,19.36800,-20.14300,-0.46100,-20.60400,-0.05000,-20.55400,-20.55400,,-20.07200,-20.14300,-20.14300,4.28560,4.28560,-4.70000,-4.70000,6.39450,,-47.78050,-1241.86200,-1241.86200,-1270.28400,-1237.48500,0.01010,,,-15.00870,-21.12940,-12.74710,-15.00870,31.86670,0,0
2019-03-31,2.12700,2.53400,-0.40700,2.05400,11.98600,-0.05200,14.09200,-14.49900,0.55700,-13.94200,-0.01500,-13.92700,-13.92700,,-13.89000,-14.49900,-14.49900,4.25830,4.25830,-3.30000,-3.30000,5.82400,,-19.13490,-681.66430,-681.66430,-655.47720,-653.03250,0.01160,,,-8.97400,-13.28550,-7.61770,-8.97400,36.30330,0.00000,
2018-12-31,3.23600,2.58000,0.65600,2.06100,11.06400,1.44400,11.68100,-11.02500,-22.19500,-33.22000,0.52800,-33.74800,-33.74800,-0.17200,-33.16500,-11.02500,-11.02500,4.18910,4.18910,-8.30000,-8.30000,6.03460,,20.27200,-340.69800,-340.69790,-1026.57600,-1024.87600,0.01780,,,-20.98780,-30.49670,-18.61370,-20.98780,37.81700,-5.573,-6.8098
2018-09-30,4.38400,2.68900,1.69500,2.53000,14.54300,0.03900,17.03400,-15.33900,0.03000,-15.30900,-0.10400,-15.20500,-15.20500,,-15.20500,-15.33900,-15.33900,4.23280,4.23280,-3.50000,-3.50000,6.89760,,38.66330,-349.88600,-349.88600,-349.20170,-346.82940,0.02050,,,-7.74820,-10.48700,-7.10210,-7.74820,46.19040,0,0
2018-06-30,4.59300,2.93600,1.65700,2.07400,11.73700,0.63500,13.17600,-11.51900,0.20600,-11.31300,-3.09800,-8.21500,-8.21500,,-7.98800,-11.51900,-11.51900,4.08080,4.08080,-1.90000,-1.90000,7.18780,,36.07660,-250.79470,-250.79470,-246.30960,-173.91680,0.02030,765.50000,0.11760,-3.94890,-5.33990,-3.62290,-3.94890,49.22670,0,0
2018-03-31,6.12600,3.43300,2.69300,2.33900,12.66600,0.09200,14.91300,-12.22000,0.60100,-11.61900,-0.17700,-11.44200,-11.44200,1.96600,-9.33600,-12.22000,-12.22000,4.05910,4.05910,-2.30000,-2.30000,7.09750,,43.96020,-199.47770,-199.47770,-189.66700,-152.39960,0.02560,,,-5.30970,-7.28060,-4.78060,-5.30970,51.94460,0.00000,
2017-12-31,8.16800,3.48600,4.68200,3.71400,19.89300,-4.28800,27.89500,-23.21300,2.07600,-21.13700,0.58000,-21.71700,-21.71700,,-21.06400,-23.21300,-23.21300,4.08310,4.08310,-5.20000,-5.20000,4.18900,,57.32130,-284.19440,-284.19450,-258.77820,-257.88440,0.03030,,,-9.36170,-14.75150,-8.05320,-9.36170,56.83040,-7.6114,-10.2221
2017-09-30,6.48900,2.98600,3.50300,2.32800,12.35200,-0.00700,14.68700,-11.18400,0.55500,-10.62900,0.18500,-10.81400,-10.81400,,-10.85500,-11.18400,-11.18400,4.07740,4.07740,-2.70000,-2.70000,5.68130,,53.98370,-172.35320,-172.35320,-163.80030,-167.28310,0.02340,,,-4.40600,-6.72560,-3.90260,-4.40600,60.14920,0,0
2017-06-30,2.84900,0.83900,2.01000,2.29600,10.09000,0.12300,12.26300,-10.25300,-0.13700,-10.39000,-3.05400,-7.33600,-7.33600,,-7.76400,-10.25300,-10.25300,4.08080,4.08080,-1.90000,-1.90000,9.20770,,70.55110,-359.88070,-359.88070,-364.68940,-272.51670,0.01030,,,-2.91610,-3.28130,-2.64890,-2.91610,61.70770,0,0
2017-03-31,2.67800,0.85000,1.82800,2.16600,9.00800,0.06800,11.10600,-9.27800,0.94300,-8.33500,0.38800,-8.72300,-8.72300,,-9.05400,-9.27800,-9.27800,4.09330,4.09330,-2.20000,-2.20000,11.68500,,68.25990,-346.45260,-346.45260,-311.23970,-338.08810,0.00940,,,-3.41510,-3.83240,-3.07320,-3.41510,62.54280,0.00000,
