Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,9.28700,7.80300,1.48400,3.18700,6.57900,,9.76600,-8.28200,0.61700,-7.66500,-7.66500,-7.66500,-7.66500,-8.28200,-8.28200,7.75970,7.75970,-1.00000,-1.00000,3.38040,15.97930,-89.17840,-89.17840,-82.53470,-82.53470,0.11470,1.89300,47.54390,-13.33850,-13.33860,-9.46380,-13.33860,,0,0
2024-03-31,3.53200,2.17400,1.35800,2.64300,7.42800,,10.07100,-8.71300,0.94600,-7.76700,-7.76700,-7.76700,-7.76700,-8.71300,-8.71300,7.75130,7.75130,-1.00000,-1.00000,3.80310,38.44850,-246.68750,-246.68750,-219.90370,-219.90370,0.04140,0.95000,94.73950,-12.24020,-12.24020,-9.09410,-12.24020,,0.00000,
2023-12-31,6.99900,3.92200,3.07700,5.83600,11.61600,,17.45200,-14.37500,0.53300,-13.84200,-13.84200,-13.84300,-13.84300,-14.37500,-14.37500,9.17270,9.17270,-2.00000,-2.00000,3.49240,43.96340,-205.38640,-205.38640,-197.77110,-197.78540,0.07260,0.83930,107.23100,-19.88480,-19.88480,-14.35790,-19.88480,8.98610,-3.2566,-3.4243
2023-09-30,6.18100,2.83800,3.34300,6.29600,7.83000,,14.12600,-10.78300,0.79400,-9.98900,-9.98900,-9.98900,-9.98900,-10.78300,-10.78300,8.71350,8.71350,-1.00000,-1.00000,3.96190,54.08510,-174.45400,-174.45400,-161.60820,-161.60820,0.05670,0.53460,168.35140,-12.15530,-12.15530,-9.16210,-12.15530,,0,0
2023-06-30,9.54900,4.93200,4.61700,5.07400,7.51400,,12.58800,-7.97100,1.35900,-6.61200,-6.61200,-6.60900,-6.60900,-7.97100,-7.97100,9.56630,9.56630,-0.50000,-0.50000,4.25760,48.35060,-83.47470,-83.47470,-69.24290,-69.21140,0.08230,1.18360,76.04150,-7.34910,-7.34900,-5.69290,-7.34900,,0,0
2023-03-31,1.35000,1.02100,0.32900,6.44700,9.02900,,15.47600,-15.14700,1.67500,-13.47200,-13.47200,-13.47400,-13.47400,-15.14700,-15.14700,9.73120,9.73120,-1.50000,-1.50000,4.23070,24.37040,-1122.00000,-1122.00000,-997.92600,-998.07400,0.01030,0.27730,324.60000,-13.36870,-13.36870,-10.32170,-13.36870,,0.00000,
2022-12-31,2.73000,1.43900,1.29100,6.33600,12.00700,,18.34300,-17.05200,2.42500,-14.62700,-14.62700,-14.62700,-14.62700,-17.05200,-17.05200,10.05600,10.05600,-1.00000,-1.00000,4.26560,47.28930,-624.61540,-624.61550,-535.78770,-535.78770,0.01920,0.54070,166.45060,-13.29430,-13.29430,-10.28900,-13.29430,11.28620,-6.6888,-6.5361
2022-09-30,17.51200,4.45800,13.05400,7.15100,9.78400,,16.93500,-3.88100,0.57200,-3.30900,-3.30900,-3.30900,-3.30900,-3.88100,-3.88100,10.02640,10.02640,-0.50000,-0.50000,4.70490,74.54320,-22.16200,-22.16200,-18.89560,-18.89560,0.11510,3.93790,22.85460,-2.74610,-2.74610,-2.17460,-2.74610,,0,0
2022-06-30,19.93000,9.52100,10.40900,5.33100,10.16500,,15.49600,-5.08700,1.14200,-3.94500,-3.94500,-3.94500,-3.94500,-5.08700,-5.08700,10.18310,10.18310,-0.50000,-0.50000,3.17910,52.22780,-25.52430,-25.52430,-19.79430,-19.79430,0.11150,2.17510,41.37830,-3.17060,-3.17060,-2.20760,-3.17060,,0,0
2022-03-31,36.82500,14.47900,22.34600,15.37600,11.56300,,26.93900,-4.59300,0.68600,-3.90700,-3.90700,-3.90700,-3.90700,-4.59300,-4.59300,10.17220,10.17220,-0.50000,-0.50000,3.23920,60.68160,-12.47250,-12.47250,-10.60960,-10.60960,0.20560,,,-3.13300,-3.13300,-2.18180,-3.13300,,0.00000,
2021-12-31,89.40000,31.74500,57.65500,26.75000,34.29000,-5.44000,66.48000,-8.82500,0.59500,-8.23000,-8.23000,-8.23000,-8.23000,-8.82500,-8.82500,9.88120,9.88120,-0.30000,-0.30000,1.96580,64.49100,-9.87130,-9.87140,-9.20580,-9.20580,0.36050,,,-6.58010,-6.58010,-3.31850,-6.58010,12.30960,-23.9276,-25.7953
2021-09-30,77.10700,39.02100,38.08600,31.22200,79.41200,-4.78400,115.41800,-77.33200,1.29600,-76.03600,-76.03600,-76.03600,-76.03600,-77.33200,-77.33200,9.91560,9.91560,-7.50000,-7.50000,1.55280,49.39370,-100.29180,-100.29180,-98.61100,-98.61100,0.25740,,,-62.14270,-62.14280,-25.38600,-62.14280,12.31900,0,0
2021-06-30,103.90800,38.41100,65.49700,35.55000,64.46600,-8.81000,108.82600,-43.32900,2.01600,-41.31300,-41.31300,-41.31300,-41.31300,-43.32900,-43.32900,9.65620,9.65620,-4.60000,-4.60000,1.69000,63.03370,-41.69940,-41.69940,-39.75920,-39.75920,0.23860,,,-21.56280,-21.56280,-9.48840,-21.56280,19.42550,0,0
2021-03-31,72.38400,28.63700,43.74700,32.04100,113.44200,,145.48300,-101.73600,1.04700,-100.68900,-100.68900,-100.68900,-100.68900,-101.73600,-101.73600,9.62760,9.62760,-10.60000,-10.60000,1.97560,60.43740,-140.55040,-140.55040,-139.10390,-139.10390,0.16610,,,-44.73860,-44.73850,-23.10180,-44.73850,23.32890,0.00000,
2020-12-31,74.60300,,74.60300,,,,,74.60300,,74.60300,74.60300,-55.94700,-55.94700,76.53300,74.60300,3.79650,9.52520,10.20000,-5.80000,2.52720,100.00000,100.00000,100.00000,100.00000,-74.99300,0.14360,,,-17.68540,-17.68540,-10.76940,-17.68540,,-8.4145,-9.8546
2020-09-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,
2019-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
