Date,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-12-31,0.80280,-0.80280,0.36140,-0.44140,-0.44140,-0.44140,-0.44140,-0.80280,-0.80280,5.00000,5.00000,-0.14000,-0.14000,0.02110,-0.20560,3.06290,3.06290,-1.59820,3.06290,-2.88250,-0.3602,-0.3602
2023-09-30,0.41710,-0.41710,0.36860,-0.04850,-0.04850,-0.04850,-0.04850,-0.41710,-0.41710,5.00000,5.00000,-0.06000,-0.06000,0.03170,-0.19600,0.36140,0.36140,-0.17910,0.36140,-2.68580,0.0468,0.0468
2023-06-30,0.43180,-0.43180,1.46460,1.03280,1.03280,1.03280,1.03280,-0.43180,-0.43180,5.00000,5.00000,0.07000,0.07000,0.02840,-0.17530,-8.04890,-8.04890,3.13760,-8.04890,-2.56630,0.1269,0.1269
2023-03-31,0.42310,-0.42310,-0.18330,-0.60640,-0.60640,-0.60640,-0.60640,-0.42310,-0.42310,5.00000,5.00000,-0.11000,-0.11000,0.06670,-0.12280,4.65370,4.65370,-1.88560,4.65370,-2.60610,0.04880,0.04880
2022-12-31,0.60280,-0.60280,1.97710,1.37430,1.37430,1.37430,1.37430,-0.60280,-0.60280,5.00000,5.00000,-0.02000,-0.02000,0.14860,-0.09030,-12.40560,-12.40560,0.66650,-12.40560,-2.21560,-0.0156,-0.0156
2022-09-30,0.29300,-0.29300,1.53260,1.23960,1.23960,1.23960,1.23960,-0.29300,-0.29300,5.00000,5.00000,0.01000,0.01000,1.16720,,-12.73100,-12.73100,0.60870,-12.73100,-1.94730,-0.0244,-0.0244
2022-06-30,0.14700,-0.14700,4.39290,4.24590,4.24590,4.24590,4.24590,-0.14700,-0.14700,5.00000,5.00000,0.16000,0.16000,2.11570,,-42.18760,-42.18770,2.09200,-42.18760,-2.01290,-0.0294,-0.0294
2022-03-31,0.32580,-0.32580,3.47240,3.14650,3.14650,3.14650,3.14650,-0.32580,-0.32580,5.00000,5.00000,0.13000,0.13000,2.01390,,-22.41520,-22.41520,1.55050,-22.41520,-2.80750,-0.04600,-0.04600
2021-12-31,,,,,,,,,,,,,0.00000,,,,,,,,0.1667,0.1667
2021-09-30,0.41290,-0.41290,8.80320,8.39030,8.39030,8.39030,8.39030,-0.41290,-0.41290,5.00000,5.00000,0.40000,0.40000,4.98050,,-48.20600,-48.20600,4.12730,-48.20600,-3.48100,-0.1667,-0.1667
2021-06-30,,,,,,,,,,5.00000,5.00000,,0.00000,1.08580,,,,,,0.00310,0,0
