Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,165.90900,41.10600,124.80300,25.64900,90.43500,116.44000,8.36300,8.30700,16.67000,2.10100,14.56900,14.56900,17.23800,19.39200,8.36300,62.25000,73.97000,0.28000,0.27000,2.68520,0.70800,2.42510,75.22380,5.04070,5.04070,10.04770,10.39000,0.09790,1.21550,74.04500,3.95990,-10.06840,0.85940,1.15650,5.89240,0.7314,0.6469
2024-06-30,160.50600,40.34800,120.15800,25.72100,91.30100,117.95000,2.20800,77.08800,79.29600,4.33700,74.95900,74.95900,76.69000,9.43500,2.20800,61.97900,72.52200,1.24000,0.22000,1.95300,0.73230,3.50360,74.86200,1.37570,1.37570,49.40380,47.78020,0.08490,1.16780,77.06570,23.01030,-39.06820,3.96470,6.16060,5.23980,0.5647,0.4772
2024-03-31,157.46100,39.09700,118.36400,25.01500,91.15700,116.61600,1.74800,13.89100,15.63900,0.86900,14.77000,14.77000,10.82900,7.23900,1.74800,61.64300,72.89300,0.18000,0.17000,2.30160,0.80310,4.97350,75.17040,1.11010,1.11010,9.93200,6.87730,0.07540,1.25350,71.79660,5.27810,-6.07840,0.70710,1.03900,4.52780,0.69180,0.59920
2023-12-31,155.73000,37.61200,118.11800,22.57800,81.57400,105.30300,12.81490,13.33800,26.15300,1.90100,24.25200,24.25200,22.06900,18.15290,12.81500,60.84900,72.04500,0.36000,0.37000,2.19020,0.81390,5.33050,75.84800,8.22890,8.22900,16.79380,14.17130,0.07410,0.90750,99.17630,9.29620,-9.07840,1.15440,1.73040,4.24090,0.5862,0.4912
2023-09-30,150.70800,36.79400,113.91400,26.72200,79.60200,114.98800,-1.07400,12.54100,11.46700,-2.00500,13.47200,13.47200,11.92300,4.01500,-1.07400,61.10100,72.10200,0.20000,0.19000,2.17730,0.84080,6.47790,75.58590,-0.71260,-0.71260,7.60880,7.91130,0.07480,1.15510,77.91840,6.24480,-4.24230,0.66820,0.99400,3.52110,0.5108,0.4337
2023-06-30,144.57400,37.11600,107.45800,26.80200,62.60100,89.53800,17.92000,11.07200,28.99200,0.92600,28.06600,28.06600,30.84900,23.39600,17.92000,60.70000,71.80100,0.51000,0.45000,3.61580,0.88720,7.96570,74.32730,12.39500,12.39500,20.05340,21.33790,0.07320,1.11380,80.80170,15.91390,-8.06160,1.42080,1.79490,2.89370,0.2805,0.2117
2023-03-31,138.98400,35.27100,103.71300,27.10500,90.90700,119.02600,-15.31300,9.21000,-6.10300,0.62800,-6.73100,-6.73100,-12.00800,-9.46600,-15.31300,60.18700,60.18700,-0.20000,-0.20000,3.41960,0.92220,12.07910,74.62230,-11.01780,-11.01780,-4.39120,-8.63980,0.07190,1.15420,77.97810,-5.75340,1.63120,-0.34830,-0.44780,1.93450,0.37990,0.23780
2022-12-31,139.95700,33.36300,106.59400,28.02200,71.45300,103.31600,3.27800,6.55300,9.83100,-0.66800,10.49900,10.49900,11.30400,10.95200,3.27800,59.53900,59.53900,0.20000,0.20000,3.39720,0.92530,12.46180,76.16200,2.34220,2.34210,7.02430,8.07680,0.07200,0.92770,97.00990,9.38520,-2.48290,0.54020,0.70140,1.86390,0.4339,0.3407
2022-09-30,134.26800,32.42600,101.84200,27.72100,95.54000,123.26100,-21.41900,2.90500,-18.51400,0.47400,-18.98800,-18.98800,-20.01900,-11.61200,-21.41900,59.69500,59.69500,-0.34000,-0.34000,3.74170,0.94670,17.85500,75.84980,-15.95240,-15.95240,-13.78880,-14.90970,0.07150,1.23420,72.92340,-24.36510,4.11020,-1.01130,-1.29890,1.30370,0.4046,0.278
2022-06-30,128.47700,32.92300,95.55400,27.90200,80.34500,108.24700,-12.69300,0.25800,-12.43500,-0.46400,-11.97100,-11.97100,-10.66500,-1.32000,-12.69300,59.44100,59.44100,-0.18000,-0.18000,3.56890,0.94580,17.72530,74.37440,-9.87960,-9.87960,-9.67880,-8.30110,0.06860,1.06420,84.56680,-15.11810,2.56940,-0.63890,-0.81920,1.32920,0.0993,-0.0832
