Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share
2024-09-30,,,4.47500,7.93700,-12.41200,-8.07900,-20.49100,-20.49100,-20.49100,,-20.49100,-12.41200,-12.41200,81.49600,81.49600,-0.25000,-0.25000,15.98940,,,,,,,,,-9.40460,-9.40460,-8.80640,-9.40460,2.67340
2024-06-30,,,3.13700,11.87100,-15.00800,8.19800,-6.81000,-6.81000,-6.81000,31.93600,25.12600,-15.00800,-15.00800,80.93200,80.93200,0.30000,0.30000,16.49560,,,,,,,,,-2.87790,-2.87790,-2.68290,-2.87790,
2023-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,
2023-09-30,0.31500,0.31500,5.08800,5.86100,-10.63400,2.41300,-8.22100,-8.22100,-8.22100,-25.03500,-33.25600,-10.63400,-10.63400,83.88000,83.88000,-0.39000,-0.39000,,,,100.00000,-3375.87300,-3375.87300,-2609.84100,-10557.46000,,,,,,
2023-06-30,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,
2022-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,
2022-06-30,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,
2021-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,
2021-06-30,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,
2020-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,
2019-12-31,0.11200,0.11200,,,0.11200,,0.11200,0.11200,-58.94000,0.00000,-58.94000,0.11200,0.11200,3.45800,3.45800,-17.05000,-17.05000,4.12080,0.04890,0.08900,100.00000,100.00000,100.00000,100.00000,-52625.00000,0.00040,-30.90740,-40.37900,-23.61500,-29.39720,
