Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,97.03500,73.84000,23.19500,15.95800,28.44800,,46.60400,-23.40900,-0.59500,-24.00400,0.48700,-24.49100,-24.49100,,-24.49100,-13.80200,-23.40900,223.65700,223.65700,-0.11000,-0.11000,0.85100,0.47020,0.94760,23.90380,-24.12430,-24.12430,-24.73750,-25.23940,0.21410,1.42520,63.14890,-15.94460,27.05050,-5.40310,-8.44740,0.68110,-0.0473,-0.0575
2023-06-30,95.76500,70.53000,25.23500,18.73900,30.64700,,58.41400,-33.17900,-2.09400,-35.27300,0.37900,-35.65200,-35.65200,,-35.65200,-23.77700,-33.17900,222.91400,222.91400,-0.16000,-0.16000,0.94320,0.43830,0.83110,26.35100,-34.64630,-34.64630,-36.83290,-37.22860,0.20360,1.50300,59.88220,-20.26480,48.31420,-7.57910,-11.38280,0.78760,-0.0552,-0.0574
2023-03-31,101.94800,70.96300,30.98500,21.01600,36.45800,,63.58100,-32.59600,-1.98900,-34.58500,0.39800,-34.98300,-34.98300,,-34.98300,-23.55900,-32.59600,222.46200,222.46200,-0.16000,-0.16000,1.11730,0.39390,0.68260,30.39300,-31.97320,-31.97320,-33.92420,-34.31460,0.20140,1.23080,73.12610,-16.76720,74.95990,-6.90930,-10.16280,0.93690,-0.10820,-0.12520
2022-12-31,108.84100,64.81900,44.02200,29.44200,39.26100,,90.02100,-45.99900,-2.66400,-48.66300,-2.13700,-46.52600,-46.52600,,-46.52600,-35.19900,-45.99900,182.38100,182.38100,-0.24000,-0.24000,1.28150,0.36310,0.59650,40.44620,-42.26260,-42.26260,-44.71020,-42.74680,0.20070,1.28450,70.06440,-19.44070,216.46020,-8.57810,-12.38260,1.07690,0.026,-0.0315
2022-09-30,110.83200,82.20900,28.62300,32.46200,36.58600,,74.89500,-46.27200,-2.41100,-48.68300,0.44000,-49.12300,-49.12300,,-49.12300,-29.38400,-46.27200,220.19400,220.19400,-0.22000,-0.22000,1.61210,0.29300,0.41450,25.82560,-41.74970,-41.74970,-43.92500,-44.32200,0.19450,0.90510,99.43920,-16.63300,-86.89570,-8.62260,-11.75900,1.33280,0.0116,0.0317
2022-06-30,63.58600,45.50900,18.07700,12.17100,37.64600,,55.69300,-37.61600,-2.57100,-40.18700,-19.58900,-20.59800,-20.59800,,-20.59800,-29.11300,-37.61600,151.77600,151.77600,-0.14000,-0.14000,2.07570,0.26630,0.36300,28.42920,-59.15770,-59.15770,-63.20100,-32.39390,0.11010,0.58600,153.57580,-6.11920,-20.50210,-3.56670,-4.48940,1.53210,0.028,-0.0858
2022-03-31,55.33900,38.52100,16.81800,9.57700,23.46000,,34.76700,-17.94900,-2.11700,-20.06600,0.20600,-20.27200,-20.27200,,-20.27200,-10.78900,-17.94900,135.52800,135.52800,-0.15000,-0.15000,3.31360,0.47430,0.90230,30.39090,-32.43460,-32.43460,-36.26010,-36.63240,0.17980,1.00430,89.61620,-14.99480,-256.47800,-6.58480,-7.88230,0.97840,-0.12960,-0.17290
2021-12-31,46.37000,29.81600,16.55400,5.16400,17.45000,,26.21600,-9.66200,-1.73700,-11.39900,0.43500,-11.83400,-11.83400,,-11.83400,-1.59100,-9.66200,127.78900,127.78900,-0.08000,-0.08000,3.14510,0.49530,1.01670,35.69980,-20.83680,-20.83680,-24.58270,-25.52080,0.14760,1.38050,65.19320,-8.96010,-401.15300,-3.76790,-4.52190,0.98320,0.0663,-0.0122
2021-09-30,55.20200,39.37200,15.83000,5.20500,16.51900,,24.22400,-8.39400,-1.50000,-9.89400,0.21100,-10.10500,-10.10500,,-10.10500,-1.56500,-8.39400,126.79100,126.79100,-0.08000,-0.08000,3.21730,0.46240,0.86030,28.67650,-15.20600,-15.20600,-17.92330,-18.30550,0.17460,1.19380,75.39020,-7.15030,-81.34760,-3.19670,-3.84370,1.05610,-0.0772,-0.094
2021-06-30,48.34800,38.90500,9.44300,5.18700,13.29900,,21.19000,-11.74700,-1.70300,-13.45000,0.24800,-13.69800,-13.69800,,-13.69800,-4.69600,-11.74700,126.05000,126.05000,-0.11000,-0.11000,4.93460,0.48110,0.92730,19.53130,-24.29680,-24.29680,-27.81920,-28.33210,0.16350,1.93980,46.39610,-10.46580,-25.72780,-4.63110,-5.43020,1.03300,0.0314,0.0093
2021-03-31,51.19500,38.70000,12.49500,6.11300,22.78300,,36.30900,-23.81400,-1.45500,-25.26900,0.26000,-25.52900,-25.52900,,-25.52900,-16.98600,-23.81400,124.29000,124.29000,-0.21000,-0.21000,5.24450,0.46510,0.86950,24.40670,-46.51630,-46.51630,-49.35830,-49.86620,0.16890,1.75010,51.42630,-18.31430,-41.19370,-8.42180,-9.79650,1.11290,-0.01200,-0.06530
2020-12-31,49.18900,35.19400,13.99500,5.06500,17.13000,,22.73800,-8.74300,-2.14800,-10.89100,0.26700,-11.15800,-11.15800,,-11.15800,-2.00700,-8.74300,121.19600,121.19600,-0.10000,-0.10000,6.63050,0.36560,0.57620,28.45150,-17.77430,-17.77430,-22.14110,-22.68390,0.15660,1.54960,58.07940,-6.36900,-11.45130,-3.55150,-4.04070,1.41680,0.0079,-0.038
2020-09-30,59.24300,37.50700,21.73600,5.42500,18.20700,,24.01600,-2.28000,-1.63900,-3.91900,0.06600,-3.98500,-3.98500,,-3.98500,3.79300,-2.28000,122.36300,122.36300,-0.03000,-0.03000,5.34290,0.36000,0.56250,36.68960,-3.84860,-3.84860,-6.61510,-6.72650,0.18280,1.40040,64.26530,-2.24280,-3.96310,-1.22980,-1.43540,1.44660,0.0609,0.0043
2020-06-30,58.54600,34.74900,23.79700,5.57200,19.11600,,25.01100,-1.21400,-0.37700,-1.59100,0.13600,-1.72700,-1.72700,,-1.72700,4.47000,-1.21400,120.23000,120.23000,-0.01000,-0.01000,1.96550,,,40.64670,-2.07360,-2.07360,-2.71750,-2.94980,0.26550,1.29200,69.65910,-1.01700,-1.86300,-0.78320,-1.01700,1.39540,0.0186,-0.048
2020-03-31,57.01200,36.26300,20.74900,5.61800,19.77600,,25.73500,-4.98600,-0.09500,-5.08100,0.17600,-5.25700,-5.25700,,-5.25700,0.50500,-4.98600,118.96400,118.96400,-0.04000,-0.04000,1.89980,,,36.39410,-8.74550,-8.74550,-8.91220,-9.22090,0.26760,1.64400,54.74480,-3.20820,-6.04280,-2.46790,-3.20820,1.36960,0.08050,0.02280
2019-12-31,60.12900,33.87200,26.25700,5.46000,17.95300,,23.74100,2.51600,0.14700,2.66300,0.20500,2.45800,2.45800,,2.45800,8.13200,2.51600,115.89000,115.89000,0.01000,0.01000,2.19410,,,43.66780,4.18430,4.18430,4.42880,4.08790,0.28720,1.73990,51.72580,1.47590,2.74840,1.17400,1.47590,1.40690,0.0732,-0.018
2019-09-30,51.32100,30.56300,20.75800,5.16000,18.06900,,23.40100,-2.64300,0.05800,-2.58500,0.16600,-2.75100,-2.75100,,-2.75100,2.50000,-2.64300,116.27000,116.27000,-0.02000,-0.02000,1.73610,,,40.44740,-5.14990,-5.14990,-5.03690,-5.36040,0.24630,1.42980,62.94790,-1.74200,-3.40160,-1.32010,-1.74200,1.35540,-0.016,-0.0814
2019-06-30,45.90400,27.39700,18.50700,6.01300,19.33400,,25.47400,-6.96700,0.03000,-6.93700,0.25500,-7.19200,-7.19200,,-7.19200,-2.20500,-6.96700,115.27500,115.27500,-0.06000,-0.06000,2.10310,,,40.31680,-15.17730,-15.17730,-15.11200,-15.66750,0.24000,1.47020,61.21620,-4.59130,-9.01290,-3.75960,-4.59130,1.35320,0.01,-0.0889
2019-03-31,43.28000,27.25800,16.02200,5.90100,18.50700,,24.65300,-8.63100,0.19600,-8.43500,0.12400,-8.55900,-8.55900,,-8.55900,-4.05700,-8.63100,114.41000,114.41000,-0.07000,-0.07000,2.15690,,,37.01940,-19.94220,-19.94220,-19.48940,-19.77590,0.21750,1.46070,61.61300,-5.36490,-10.33310,-4.30080,-5.36490,1.38880,-0.05210,-0.09570
