,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-09-12,2024-07-31,$1.53,$1.69
1,2024-06-13,2024-04-30,$-0.08,$-0.40
2,2024-03-27,2024-01-31,$1.71,$0.72
3,2023-12-07,2023-10-31,$0.91,$-0.42
4,2023-09-07,2023-07-31,$2.63,$3.93
5,2023-05-25,2023-04-30,$2.08,$2.21
6,2023-03-29,2023-01-31,$3.35,$2.88
7,2022-12-08,2022-10-31,$4.72,$5.67
8,2022-09-08,2022-07-31,$6.81,$8.08
9,2022-06-02,2022-04-30,$5.46,$7.78
10,2022-03-29,2022-01-31,$5.64,$5.66
11,2021-12-08,2021-10-31,$6.68,$7.03
12,2021-09-08,2021-07-31,$6.58,$8.48
13,2021-06-09,2021-04-30,$4.20,$4.89
14,2021-03-24,2021-01-31,$4.78,$5.07
15,2020-12-09,2020-10-31,$5.42,$6.20
16,2020-09-09,2020-07-31,$3.44,$4.90
17,2020-06-04,2020-04-30,$0.80,$1.27
18,2020-03-30,2020-01-31,$3.59,$3.72
19,2019-12-04,2019-10-31,$2.22,$2.79
20,2019-09-10,2019-07-31,$2.70,$3.20
21,2019-06-12,2019-04-30,$1.54,$1.85
22,2019-03-28,2019-01-31,$2.83,$3.00
23,2018-12-03,2018-10-31,$1.27,$1.73
24,2018-09-04,2018-07-31,$1.74,$2.05
25,2018-06-11,2018-04-30,--,$1.33
26,2018-03-27,2018-01-31,$1.56,$1.69
27,2017-12-05,2017-10-31,$1.04,$1.04
28,2017-09-06,2017-07-31,$0.47,$0.65
29,2017-06-01,2017-04-30,$0.05,$0.05
30,2017-02-23,2017-01-31,$0.65,$0.68
31,2016-12-08,2016-10-31,$0.16,$0.19
32,2016-09-08,2016-07-31,$0.29,$0.38
33,2016-06-08,2016-04-30,$0.05,$-0.05
34,2016-03-29,2016-01-31,$1.20,$0.98
35,2015-12-10,2015-10-31,$0.63,$0.65
36,2015-09-10,2015-07-31,$0.83,$0.85
37,2015-06-11,2015-04-30,$0.20,$0.23
38,2015-03-26,2015-01-31,$1.01,$1.02
