Date,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-08-31,0.28490,-0.28490,2.85840,2.57350,2.57350,2.57350,2.57350,-0.28490,-0.28490,25.80000,25.80000,0.10000,0.10000,54.40160,-51.82700,-51.82680,1.22830,-51.82700,-0.87510,-0.0084,-0.0084
2024-05-31,0.18590,-0.18590,2.86810,2.68220,2.68220,2.68220,2.68220,-0.18590,-0.18590,25.79940,25.79940,0.10000,0.10000,61.65960,-57.10910,-57.10910,1.29610,-57.10910,-0.82780,-0.0629,-0.0629
2024-02-29,0.03520,-0.03520,2.07480,2.03960,2.03960,2.03960,2.03960,-0.03520,-0.03520,25.79900,25.79900,0.08000,0.08000,66.15030,-45.02040,-45.01980,0.99850,-45.02040,-0.79840,0.04310,0.04310
2023-12-31,0.03520,-0.03520,2.07480,2.03960,2.03960,2.03960,2.03960,-0.03520,-0.03520,,,,0.00000,66.22970,-45.01530,-45.02040,0.99850,-45.02130,,0,0
2023-11-30,,,,,,,,,,,,,0.00000,,,,,,,0,0
2023-09-30,,,,,,,,,,,,,0.00000,,,,,,,0,0
