Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,982.83000,701.46300,281.36700,42.68500,102.45300,480.59400,-199.22710,-45.37900,-244.60600,-219.57200,-25.03400,-25.03400,,-25.03400,30.61790,-199.22710,150.71700,150.71700,-0.17000,-0.17000,2.59680,0.51940,1.08130,28.62830,-20.27080,-20.27080,-24.88790,-2.54710,0.13440,1.04150,1.30390,69.02120,-0.84640,2.63330,-0.34230,-0.40680,19.71490,0.873,0.6089
2024-06-30,1035.53500,724.41400,311.12100,45.32500,93.27300,181.17410,129.94700,-30.96400,98.98300,27.28000,71.70300,71.70300,,71.70300,204.15590,129.94700,150.84500,151.12900,0.48000,0.47000,1.77440,0.51460,1.29350,30.04450,12.54880,12.54880,9.55860,6.92420,0.12640,1.02280,1.27940,70.34720,2.38090,-5.35840,0.87560,1.15570,19.94990,0.9482,0.6505
2024-03-31,1006.70900,689.26000,317.44900,45.31400,88.04600,172.65710,144.79190,-46.20100,98.59100,22.57000,76.02100,76.02100,,76.02100,218.39190,144.79190,150.48000,150.92100,0.51000,0.50000,2.64310,0.53320,1.14310,31.53330,14.38270,14.38270,9.79340,7.55140,0.13220,0.95650,1.32450,67.95240,2.55550,-5.37840,0.99820,1.19290,19.76980,0.70560,0.42640
2023-12-31,992.49400,702.28700,290.20690,42.62300,87.53200,491.64600,-201.43910,-40.51500,-241.95400,-39.71600,-202.23800,-202.23800,,-202.23800,196.70390,-201.43900,152.08900,152.08900,-1.33000,-1.32000,2.55230,0.53130,1.13450,29.24020,-20.29630,-20.29630,-24.37840,-20.37680,0.12920,0.98430,1.33380,67.47810,-6.74960,14.14090,-2.63300,-3.16330,19.87690,0.6954,0.3756
2023-09-30,1001.30200,687.95900,313.34300,45.44800,85.66100,197.08300,116.26000,-35.59100,80.66900,17.86800,62.80100,62.80100,,62.80100,191.23600,116.26000,152.04600,152.37900,0.41000,0.41000,2.85690,0.54060,1.17730,31.29360,11.61090,11.61090,8.05640,6.27190,0.11940,1.00630,1.30580,68.92540,1.94720,-4.02380,0.74870,0.89450,21.28000,0.9181,0.5758
2023-06-30,1062.11200,732.10800,330.00410,44.85700,91.31200,211.99090,118.01310,-49.02900,68.98400,19.87300,49.11100,49.11100,,49.11100,206.87510,118.01310,152.70000,153.06400,0.32000,0.32000,2.81150,0.54170,1.18270,31.07060,11.11120,11.11120,6.49500,4.62390,0.12660,1.10910,1.37500,65.45300,1.53000,-3.04420,0.58520,0.70120,21.05850,0.7573,0.4461
2023-03-31,998.17500,670.47100,327.70400,45.93900,86.15000,178.86210,148.84190,-38.69900,110.14300,23.72600,86.41700,86.41700,,86.41700,222.29790,148.84190,152.51800,153.32400,0.57000,0.56000,2.37970,0.54290,1.25000,32.83030,14.91140,14.91140,11.03440,8.65750,0.11630,1.01810,1.31380,68.50270,2.70600,-5.17830,1.00660,1.23690,20.93860,0.63190,0.39140
2022-12-31,1014.67600,673.83010,340.84580,47.44600,87.62200,188.48130,152.36450,-27.22700,125.13800,11.98800,113.15000,113.15000,,113.15000,226.00150,152.36460,155.25300,155.92700,0.73000,0.72000,2.35380,0.56150,1.36300,33.59160,15.01610,15.01610,12.33280,11.15130,0.11590,1.04490,1.36680,65.84800,3.63730,-6.28560,1.29220,1.59490,20.40860,1.4325,1.1828
2022-09-30,1018.26800,694.53500,323.73300,47.94700,90.01300,70.83200,252.90100,-66.22700,186.67400,46.42100,140.25300,140.25300,,140.25300,326.71700,252.90100,154.47400,154.94300,0.91000,0.91000,2.98040,0.57970,1.38150,31.79250,24.83640,24.83640,18.33250,13.77370,0.11690,1.02760,1.40850,63.89680,4.56950,-7.45480,1.60980,1.92040,20.01280,0.6176,0.3767
2022-06-30,1020.54800,686.60300,333.94490,47.97100,97.32900,195.00200,138.94300,-84.08200,54.86100,20.02000,34.84100,34.84100,,34.84100,208.81600,138.94300,156.47700,156.99400,0.22000,0.22000,3.51670,0.58370,1.40420,32.72210,13.61460,13.61460,5.37560,3.41400,0.11860,1.04550,1.37350,65.52790,1.15230,-2.46090,0.40480,0.47970,19.42490,0.6053,0.3586
