Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,100820.00000,77791.00000,23029.00000,-13280.00000,14321.00000,8708.00000,-1094.00000,7614.00000,1356.00000,6258.00000,6258.00000,6055.00000,9749.00000,8708.00000,923.00000,930.00000,6.56000,6.51000,0.90840,0.42590,0.78100,22.84170,8.63720,8.63720,7.55210,6.00580,0.33680,2.12320,42.38890,6.26550,-21.07710,2.09080,3.59690,108.21340,14.9763,13.9145
2024-06-30,98855.00000,76798.00000,22057.00000,-13162.00000,14182.00000,7875.00000,-2210.00000,5665.00000,1244.00000,4421.00000,4421.00000,4216.00000,8895.00000,7875.00000,921.00000,928.00000,4.58000,4.54000,0.87930,0.40230,0.79320,22.31250,7.96620,7.96620,5.73060,4.26480,0.34560,1.98200,45.40920,4.66960,-17.34470,1.54550,2.79100,102.79700,7.2614,6.3474
2024-03-31,99796.00000,76791.00000,23005.00000,-14077.00000,15074.00000,7931.00000,-7930.00000,1.00000,1222.00000,-1221.00000,-1221.00000,-1409.00000,8928.00000,7931.00000,922.00000,922.00000,-1.53000,-1.53000,0.85170,0.40870,0.79720,23.05200,7.94720,7.94720,0.00100,-1.41190,0.35110,2.14700,41.91840,-1.32190,4.23410,-0.42960,-0.78160,100.40220,1.24080,0.43490
2023-12-31,94427.00000,72425.00000,22002.00000,-13339.00000,14313.00000,7689.00000,-830.00000,6859.00000,1184.00000,5675.00000,5675.00000,5455.00000,8663.00000,7689.00000,928.00000,938.00000,5.91000,5.85000,0.79190,0.38160,0.66230,23.30050,8.14280,8.14280,7.26380,5.77690,0.34500,2.42310,37.14300,6.01030,-23.15850,2.07330,3.71680,102.18720,-5.6143,-6.6312
2023-09-30,92361.00000,68973.00000,23388.00000,-13855.00000,14862.00000,8526.00000,-834.00000,7692.00000,1654.00000,6038.00000,6038.00000,5841.00000,9533.00000,8526.00000,926.00000,936.00000,6.31000,6.24000,0.80490,0.39340,0.70750,25.32240,9.23120,9.23120,8.32820,6.32410,0.32740,2.40370,37.44280,6.74150,-22.08570,2.14070,4.08960,96.82590,7.4983,6.5958
2023-06-30,92903.00000,70016.00000,22887.00000,-13809.00000,14830.00000,8057.00000,-828.00000,7229.00000,1572.00000,5657.00000,5657.00000,5474.00000,9078.00000,8057.00000,930.00000,940.00000,5.89000,5.82000,0.79540,0.40420,0.75070,24.63540,8.67250,8.67250,7.78120,5.89220,0.33160,2.72580,33.01800,6.47490,-18.89190,2.01920,3.85790,94.24810,11.7914,10.9069
2023-03-31,91931.00000,69250.00000,22681.00000,-13625.00000,14595.00000,8086.00000,-754.00000,7332.00000,1558.00000,5774.00000,5774.00000,5611.00000,9056.00000,8086.00000,933.00000,943.00000,6.01000,5.95000,0.80610,0.41410,0.82250,24.67180,8.79570,8.79570,7.97550,6.10350,0.32410,2.47730,36.33050,6.72800,-18.77720,2.03540,3.94190,92.08260,17.31390,16.50800
2022-12-31,82787.00000,61905.00000,20882.00000,-13009.00000,13991.00000,6891.00000,-676.00000,6215.00000,1307.00000,4908.00000,4908.00000,4761.00000,7873.00000,6891.00000,937.00000,950.00000,5.09000,5.02000,0.77400,0.40090,0.70750,25.22380,8.32380,8.32380,7.50720,5.75090,0.33690,4.68230,19.22150,6.02580,-18.65950,1.99750,3.60980,87.20560,-4.8398,-5.7471
2022-09-30,80894.00000,60941.00000,19953.00000,-11663.00000,12491.00000,7462.00000,-516.00000,6946.00000,1562.00000,5384.00000,5384.00000,5262.00000,8290.00000,7462.00000,935.00000,948.00000,5.63000,5.55000,0.82170,0.36790,0.62340,24.66560,9.22440,9.22440,8.58650,6.50480,0.33280,2.63230,34.19030,6.89690,-32.38500,2.21510,4.35940,83.49090,19.5935,18.8271
2022-06-30,80332.00000,60689.00000,19643.00000,-11709.00000,12511.00000,7132.00000,-467.00000,6665.00000,1466.00000,5199.00000,5199.00000,5070.00000,7934.00000,7132.00000,937.00000,950.00000,5.41000,5.34000,0.77070,0.37540,0.67440,24.45230,8.87820,8.87820,8.29680,6.31130,0.34900,2.57830,34.90680,6.82240,-27.02320,2.25870,4.26130,81.50270,7.2561,6.5621
2022-03-31,80149.00000,61010.00000,19139.00000,-11401.00000,12189.00000,6950.00000,-433.00000,6517.00000,1369.00000,5148.00000,5148.00000,5027.00000,7738.00000,6950.00000,941.00000,954.00000,5.34000,5.27000,0.78290,0.34890,0.62390,23.87930,8.67140,8.67140,8.13110,6.27210,0.36230,2.59680,34.65860,6.76230,-45.40480,2.32690,4.40290,81.07350,5.57550,4.99370
2021-12-31,73743.00000,56159.00000,17584.00000,-11272.00000,12043.00000,5541.00000,-431.00000,5110.00000,919.00000,4191.00000,4191.00000,4071.00000,6312.00000,5541.00000,943.00000,956.00000,4.34000,4.26000,0.78880,0.36090,0.61300,23.84500,7.51390,7.51390,6.92950,5.52050,0.34750,2.62600,34.27280,5.58470,-38.82710,1.97500,3.56900,79.75030,3.3451,2.6201
2021-09-30,72337.00000,55104.00000,17233.00000,-10725.00000,11521.00000,5712.00000,-422.00000,5290.00000,1099.00000,4191.00000,4191.00000,4086.00000,6508.00000,5712.00000,943.00000,955.00000,4.33000,4.28000,0.77420,0.37170,0.64110,23.82320,7.89640,7.89640,7.31300,5.64860,0.33950,2.56220,35.12560,5.72080,-33.23030,1.96720,3.59420,77.76960,7.9498,7.2899
2021-06-30,71321.00000,54206.00000,17115.00000,-10359.00000,11137.00000,5978.00000,-410.00000,5568.00000,1196.00000,4372.00000,4372.00000,4266.00000,6756.00000,5978.00000,944.00000,956.00000,4.52000,4.46000,0.76960,0.38110,0.66950,23.99710,8.38180,8.38180,7.80700,5.98140,0.33920,2.62050,34.34510,6.07040,-29.92270,2.07900,3.75700,76.37540,5.8016,5.2131
2021-03-31,70196.00000,52476.00000,17720.00000,-10223.00000,10981.00000,6739.00000,-397.00000,6342.00000,1364.00000,4978.00000,4978.00000,4862.00000,7497.00000,6739.00000,945.00000,957.00000,5.14000,5.08000,0.73790,0.35060,0.66740,25.24360,9.60030,9.60030,9.03470,6.92630,0.34210,2.55020,35.29180,7.18190,-36.35970,2.42630,4.66400,73.42480,6.27480,5.68130
2020-12-31,65467.00000,49704.00000,15763.00000,-11514.00000,12246.00000,3517.00000,-401.00000,3116.00000,764.00000,2352.00000,2352.00000,2212.00000,4249.00000,3517.00000,949.00000,961.00000,2.34000,2.30000,0.74180,0.36130,0.63620,24.07780,5.37220,5.37220,4.75970,3.37880,0.33180,2.57700,34.92390,3.44220,-16.96360,1.19220,2.19860,72.22830,6.366,5.7671
2020-09-30,65115.00000,49571.00000,15544.00000,-10174.00000,10893.00000,4651.00000,-395.00000,4256.00000,1000.00000,3256.00000,3256.00000,3172.00000,5370.00000,4651.00000,950.00000,962.00000,3.34000,3.30000,0.82320,0.36940,0.64300,23.87160,7.14270,7.14270,6.53610,4.87140,0.34100,2.56340,35.10990,4.78090,-31.43770,1.70500,3.01480,71.76400,3.2225,2.6455
2020-06-30,62138.00000,42179.00000,19959.00000,-10001.00000,10718.00000,9241.00000,-430.00000,8811.00000,2115.00000,6696.00000,6696.00000,6637.00000,9958.00000,9241.00000,949.00000,960.00000,6.99000,6.91000,0.84310,0.37500,0.69240,32.12040,14.87170,14.87170,14.17970,10.68110,0.32280,2.59170,34.72660,10.06690,-56.22640,3.47870,6.29230,70.01580,10.4261,9.9554
2020-03-31,64421.00000,48687.00000,15734.00000,-10015.00000,10738.00000,4996.00000,-437.00000,4559.00000,1094.00000,3465.00000,3465.00000,3382.00000,5719.00000,4996.00000,949.00000,962.00000,3.56000,3.52000,0.74810,0.37410,0.86210,24.42370,7.75520,7.75520,7.07690,5.24980,0.34070,2.58840,34.77000,5.78820,-22.15760,1.83270,3.62290,63.21330,3.05930,2.57170
