Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share
2024-09-30,,,0.32900,-0.32900,0.05700,-0.27200,-0.27200,-0.27200,-0.27200,-0.32900,-0.32900,21.40000,21.40000,0.00000,0.00000,27.33970,,,,,,,-6.61960,-6.61960,-6.37750,-6.61960,0.19200
2024-06-30,,,556.00000,-556.00000,62.00000,-494.00000,-494.00000,-494.00000,-494.00000,-556.00000,-556.00000,21.40000,21.40000,0.00000,0.00000,13.54330,,,,,,,-11756.31000,-11756.31000,-10888.25000,-11756.31000,0.19640
2024-03-31,,,0.33800,-0.33800,0.06700,-0.27100,-0.27100,-0.27100,-0.27100,-0.33800,-0.33800,21.40000,21.40000,-0.01270,-0.01270,9.04860,,,,,,,-6.05590,-6.05590,-5.38660,-6.05590,0.20910
2023-12-31,,,-586.11000,586.11000,-141.78700,444.32300,444.32300,444.32300,445.08800,586.11000,586.11000,21.40000,21.40000,,0.00000,15.68640,,,,,,,8950.90600,8950.90600,8380.29000,8950.90600,0.23200
2023-09-30,,,0.15700,-0.15700,0.07100,-0.08600,-0.08600,-0.08600,-0.08600,-0.15700,-0.15700,21.40000,21.40000,0.00000,0.00000,18.14430,,,,,,,-1.64470,-1.64470,-1.55400,-1.64470,0.24430
2023-06-30,,,587.00000,-587.00000,142.00000,-445.00000,-445.00000,-445.00000,-445.00000,-587.00000,-587.00000,21.40000,21.40000,0.00000,0.00000,35.79620,,,,,,,-8145.70800,-8145.70800,-7918.14900,-8145.70800,0.25530
2023-03-31,6.64000,6.64000,0.28000,6.36000,0.00300,6.36300,6.36300,6.36300,6.36300,6.36000,6.36000,21.40000,21.40000,0.29740,0.29740,0.22150,100.00000,95.78310,95.78310,95.82830,95.82830,1.09480,116.15550,116.15550,104.91340,116.15550,0.25600
2022-12-31,15.32700,15.32700,0.28300,15.04400,0.06100,15.10500,15.10500,15.10500,15.04700,15.04400,15.04400,21.40000,21.40000,0.70310,0.70310,0.47140,100.00000,98.15360,98.15360,98.55160,98.17310,2.52630,261.01610,261.01610,248.96990,261.01610,0.27040
2022-09-30,30.34100,30.34100,0.27600,30.06500,0.00400,30.06900,30.06900,30.06900,30.06600,30.06500,30.06500,21.40000,21.40000,1.40500,1.40500,21.23320,100.00000,99.09040,99.09040,99.10350,99.09360,5.04930,525.13100,525.13100,500.39940,525.13100,0.26760
2022-06-30,23.81400,23.81400,0.54100,23.27300,0.00300,23.27600,23.27600,23.27600,23.27300,23.27300,23.27300,21.40000,21.40000,1.08750,1.08750,21.76090,100.00000,97.72820,97.72820,97.74080,97.72820,3.96500,406.21290,406.21290,387.54580,406.21290,0.26780
2022-03-31,12.80100,12.80100,0.36400,12.43700,0.00100,12.43800,12.43800,12.43800,12.43700,12.43700,12.43700,21.40000,21.40000,0.58120,0.58120,11.09610,100.00000,97.15650,97.15650,97.16430,97.15650,2.13240,227.71880,227.71880,207.19640,227.71880,0.25520
2021-12-31,6.14500,6.14500,0.43000,5.71500,0.00100,5.71600,5.71600,5.71600,1.56200,5.71500,5.71500,21.40000,21.40000,0.07300,0.07300,16.48900,100.00000,93.00240,93.00240,93.01870,25.41900,1.02380,101.38350,101.38350,95.23490,101.38350,0.26350
2021-09-30,3.27200,3.27200,1.10000,2.17200,-0.00100,2.17100,2.17100,2.17100,0.52100,2.17200,2.17200,21.40000,21.40000,0.02440,0.02440,4.13050,100.00000,66.38140,66.38140,66.35090,15.92300,1.84650,161.65300,161.65300,122.51690,161.65300,0.06280
2021-06-30,,,,,,,,,,,,21.40000,21.40000,,0.00000,0.17360,,,,,,,,,,,-0.04570
2021-03-31,,,0.07500,-0.07500,-0.00100,-0.07600,-0.07600,-0.07600,-0.07600,-0.07500,-0.07500,21.40000,21.40000,-0.00360,-0.00360,0.26790,,,,,,,12.85960,12.85960,-39.79060,12.85960,-0.02760
2020-12-31,-0.00100,-0.00100,0.46200,-0.46300,0.53800,0.07500,0.07500,0.07500,0.28900,-0.46300,-0.46300,21.40000,21.40000,0.01350,0.01350,1.91370,,,,,,-0.00380,127.11990,127.11990,28.19580,127.11990,0.00280
2020-09-30,,,0.28800,-0.28800,,-0.28800,-0.28800,-0.28800,-0.28800,-0.28800,-0.28800,21.40000,21.40000,-0.01350,-0.01350,0.79580,,,,,,,248.27580,248.27580,-150.78530,248.27580,-0.00540
2020-06-30,-0.06700,-0.06700,0.68900,-0.75600,0.00400,-0.75200,-0.75200,-0.75200,0.00000,-0.75600,-0.75600,21.40000,21.40000,0.00000,0.00000,1.66320,100.00000,1128.35800,1128.35800,1122.38800,,-0.13990,-606.45170,-606.45150,-156.99370,-606.45170,0.00580
2020-03-31,9.33700,9.33700,0.25300,9.08400,0.00700,9.09100,9.09100,9.09100,9.07800,9.08400,9.08400,21.40000,21.40000,0.42420,0.42420,1.68940,100.00000,97.29040,97.29040,97.36530,97.22610,8.02150,1913.89500,1913.89400,781.01370,1913.89500,0.02220
2019-12-31,7.30100,7.30100,0.10600,7.19500,0.00800,7.20300,7.20300,7.20300,7.16500,7.19500,7.19500,21.40000,21.40000,0.33510,0.33510,4.54940,100.00000,98.54810,98.54820,98.65770,98.13730,6.34320,802.11550,802.11550,625.80330,802.11550,0.04200
2019-09-30,12.16400,12.16400,0.34100,11.82300,0.00800,11.83100,11.83100,11.83100,11.79300,11.82300,11.82300,21.40000,21.40000,0.55110,0.55110,10.60000,100.00000,97.19670,97.19670,97.26240,96.95000,10.92900,1173.71000,1173.71000,1062.98300,1173.71000,0.04710
2019-06-30,7.74800,7.74800,0.31200,7.43600,0.01000,7.44600,7.44600,7.44600,7.38100,7.43600,7.43600,21.40000,21.40000,0.34490,0.34490,3.15250,100.00000,95.97320,95.97320,96.10220,95.26330,7.20740,1014.44100,1014.44100,692.65120,1014.44100,0.03430
2019-03-31,21.75900,21.75900,0.32600,21.43300,0.00900,21.44200,21.44200,21.44200,21.46300,21.43300,21.43300,21.40000,21.40000,1.00290,1.00290,3.23720,100.00000,98.50180,98.50180,98.54310,98.63960,21.54360,3071.92000,3071.92000,2122.97000,3071.92000,0.03260
