Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,42.19700,42.19700,3.93700,-38.60500,-0.61300,,-0.61300,0.53700,-1.15000,-1.15000,-1.15000,-0.37000,-0.61300,16.60200,16.60200,-0.07000,-0.07000,0.38780,1.39850,100.00000,-1.45270,-1.45270,-1.45270,-2.72530,0.63020,3.53590,25.45350,-94.03110,4.89400,-1.71740,-6.57630,1.05330,-0.0176,-0.0176
2024-06-30,40.64800,40.64800,3.59400,-37.28400,-0.52300,,-0.52300,0.21400,-0.73700,-0.73700,-0.73600,-0.23600,-0.52300,16.57300,16.57300,-0.04000,-0.04000,0.35820,1.45430,100.00000,-1.28670,-1.28670,-1.28670,-1.81070,0.61530,3.89390,23.11330,-27.18550,3.09340,-1.11560,-4.25860,1.04240,0.0617,0.0613
2024-03-31,41.44900,41.44900,3.45700,-39.13300,-1.44200,,-1.44200,0.13900,-1.58100,-1.58100,-2.31100,-1.14100,-1.44200,16.56600,16.56600,-0.14000,-0.14000,0.34950,1.43660,100.00000,-3.47900,-3.47900,-3.47900,-5.57550,0.62960,3.90990,23.01840,-46.21450,6.74090,-2.40150,-8.87160,1.07580,-0.18930,-0.19000
2023-12-31,41.28100,41.28100,3.51000,-38.71600,-1.24800,,-1.24900,-0.37400,-0.87500,-0.87500,0.19700,-0.92100,-1.24800,,,,0.00000,0.28980,6.46660,100.00000,-3.02320,-3.02320,-3.02560,0.47720,0.61240,3.95490,22.75670,-17.14680,2.40940,-1.29800,-17.14680,,0,0
2023-09-30,42.85000,42.85000,3.08800,-39.45900,,,0.00100,-0.24200,0.24300,0.24300,0.24300,0.29500,,0.00000,0.00000,0.00000,0.00000,0.00940,-0.12900,100.00000,,,0.00230,0.56710,6.91050,,,-2.22340,-2.22340,3.91890,-2.22340,-3.66880,0,0
2023-06-30,40.43900,40.43900,3.28700,-36.44100,0.37700,,0.37700,0.24600,0.13100,0.13100,0.13100,0.66000,0.37700,0.00000,0.00000,0.00000,0.00000,0.01510,-0.13110,100.00000,0.93230,0.93230,0.93230,0.32390,6.78020,,,-1.26490,-1.26490,2.19640,-1.26490,-3.47640,0,0
2023-03-31,43.38500,43.38500,3.50000,-38.25200,1.35700,,1.35700,0.28500,1.07200,1.07200,0.00000,1.65900,1.35700,,,,0.00000,0.02890,-0.13920,100.00000,3.12780,3.12780,3.12780,,7.30590,,,-10.80460,-10.80460,18.05220,-10.80460,-3.33060,0.00000,
2022-12-31,,,,-158.34790,-174.09790,,-1.71650,0.57480,-2.29130,-2.29130,-2.29130,-174.09790,4.75210,,,,0.00000,0.28710,7.05230,,,,,,,,,-107.87560,6.17580,-3.33600,-46.78940,3.69580,0.4875,0.4875
2022-09-30,,,,-0.73600,-0.73600,0.96720,0.23120,0.00120,0.23000,0.23000,0.23000,-0.73600,-0.73600,2.97900,2.97900,0.05000,0.05000,0.08760,-0.11800,,,,,,,,,-3.15690,-3.15690,1.46970,-3.15690,-2.44550,-0.1056,-0.1056
2022-06-30,,,,-1.64890,-1.64890,1.13300,-0.51590,0.00400,-0.52000,-0.52000,-0.52000,-1.64890,-1.64890,2.97900,2.97900,-0.05000,-0.05000,0.08160,-0.05310,,,,,,,,,7.06570,7.06570,-3.39670,7.06570,-2.47020,-0.1262,-0.1262
2022-03-31,,,,-0.87620,-0.87620,4.36840,3.49220,,3.49220,3.49220,3.49220,-0.87620,-0.87620,2.97900,2.97900,0.24000,0.24000,0.54630,-0.05810,,,,,,,,,-51.54660,-51.54440,2.94590,-51.54660,-2.27420,-0.25570,-0.25570
2021-12-31,,,,-0.36830,-0.36830,0.91410,0.54580,,0.54580,0.54580,0.54580,-0.36830,-0.36830,2.97900,2.97900,0.04000,0.04000,1.27830,,,,,,,,,,-5.32160,-5.32160,0.45930,-5.32160,-3.44300,-0.0809,-0.0809
2021-09-30,,,,-0.38250,-0.38250,3.40920,3.02660,,3.02660,3.02660,3.02660,-0.38250,-0.38250,2.97900,2.97900,0.21000,0.21000,1.83230,,,,,,,,,,-28.02570,-28.02570,2.54100,-28.02570,-3.62520,-0.0377,-0.0377
2021-06-30,,,,-0.25730,-0.25730,-2.51280,-2.77020,,-2.77020,-2.77020,-2.77020,-0.25730,-0.25730,2.97900,2.97900,-0.19000,-0.19000,3.04490,,,,,,,,,,-55.40300,-55.40300,-2.32280,-55.40300,1.03800,-0.0772,-0.0772
2021-03-31,,,,-0.20050,-0.20050,-1.04750,-1.24800,,-1.24800,-1.24800,-1.24800,-0.20050,-0.20050,2.97900,2.97900,-0.09000,-0.09000,3.68460,,,,,,,,,,-24.96080,-24.96080,-1.04420,-24.96080,1.09960,-0.01210,-0.01210
2020-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2020-09-30,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
