Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2261.00000,399.00000,1862.00000,519.00000,631.00000,1150.00000,712.00000,282.00000,994.00000,103.00000,891.00000,,970.00000,962.00000,712.00000,712.00000,652.72000,681.41200,1.48000,1.42000,1.42460,0.12060,0.32810,82.35290,31.49050,31.49050,43.96290,42.54760,0.06490,1.14660,78.49620,,10.38210,2.78640,4.29430,,0,0
2024-06-30,1757.00000,318.00000,1439.00000,412.00000,538.00000,950.00000,489.00000,-9.00000,480.00000,95.00000,385.00000,,535.00000,527.00000,489.00000,489.00000,655.85800,687.97800,0.80000,0.77000,1.31940,0.13230,0.45340,81.90100,27.83150,27.83150,27.31930,29.99430,0.05150,0.98930,90.97330,,6.53870,1.56880,2.56750,,-0.5,-0.4749
2024-03-31,1649.00000,310.00000,1339.00000,431.00000,449.00000,880.00000,459.00000,118.00000,577.00000,92.00000,485.00000,,599.00000,597.00000,497.00000,459.00000,651.35000,675.93400,0.92000,0.88000,1.15230,0.06330,0.36790,81.20070,27.83510,27.83510,34.99090,36.20380,0.05210,0.97170,92.61980,3.36270,7.63640,1.89260,3.15000,27.35790,0.50000,0.47490
2023-12-31,1495.00000,291.00000,1204.00000,421.00000,461.00000,882.00000,322.00000,-126.00000,196.00000,58.00000,138.00000,,190.00000,183.00000,322.00000,322.00000,652.85900,671.06200,0.29000,0.28000,1.22540,0.13440,0.36550,80.53510,21.53850,21.53850,13.11040,12.24080,0.04840,0.93030,96.74250,1.09670,2.64550,0.61560,0.94930,26.89850,4.6166,4.4899
2023-09-30,1883.00000,338.00000,1545.00000,490.00000,519.00000,1009.00000,536.00000,77.00000,613.00000,61.00000,552.00000,,637.00000,634.00000,536.00000,536.00000,654.14600,674.13500,0.97000,0.94000,1.17370,0.13730,0.40840,82.04990,28.46520,28.46520,32.55440,33.66970,0.06040,1.06930,84.16890,,9.01500,2.04280,3.24350,,0,0
2023-06-30,1552.00000,277.00000,1275.00000,407.00000,457.00000,864.00000,411.00000,-276.00000,135.00000,77.00000,58.00000,,91.00000,89.00000,411.00000,411.00000,653.39300,671.94200,0.13000,0.13000,1.09790,0.14260,0.44010,82.15210,26.48200,26.48200,8.69850,5.73450,0.05160,1.05290,85.47680,,1.42590,0.30240,0.47780,,0,0
2023-03-31,1339.00000,238.00000,1101.00000,389.00000,386.00000,775.00000,326.00000,234.00000,560.00000,50.00000,510.00000,,491.00000,491.00000,326.00000,326.00000,651.84900,672.74400,0.75000,0.73000,0.97100,0.10320,0.45070,82.22550,24.34650,24.34650,41.82230,36.66920,0.04400,0.99330,90.60490,,7.53300,1.61240,2.58710,,0.00000,
2022-12-31,692.00000,161.00000,531.00000,284.00000,271.00000,555.00000,-24.00000,404.00000,380.00000,36.00000,344.00000,,318.00000,314.00000,-24.00000,-24.00000,648.38100,657.09300,0.48000,0.48000,1.00320,0.10440,0.40570,76.73410,-3.46820,-3.46820,54.91330,45.37570,0.02490,0.87040,103.39600,1.94070,5.36800,1.14420,1.73800,25.36270,0.5783,0.4687
2022-09-30,968.00000,179.00000,789.00000,350.00000,320.00000,670.00000,119.00000,-60.00000,59.00000,39.00000,20.00000,,34.00000,37.00000,119.00000,119.00000,647.91000,653.48600,0.06000,0.06000,1.08670,0.13580,0.46240,81.50830,12.29340,12.29340,6.09500,3.82230,0.03540,1.11910,80.42360,,0.62400,0.12450,0.18840,,0,0
2022-06-30,598.00000,146.00000,452.00000,264.00000,213.00000,477.00000,-25.00000,99.00000,74.00000,26.00000,48.00000,,6.00000,10.00000,-25.00000,-25.00000,647.86600,650.90600,0.01000,0.01000,1.11480,0.13630,0.48610,75.58530,-4.18060,-4.18060,12.37460,1.67220,0.02060,0.73550,122.35790,,0.10570,0.02060,0.03150,,0,0
2022-03-31,649.00000,168.00000,481.00000,311.00000,225.00000,536.00000,-55.00000,-73.00000,-128.00000,-2.00000,-126.00000,,-157.00000,-155.00000,-55.00000,-55.00000,647.81300,647.81300,-0.24000,-0.24000,1.19820,0.15620,0.46660,74.11400,-8.47460,-8.47460,-19.72270,-23.88290,0.02190,1.03340,87.08780,,-2.66600,-0.52990,-0.76570,,0.00000,
